N	2gram	Medvedev_V	Sotsiolo
1	все это	1	7
2	в том	2	5
3	в этом	1	5
4	как же	1	3
5	и в	2	3
6	и только	1	3
7	более чем	1	3
8	ведь это	1	2
9	заключается что	1	2
10	том что	2	2
11	в частности	1	2
12	конце концов	2	2
13	по существу	1	2
14	главным образом	1	2
15	и заключается	1	2
16	в конце	2	2
17	далеко не	1	2
18	тем более	1	2
19	только в	1	2
20	то же	1	2
21	столь же	1	1
22	ценное что	1	1
23	и самым	1	1
24	по крайней	1	1
25	время в	1	1
26	и его	1	1
27	и не	1	1
28	стр и	1	1
29	говоря иначе	1	1
30	павел медведев	1	1
31	крайней мере	1	1
32	даже не	1	1
33	все то	1	1
34	хотя бы	1	1
35	полемизируя с	1	1
36	именно в	1	1
37	сколь и	1	1
