N	2gram	Losev_Prob	VrazhdaK
1	в году	1	18
2	в бесах	1	10
3	не только	37	9
4	в этом	30	8
5	и в	64	8
6	и что	21	8
7	что в	21	7
8	и все	9	7
9	но и	23	7
10	то что	72	7
11	года в	2	7
12	о нем	3	6
13	как и	7	6
14	и даже	19	6
15	и с	12	6
16	в романе	1	6
17	все же	7	6
18	в котором	5	6
19	в начале	1	6
20	в нем	14	6
21	но в	19	6
22	то же	10	5
23	в россии	1	5
24	и не	63	5
25	между тем	3	5
26	об этом	10	5
27	не было	7	5
28	в то	7	5
29	это не	7	4
30	при этом	8	4
31	несмотря на	6	4
32	с ним	4	4
33	для нас	11	4
34	все это	11	4
35	х годов	1	4
36	в виду	10	4
37	в своих	3	4
38	что он	11	4
39	уже в	6	4
40	у достоевского	1	4
41	о том	25	4
42	может быть	29	4
43	в ней	1	4
44	в истории	6	4
45	как бы	18	4
46	так же	12	4
47	во многом	1	4
48	что у	1	3
49	в его	12	3
50	в том	19	3
51	т е	2	3
52	имел в	2	3
53	сам достоевский	1	3
54	его в	9	3
55	раз в	1	3
56	связи с	8	3
57	но он	3	3
58	давно уже	1	3
59	в связи	7	3
60	я не	1	3
61	и как	10	3
62	далеко не	9	3
63	тем что	10	3
64	речь идет	2	3
65	в чем	3	3
66	человека в	1	3
67	он был	2	3
68	чтобы он	2	3
69	том что	26	3
70	он не	5	3
71	и уже	4	3
72	в конце	13	3
73	и о	11	3
74	наряду с	1	3
75	что есть	1	3
76	одним из	2	3
77	из подполья	2	3
78	в своем	7	3
79	на то	12	3
80	с его	3	3
81	и его	3	3
82	к этому	1	3
83	который был	1	3
84	по нашему	1	3
85	и во	4	3
86	в той	2	2
87	таким образом	9	2
88	начиная с	1	2
89	и то	15	2
90	после этого	4	2
91	в момент	2	2
92	время и	2	2
93	он тоже	2	2
94	его с	1	2
95	мы знаем	1	2
96	и далее	1	2
97	с точки	3	2
98	для него	2	2
99	его и	1	2
100	лермонтова и	1	2
101	этот момент	1	2
102	о чем	11	2
103	как раз	20	2
104	о которой	1	2
105	же не	1	2
106	в них	8	2
107	как же	6	2
108	а также	6	2
109	же в	5	2
110	отношения к	2	2
111	его на	1	2
112	в в	2	2
113	их в	6	2
114	же как	2	2
115	в своей	8	2
116	вместе с	4	2
117	в это	2	2
118	в известном	1	2
119	не менее	26	2
120	и это	13	2
121	в эту	2	2
122	на первый	5	2
123	еще не	18	2
124	но как	11	2
125	а с	1	2
126	это в	3	2
127	в этой	14	2
128	в нашей	3	2
129	что к	2	2
130	человека с	2	2
131	при помощи	21	2
132	а в	7	2
133	на это	1	2
134	и а	1	2
135	к ним	1	2
136	отношение к	1	2
137	в одну	1	2
138	этот роман	1	2
139	уже не	9	2
140	из них	3	2
141	в себе	16	2
142	что я	1	2
143	с нею	2	2
144	в глазах	1	2
145	не может	18	2
146	место в	2	2
147	с которым	1	2
148	столь же	1	2
149	том же	1	2
150	точки зрения	5	2
151	тем более	13	2
152	одна из	4	2
153	в период	1	2
154	об этой	1	2
155	время он	1	2
156	он сам	2	2
157	довольно много	1	2
158	отнюдь не	15	2
159	но это	11	2
160	во время	1	2
161	не мог	1	2
162	в него	3	2
163	и ее	9	2
164	а н	1	2
165	никогда не	8	2
166	на большую	1	1
167	возможно при	1	1
168	к сожалению	6	1
169	в самом	10	1
170	с большими	1	1
171	то в	6	1
172	этого и	1	1
173	и указание	1	1
174	для начала	1	1
175	связан с	1	1
176	именно к	1	1
177	можно проследить	1	1
178	так и	17	1
179	что они	5	1
180	сам факт	1	1
181	в литературе	4	1
182	все что	2	1
183	для всех	3	1
184	и считает	1	1
185	до сих	6	1
186	в душе	1	1
187	один из	7	1
188	можно говорить	3	1
189	и этот	4	1
190	со мной	1	1
191	этого в	1	1
192	из которых	2	1
193	у гоголя	1	1
194	выясняется что	2	1
195	ближе к	2	1
196	и наказание	1	1
197	они не	1	1
198	этот закон	1	1
199	ни с	1	1
200	только что	2	1
201	этом говорят	1	1
202	если в	2	1
203	записках из	1	1
204	м н	1	1
205	это будет	2	1
206	лет назад	3	1
207	того как	3	1
208	к этой	2	1
209	и кончая	1	1
210	в основном	1	1
211	и уж	6	1
212	он отличается	1	1
213	еще до	1	1
214	чем все	1	1
215	остается фактом	1	1
216	он всегда	3	1
217	не будем	5	1
218	с очень	1	1
219	у чехова	2	1
220	дает нам	2	1
221	или по	5	1
222	и борьбы	1	1
223	от которого	1	1
224	из всех	1	1
225	что это	4	1
226	обычно не	1	1
227	хотя и	8	1
228	от нас	6	1
229	а это	5	1
230	единства и	1	1
231	романа и	1	1
232	и был	1	1
233	он и	8	1
234	в ее	3	1
235	только не	4	1
236	того что	18	1
237	факт остается	1	1
238	представляющий собой	1	1
239	говорит о	4	1
240	действительно можно	1	1
241	два дня	2	1
242	наши исследователи	1	1
243	в качестве	3	1
244	этой аксиомы	1	1
245	нас в	4	1
246	заметим что	2	1
247	не являются	8	1
248	не хочет	3	1
249	прежде всего	17	1
250	никуда не	2	1
251	ее и	1	1
252	это слово	1	1
253	другой стороны	7	1
254	подавляющее большинство	1	1
255	нет ничего	12	1
256	себе не	3	1
257	был знаком	1	1
258	в этих	7	1
259	но на	1	1
260	за это	1	1
261	в их	7	1
262	о своем	4	1
263	все равно	7	1
264	мы находим	2	1
265	что слово	2	1
266	тому же	1	1
267	есть еще	3	1
268	полной уверенности	1	1
269	но с	2	1
270	а еще	1	1
271	без всяких	2	1
272	а между	1	1
273	он уже	1	1
274	что ни	3	1
275	в разные	3	1
276	в н	2	1
277	конечно в	2	1
278	и сам	3	1
279	с такими	3	1
280	пока только	1	1
281	их и	1	1
282	чуть было	1	1
283	на дуэль	1	1
284	что за	1	1
