N	3gram	Nazirov_Vr	FransuaR
1	то же время	4	55
2	в то же	4	55
3	в том что	2	27
4	до сих пор	1	27
5	с точки зрения	2	20
6	но в то	2	20
7	в этом отношении	1	20
8	о том что	1	17
9	в связи с	3	16
10	в ту эпоху	1	14
11	не может быть	2	13
12	в той же	1	13
13	и в то	1	12
14	с другой стороны	1	12
15	в конце концов	1	10
16	в мировой литературе	1	7
17	в то время	1	7
18	о том как	1	7
19	на первый план	1	7
20	в свою очередь	1	6
21	раз в году	1	5
22	во всяком случае	1	5
23	в том же	1	5
24	все же в	1	5
25	в это время	1	5
26	как бы в	1	5
27	как раз в	2	5
28	это и есть	1	5
29	и все что	1	4
30	связи с этим	1	4
31	так же как	1	4
32	и то что	1	4
33	в году в	2	4
34	может быть и	1	4
35	и не может	1	4
36	и в самом	1	4
37	а следовательно и	1	4
38	и во всей	1	4
39	он как бы	1	3
40	в литературе и	1	3
41	у него в	1	3
42	не только не	1	3
43	но это не	1	3
44	один раз в	1	3
45	он не только	2	3
46	все же не	1	3
47	в этом смысле	1	3
48	имеется в виду	1	3
49	а с другой	1	3
50	и в этом	1	3
51	в году и	2	3
52	заключается в том	1	3
53	что в нем	1	3
54	быть и речи	1	2
55	был в то	1	2
56	его отношение к	1	2
57	но при этом	1	2
58	его отношения к	1	2
59	в конце жизни	1	2
60	и во всем	1	2
61	далеко не все	1	2
62	имел в виду	3	2
63	да и в	1	2
64	он и не	1	2
65	что уже в	1	2
66	мотивы и образы	2	2
67	они как бы	1	2
68	а также в	1	2
69	это не просто	1	2
70	и во многом	1	2
71	каждый из них	1	2
72	в известном смысле	1	2
73	с помощью которых	1	2
74	что у него	1	2
75	и в ней	1	2
76	же время и	1	2
77	одна из вариаций	1	2
78	тем самым он	1	1
79	в соответствии с	1	1
80	что в ней	1	1
81	прямое выражение в	1	1
82	одним из первых	1	1
83	к этому образу	1	1
84	раз в это	1	1
85	но в известном	1	1
86	не забудем что	1	1
87	что в этой	1	1
88	в июле года	1	1
89	при этом он	1	1
90	о которой не	1	1
91	говорить не будем	1	1
92	одним из основателей	1	1
93	на этот раз	1	1
94	одним из сильнейших	1	1
95	над тем что	1	1
96	и всего романа	1	1
97	и даже некоторые	1	1
98	не знали что	1	1
99	а между тем	1	1
100	но нас интересует	1	1
101	этот материал и	1	1
102	тем более что	1	1
103	был еще относительно	1	1
104	и что он	1	1
105	в комментариях к	1	1
106	все в них	1	1
107	чуть было не	1	1
108	как и у	3	1
109	и что в	2	1
110	вряд ли он	1	1
111	в свете этой	1	1
112	не мешало их	1	1
113	что это за	1	1
114	более того в	1	1
115	войне и мире	1	1
116	узнает в нем	1	1
117	своей эпохи он	1	1
118	еще один пример	1	1
119	в эти годы	2	1
120	и никому не	1	1
121	в году когда	1	1
122	независимо от того	1	1
123	в котором он	1	1
124	тем не менее	1	1
125	в своем увлечении	1	1
126	это сама жизнь	1	1
127	и перед ними	1	1
128	в нем самом	1	1
129	он вспоминает о	1	1
130	по преимуществу на	1	1
131	что они не	1	1
132	максимальном удалении от	1	1
133	это не было	1	1
134	в высшей степени	1	1
135	с тех пор	1	1
136	рыцарь печального образа	1	1
137	тем что он	1	1
138	но не менее	1	1
139	на то что	1	1
140	в те годы	2	1
141	не только от	1	1
142	году в париже	1	1
143	к этому моменту	1	1
144	вышел в свет	1	1
145	в период создания	1	1
146	речь идет не	1	1
147	но для нас	1	1
148	в начале года	2	1
149	этим можно объяснить	1	1
150	одно и то	1	1
151	и то же	1	1
152	к людям если	1	1
153	по нашему мнению	1	1
154	в глубине души	1	1
155	речь идет о	1	1
156	говорит о себе	1	1
157	в них много	1	1
158	на первый взгляд	1	1
159	вот ее начало	1	1
160	как он сам	1	1
161	что в начале	2	1
162	в другой раз	1	1
163	между прочим и	1	1
164	ко всем чертям	1	1
165	не только как	1	1
166	и из него	1	1
