N	2gram	Losev_Prob	TeoriaLi
1	в качестве	10	33
2	не только	33	24
3	и в	62	24
4	в частности	4	23
5	то есть	63	22
6	может быть	39	22
7	при этом	9	20
8	в том	35	20
9	и не	56	17
10	а в	9	15
11	но и	20	14
12	а не	28	14
13	так и	16	14
14	в себе	23	14
15	такого рода	14	13
16	но не	6	13
17	в этом	25	12
18	произведение искусства	1	12
19	но в	17	12
20	в его	10	12
21	то же	23	12
22	своего рода	1	11
23	том что	25	11
24	точки зрения	14	11
25	и его	12	11
26	что в	11	10
27	как это	4	10
28	лишь в	1	10
29	в душе	1	9
30	только в	33	9
31	в данном	14	9
32	с другой	14	9
33	в искусстве	4	9
34	не в	21	9
35	в то	18	9
36	в своей	8	8
37	как бы	11	8
38	по своей	1	8
39	не может	14	8
40	в самом	4	7
41	в принципе	1	7
42	не столько	2	7
43	или иной	20	7
44	особого рода	1	7
45	в отличие	2	7
46	в своем	7	7
47	себя в	4	7
48	мы имеем	7	7
49	а также	6	7
50	отличие от	3	7
51	отношение к	1	7
52	однако в	3	7
53	в области	2	7
54	в нем	13	7
55	другой стороны	11	6
56	в состав	1	6
57	более или	2	6
58	как и	15	6
59	не менее	24	6
60	еще не	12	6
61	в основе	3	6
62	то что	42	6
63	уже не	12	6
64	в ее	6	6
65	с другими	6	6
66	или иначе	2	6
67	между ними	1	6
68	или менее	2	6
69	того или	8	6
70	тем самым	9	6
71	в первой	1	6
72	или иного	5	6
73	ни в	17	5
74	в виду	20	5
75	мыслится как	1	5
76	так или	2	5
77	и одновременно	1	5
78	как в	10	5
79	в художественном	5	5
80	а а	1	5
81	можно сказать	10	5
82	не является	19	5
83	того чтобы	4	5
84	для того	5	5
85	как к	1	5
86	по преимуществу	1	5
87	данном случае	12	5
88	для него	4	5
89	а и	2	5
90	того что	10	5
91	знака к	2	5
92	он не	10	5
93	и тем	16	5
94	в пределах	3	5
95	по сути	1	5
96	и о	8	5
97	могут быть	2	5
98	художественного произведения	14	5
99	в отношении	4	4
100	не на	2	4
101	по пути	1	4
102	и сам	6	4
103	в этих	6	4
104	значении этого	1	4
105	отношения к	3	4
106	что он	16	4
107	в слове	4	4
108	входит в	3	4
109	в другом	4	4
110	говорить о	7	4
111	и а	1	4
112	сказать что	24	4
113	в нашем	13	4
114	к тому	4	4
115	этого слова	5	4
116	никогда не	7	4
117	и того	1	4
118	это не	10	4
119	хотя и	9	4
120	в литературе	3	4
121	слова в	1	4
122	в их	2	4
123	его в	4	4
124	но он	1	4
125	не знает	1	4
126	или даже	6	4
127	по своему	6	4
128	со своей	1	4
129	а только	9	4
130	художественности и	3	4
