N	2gram	Potebnia_M	Stilisti
1	и в	48	42
2	как бы	10	30
3	не только	32	28
4	и т.п	1	25
5	прежде всего	6	22
6	и т.д	1	21
7	хотя бы	3	18
8	внутренней речи	1	18
9	то же	35	16
10	но и	30	16
11	и не	28	14
12	может быть	46	13
13	не может	18	13
14	как и	22	12
15	что мы	16	11
16	мы уже	5	11
17	точки зрения	4	11
18	в этом	19	10
19	в себе	26	10
20	и как	8	10
21	мы должны	6	10
22	как мы	8	10
23	мы не	17	9
24	при этом	6	9
25	все же	3	9
26	эти слова	2	9
27	то что	37	9
28	для того	8	9
29	в то	16	9
30	таким образом	24	8
31	так как	20	8
32	с тем	9	8
33	и это	6	8
34	слово как	5	8
35	в ней	11	8
36	тем самым	11	8
37	что же	3	8
38	с его	1	8
39	ничего не	1	8
40	и на	5	7
41	так и	17	7
42	мы можем	13	7
43	только в	29	7
44	в которой	9	7
45	зависимости от	1	7
46	и его	4	7
47	потому что	82	7
48	того чтобы	5	7
49	другими словами	3	7
50	и тем	8	7
51	же время	8	7
52	было бы	16	7
53	и той	4	7
54	той же	6	7
55	и от	5	7
56	а не	22	7
57	никогда не	2	7
58	во всех	1	6
59	в его	6	6
60	не в	24	6
61	говорящего и	3	6
62	в нем	16	6
63	в процессе	2	6
64	на его	4	6
65	бы в	3	6
66	точкой зрения	1	6
67	в свою	6	6
68	если б	9	6
69	одно и	7	6
70	в форме	2	6
71	или как	1	6
72	когда мы	4	6
73	в этой	3	6
74	слова в	7	6
75	язык в	1	6
76	в области	3	6
77	в той	2	5
78	в самом	11	5
79	что язык	5	5
80	то есть	53	5
81	уже в	10	5
82	и их	4	5
83	с точки	3	5
84	те же	6	5
85	не является	1	5
86	самом деле	5	5
87	но все	2	5
88	и с	4	5
89	но в	8	5
90	тому что	6	5
91	вместе с	22	5
92	точек зрения	1	5
93	а с	4	5
94	и следовательно	3	5
95	слова и	8	5
96	как это	1	5
97	а в	14	5
98	же самое	3	5
99	в нашем	1	5
100	в сознании	36	5
101	и то	13	5
102	независимо от	10	5
103	и наконец	3	5
104	мы видели	5	5
105	одной и	6	4
106	были бы	1	4
107	и к	5	4
108	мы видим	3	4
109	один из	7	4
110	слов в	6	4
111	что это	6	4
112	на него	3	4
113	что такое	2	4
114	все это	4	4
115	в одном	4	4
