N	3gram	Berdyaev_V	formyVre
1	но и в	2	12
2	в этом мире	1	10
3	и т д	2	7
4	и в этом	1	6
5	в том что	2	5
6	как и в	1	5
7	в нем нет	2	4
8	но все же	1	4
9	с другой стороны	1	4
10	человека в его	1	3
11	по сравнению с	1	3
12	вместе с тем	1	3
13	так и в	1	3
14	и вместе с	1	2
15	но в нем	1	2
16	самой жизни в	1	2
17	к тому что	3	2
18	все что есть	3	2
19	все это мы	1	1
20	ни для чего	1	1
21	в первый раз	3	1
22	хотя бы и	1	1
23	от природы и	1	1
24	есть еще и	1	1
25	в них и	1	1
26	за то что	3	1
27	жизни в этом	1	1
28	в нем но	1	1
29	вместо того чтобы	2	1
30	и вечной жизни	1	1
31	и никогда не	1	1
32	и вообще в	1	1
33	ведет не к	1	1
34	и во всяком	1	1
35	никогда не было	1	1
36	есть одна из	1	1
37	находится в состоянии	1	1
38	во всем мире	1	1
39	роль в нем	1	1
40	дел и переживаний	1	1
41	на земле то	1	1
42	как бы в	1	1
43	вот почему в	1	1
44	другой стороны в	1	1
45	от него в	1	1
46	в конце концов	1	1
47	от бога и	1	1
48	есть прежде всего	1	1
49	том что он	2	1
50	миру в образе	1	1
51	не могут быть	1	1
52	у нас это	1	1
53	личности и ее	1	1
54	в жизни и	1	1
