N	4gram	Vinokur_Ku	VLabPisa
1	в то же время	4	5
2	и в то же	1	3
3	одном и том же	1	2
4	большей или меньшей степени	2	2
5	с более или менее	1	2
6	хотя бы и не	1	2
7	в большей или меньшей	2	2
8	не в том что	1	2
9	т е не в	1	1
10	одним из моментов в	1	1
11	только в том что	1	1
12	с этой точки зрения	3	1
13	в том смысле что	1	1
14	имеем в виду не	1	1
15	в том случае если	3	1
16	ни в какой мере	1	1
17	что на известной ступени	1	1
18	о том как возник	1	1
19	но все же и	1	1
20	одно и то же	1	1
21	в одном и том	1	1
22	но с другой стороны	1	1
23	основанием для того чтобы	1	1
24	дело не в том	1	1
25	говоря уже о том	1	1
26	и т п все	2	1
27	бы сами по себе	1	1
28	занимает по отношению к	1	1
29	только в том случае	2	1
30	а в том что	2	1
31	как бы сами по	1	1
32	примеров можно было бы	1	1
33	уже о том что	1	1
34	и т п для	1	1
35	в том что оно	2	1
36	не говоря уже о	1	1
37	и вместе с тем	1	1
38	ответ на этот вопрос	1	1
39	хотя бы и в	1	1
40	в том или ином	1	1
