N	2gram	Bakhtin_Pr	Mirosoze
1	и в	38	97
2	может быть	26	64
3	не только	9	63
4	в этом	15	55
5	но и	9	54
6	он не	3	53
7	а не	5	53
8	в нем	15	49
9	не может	27	49
10	и не	42	39
11	никогда не	5	38
12	в ней	4	37
13	не было	2	36
14	не в	7	34
15	и есть	2	33
16	для него	1	31
17	не есть	6	30
18	но он	1	30
19	есть лишь	3	30
20	человека в	2	30
21	как и	7	29
22	прежде всего	13	29
23	и он	2	27
24	в мире	3	27
25	но в	4	27
26	человека и	1	26
27	в своей	7	25
28	и это	3	25
29	и все	3	24
30	у нас	2	24
31	в своем	5	23
32	что в	7	23
33	что он	2	22
34	в самом	7	21
35	в себе	4	20
36	отношение к	10	20
37	в россии	2	19
38	как бы	22	19
39	до конца	1	19
40	ивана карамазова	2	18
41	в его	43	18
42	того что	2	17
43	и потому	4	17
44	том что	3	16
45	в том	8	16
46	то что	8	16
47	было бы	8	16
48	и его	16	16
49	в котором	2	15
50	не знает	3	15
51	в этой	1	15
52	человек в	2	14
53	она не	2	14
54	в творчестве	1	14
55	и на	3	13
56	из подполья	1	13
57	друг друга	1	13
58	и вот	1	13
59	в них	5	12
60	к нему	10	12
61	и у	2	12
62	но не	12	12
63	смысле слова	2	12
64	это не	5	12
65	все это	3	12
66	и к	3	11
67	с тем	1	11
68	уже не	1	11
69	хотя бы	4	11
70	в которой	1	11
71	был бы	1	11
72	только в	13	11
73	как в	4	11
74	но это	3	11
75	и для	11	11
76	менее всего	3	11
77	жизни и	1	11
78	то же	5	10
79	так же	1	10
80	образ человека	1	10
81	должна быть	4	10
82	не могут	2	10
83	не имеет	9	10
84	это и	1	10
85	в самой	2	10
86	есть не	2	10
87	все что	3	9
88	к тому	1	9
89	должно быть	5	9
90	что и	2	9
91	я не	2	9
92	то есть	46	9
93	с ним	5	9
94	вместе с	1	9
95	в свою	2	9
96	и во	2	9
97	образ и	1	9
98	бы и	1	9
99	есть уже	1	9
100	есть и	1	9
101	а в	6	9
102	лишь в	2	9
