N	2gram	Losev_Prob	Retstnzi
1	не может	6	4
2	и в	48	3
3	достоевского и	1	2
4	если в	2	2
5	один из	2	2
6	в особенности	1	1
7	несмотря на	7	1
8	может быть	11	1
9	не только	28	1
10	точки зрения	17	1
11	с точки	13	1
12	для него	2	1
13	с теми	3	1
14	в ней	4	1
15	тех же	1	1
16	себе все	2	1
17	в каждом	2	1
18	связи с	11	1
19	бессилия и	1	1
20	и предварительно	1	1
21	преодолеть эту	1	1
22	бы на	3	1
23	на месте	2	1
24	можно и	1	1
25	с другими	1	1
26	художественной структуры	1	1
27	больше ничего	1	1
28	если бы	2	1
29	конечно и	1	1
30	художественного произведения	1	1
31	в его	19	1
32	ничего кроме	1	1
33	не менее	8	1
34	именно с	1	1
35	но и	21	1
36	впадает в	1	1
37	к тому	7	1
38	сравнении с	4	1
39	можно назвать	2	1
40	тому что	2	1
41	и можно	6	1
42	теми или	1	1
43	в то	6	1
44	из этих	2	1
45	и больше	1	1
46	он в	5	1
47	же время	1	1
48	то же	6	1
49	при анализе	2	1
50	а не	7	1
51	бы в	2	1
52	нет и	3	1
53	искусство как	1	1
54	и должно	1	1
55	и не	29	1
56	так называемая	2	1
57	на нее	1	1
58	и все	12	1
59	и на	9	1
60	русской литературы	1	1
