N	3gram	Voloshinov	Istorich
1	с другой стороны	2	46
2	с одной стороны	2	28
3	так же как	1	27
4	в том что	2	25
5	не может быть	4	24
6	тем не менее	1	23
7	в связи с	1	17
8	в данном случае	2	15
9	по отношению к	3	14
10	на то что	1	14
11	таким образом мы	1	13
12	мы уже видели	1	13
13	в тех случаях	1	11
14	не что иное	2	11
15	что иное как	2	11
16	как и в	1	10
17	можно было бы	1	10
18	тех случаях когда	1	10
19	но так как	2	9
20	более или менее	1	9
21	и вместе с	1	9
22	то же самое	1	8
23	подобно тому как	1	8
24	в зависимости от	2	8
25	в одном случае	1	7
26	то что в	1	7
27	если бы мы	1	7
28	этой точки зрения	1	6
29	с этой точки	1	6
30	но тем не	1	6
31	с самого начала	2	6
32	мы не можем	1	6
33	том что в	1	5
34	для того чтобы	1	5
35	в отличие от	1	5
36	есть не что	2	5
37	в другом месте	1	5
38	на самом деле	1	5
39	не только на	1	4
40	только то что	1	4
41	с точки зрения	5	4
42	там где нет	1	4
43	состоит в том	1	4
44	иметь в виду	1	4
45	нам кажется что	1	4
46	все то что	1	3
47	и то же	2	3
48	что в этом	1	3
49	к тому что	1	3
50	один и тот	1	3
51	и тем что	1	3
52	и тот же	1	3
53	но далеко не	1	3
54	мы можем установить	1	3
55	само по себе	1	3
56	только в связи	1	3
57	в связи со	1	3
58	в античной греции	1	3
59	уже видели как	1	3
60	об этом говорит	1	3
61	и в области	1	3
62	по себе а	1	2
63	в самом деле	2	2
64	далеко не всегда	1	2
65	эту точку зрения	1	2
66	в особенности в	1	2
67	ничего общего с	2	2
68	же объясняется что	1	2
69	образом мы можем	1	2
70	и один из	1	2
71	в виду что	1	2
72	может быть и	1	2
73	может быть это	1	2
74	может идти только	1	2
75	почти никогда не	1	2
76	то мы получим	1	2
77	хотя бы в	1	2
78	это конечно не	1	2
79	и не может	1	2
80	равно как и	1	2
81	в борьбе с	1	2
82	речь может идти	1	2
83	с одним из	1	2
84	идти только о	1	2
85	на эту связь	1	2
86	эта связь с	1	2
87	есть одно и	1	2
88	одно и то	3	2
89	только потому что	1	2
90	и в индии	1	1
91	еще одну особенность	1	1
92	отражается еще в	1	1
93	тесно связана с	1	1
94	в себя как	1	1
95	греции и в	1	1
96	можем поставить вопрос	2	1
97	что в ней	1	1
98	в этот момент	1	1
99	привела его к	1	1
100	его роль в	1	1
101	а не как	1	1
102	и в действительности	1	1
103	еще тем что	1	1
104	вместе с ними	1	1
105	одно из проявлений	1	1
106	которое может стать	1	1
107	как бы сам	1	1
108	можно говорить о	1	1
109	чем иным как	2	1
110	из тела и	1	1
111	не входит в	1	1
112	указать на то	1	1
113	все же есть	1	1
114	а также и	1	1
115	такое утверждение не	1	1
116	в узком смысле	1	1
117	в чем же	1	1
118	постановка вопроса о	1	1
119	теперь мы можем	1	1
120	прежде всего является	1	1
121	но столь же	1	1
122	связаны между собою	1	1
123	и к тому	1	1
124	до тех пор	4	1
125	может быть объяснено	1	1
126	весь этот материал	1	1
127	или менее случайно	1	1
128	этого мы должны	1	1
129	не мог бы	1	1
130	тот же мотив	1	1
131	прежде всего в	1	1
132	является не чем	1	1
133	на этом мы	1	1
134	мы все же	1	1
135	но там где	1	1
136	то или иное	1	1
137	и вне этой	1	1
138	должно было бы	1	1
139	в этом отношении	1	1
140	может быть не	1	1
141	же представляет себе	1	1
142	не чем иным	2	1
143	и пр с	1	1
144	тех или иных	1	1
145	не может входить	1	1
146	и не мог	1	1
147	в которых он	1	1
148	другой стороны оно	1	1
149	несмотря на все	1	1
150	и в его	1	1
151	с этим же	1	1
152	то же время	1	1
153	в этот вопрос	1	1
154	и пр на	1	1
155	полном соответствии с	2	1
156	его историческое развитие	1	1
157	того или иного	2	1
158	что едва ли	1	1
159	в полном соответствии	2	1
160	как то что	1	1
161	здесь мы не	1	1
162	ту или иную	1	1
163	с ними и	1	1
164	в то же	1	1
165	все же остается	1	1
166	но в то	1	1
167	но это конечно	1	1
168	мы можем поставить	2	1
169	только с помощью	1	1
170	в природе не	1	1
171	было бы быть	1	1
172	потому что они	1	1
