N	3gram	Medvedev_S	VeschiIm
1	по крайней мере	1	10
2	в том что	2	9
3	сама по себе	1	7
4	в то же	1	5
5	о том как	1	4
6	это и есть	1	4
7	то же время	1	4
8	и в то	1	3
9	не может не	1	3
10	только то что	1	3
11	с одной стороны	1	3
12	как же теперь	1	2
13	в конце концов	2	2
14	быть не только	1	2
15	в связи с	1	2
16	во всяком случае	1	2
17	и в этом	1	2
18	между ними в	1	1
19	том что это	1	1
20	бы в этом	1	1
21	должно было бы	1	1
22	дело не в	2	1
23	то что в	1	1
24	тем более не	1	1
25	что все это	1	1
26	прежде всего не	1	1
27	все это по	1	1
28	не в том	2	1
29	не было бы	1	1
30	мы переходим к	1	1
31	но только в	1	1
32	а в том	1	1
33	ни на что	1	1
34	все же это	1	1
35	на точке зрения	1	1
36	то же самое	1	1
37	на первый план	1	1
