N	3gram	Trubetskoy	Narrotol
1	в том что	16	18
2	в данном случае	3	17
3	по отношению к	11	11
4	к тому же	5	9
5	о том что	4	9
6	не может быть	4	8
7	тем не менее	4	8
8	то же время	2	8
9	в то же	2	8
10	состоит в том	1	6
11	с одной стороны	2	6
12	для того чтобы	7	5
13	но при этом	1	5
14	в свою очередь	2	5
15	на самом деле	7	5
16	и все же	1	5
17	начало и конец	4	4
18	к тому что	1	4
19	во всяком случае	2	4
20	заключает в себе	2	3
21	в самом деле	5	3
22	и не может	1	3
23	друг на друга	2	3
24	а в том	1	3
25	до сих пор	15	3
26	в этом и	1	3
27	иметь в виду	1	3
28	в зависимости от	1	3
29	точно так же	1	3
30	в связи с	3	3
31	то же самое	1	3
32	пока еще не	1	3
33	этом и состоит	1	3
34	на то что	7	3
35	двух или нескольких	2	3
36	с точки зрения	8	3
37	дело в том	1	3
38	и то что	3	3
39	и в жизни	1	2
40	все то что	1	2
41	не в том	1	2
42	более или менее	8	2
43	и то же	1	2
44	одного и того	3	2
45	что у него	1	2
46	а между тем	8	2
47	может быть не	1	2
48	в нем не	1	2
49	не только не	1	2
50	и того же	3	2
51	а с другой	2	2
52	и у нас	1	2
53	хотя и не	1	2
54	мысль о том	1	2
55	но все же	2	2
56	к одному из	1	2
57	все же не	3	2
58	одно и то	1	2
59	можно было бы	1	2
60	так же как	3	2
61	на первый взгляд	1	2
62	в этом последнем	1	2
63	лишь в том	5	1
64	в другом только	1	1
65	что и для	1	1
66	мы уже знаем	1	1
67	в этом направлении	1	1
68	далеко не исчерпывается	1	1
69	таким образом для	1	1
70	никак не может	1	1
71	никогда не будет	3	1
72	по сравнению с	5	1
73	и в другом	1	1
74	при этом что	2	1
75	он не может	2	1
76	что они не	1	1
77	тогда как сам	1	1
78	и так или	1	1
79	в том числе	1	1
80	не отличается от	1	1
81	но для того	1	1
82	друг от друга	6	1
83	свидетельствует о том	1	1
84	но и с	1	1
85	том виде в	1	1
86	не только с	1	1
87	так или иначе	5	1
88	иначе говоря для	1	1
89	приходится искать в	1	1
90	и все что	2	1
91	но и сам	1	1
92	друг с другом	9	1
93	в том случае	4	1
94	что все эти	1	1
95	в то что	1	1
96	в том или	1	1
97	то ни было	3	1
98	не может не	3	1
99	а не в	1	1
100	перед нами два	1	1
101	только то что	2	1
102	том числе и	1	1
103	с другой стороны	4	1
104	бы то ни	3	1
105	из того что	1	1
106	никогда не было	1	1
107	в равной мере	1	1
108	сих пор еще	1	1
109	в нашем случае	2	1
110	тогда как за	1	1
111	можно представить себе	1	1
112	то есть в	1	1
113	только по отношению	1	1
114	что он может	1	1
115	в нашем опыте	1	1
116	в противоречие с	1	1
117	именно в такой	1	1
118	по крайней мере	1	1
119	в данный момент	1	1
120	этой точки зрения	1	1
121	том или ином	1	1
122	но в целом	1	1
123	что же касается	2	1
124	как и в	2	1
125	а потому не	1	1
126	быть и не	1	1
127	не имея возможности	1	1
128	в то время	2	1
129	это действительно так	1	1
130	тем более что	1	1
131	точки зрения на	1	1
132	может быть вполне	1	1
133	лишь то что	1	1
134	все та же	1	1
135	я не могу	1	1
136	ни одна из	1	1
137	и с точки	1	1
138	как и все	2	1
139	как мы видели	1	1
140	мы не знаем	1	1
141	не подлежит сомнению	3	1
142	при этом однако	1	1
143	столь же мало	1	1
144	то время как	1	1
145	с самого начала	1	1
146	точки зрения настоящего	1	1
147	том что он	2	1
148	в его душе	1	1
149	с и т.д	1	1
150	представление о том	1	1
151	при этом у	1	1
152	одна из этих	1	1
153	том случае если	4	1
154	по его мнению	1	1
155	вместо того чтобы	1	1
156	то что мы	1	1
157	в том виде	2	1
158	нет и не	1	1
159	упускать из виду	1	1
160	не совпадающей с	1	1
161	с этой точки	1	1
162	но с другой	1	1
163	может быть и	4	1
