N	3gram	Tiupa_Hudo	Vvedenie
1	для того чтобы	5	22
2	в том что	8	15
3	о том что	1	13
4	не может быть	4	10
5	в этом смысле	3	10
6	тем не менее	3	9
7	мере в какой	1	6
8	в той мере	1	6
9	в самом деле	2	6
10	в то же	7	6
11	в этом случае	1	6
12	той мере в	1	6
13	то же время	7	6
14	не что иное	1	5
15	что иное как	1	5
16	с другой стороны	6	5
17	и в том	1	4
18	по отношению к	10	4
19	по крайней мере	1	4
20	с точки зрения	3	4
21	так или иначе	4	4
22	в отличие от	7	4
23	с одной стороны	3	4
24	может быть названо	2	4
25	одной стороны и	1	3
26	той или иной	5	3
27	том отношении что	1	3
28	заключается в том	1	3
29	и в самом	3	3
30	в свое время	1	3
31	можно сказать что	3	3
32	именно в этом	1	3
33	но в то	1	3
34	в зависимости от	1	3
35	тех или иных	2	3
36	действительность в ее	1	3
37	можно говорить о	1	3
38	есть не что	1	3
39	то же самое	1	3
40	сама по себе	2	3
41	в том отношении	1	3
42	в известном смысле	2	3
43	в этих случаях	1	2
44	в свою очередь	2	2
45	и потому что	1	2
46	на задний план	1	2
47	обратим внимание на	1	2
48	значении этого термина	2	2
49	этой точки зрения	2	2
50	том или ином	1	2
51	с этой точки	2	2
52	на котором он	1	2
53	и то же	3	2
54	состоит в том	5	2
55	каждой из них	1	2
56	одно и то	3	2
57	в данном отношении	1	2
58	по тем или	1	2
59	точно так же	1	2
60	в соответствии с	1	2
61	в том или	1	2
62	тем или иным	2	2
63	и того же	3	2
64	подобно тому как	3	2
65	не могут быть	1	2
66	в связи с	3	2
67	одного и того	3	2
68	что несмотря на	1	2
69	может быть и	2	2
70	в тексте не	1	1
71	в той или	2	1
72	в одном и	1	1
73	все то что	1	1
74	может быть назван	1	1
75	и др в	1	1
76	и том же	1	1
77	логической точки зрения	1	1
78	языка на котором	1	1
79	на вопрос что	1	1
80	из этих двух	1	1
81	себе отчет в	1	1
82	вопрос что такое	1	1
83	то или иное	1	1
84	мы говорим о	1	1
85	то что входит	1	1
86	дело не в	1	1
87	отчет в том	1	1
88	исторического бытия и	1	1
89	какой бы то	1	1
90	а в другом	1	1
91	в реальной действительности	1	1
92	как один из	1	1
93	как видно из	1	1
94	в том числе	3	1
95	все что может	1	1
96	он мог бы	1	1
97	нами не как	1	1
98	в этом втором	1	1
99	специфическом значении этого	1	1
100	связи с этим	1	1
101	более или менее	6	1
102	литературы как и	1	1
103	в лучшем случае	1	1
104	этом втором случае	1	1
105	того или иного	4	1
106	отношению к нему	1	1
107	в частности в	1	1
108	в таком случае	2	1
109	особое отношение к	1	1
110	в одном случае	1	1
111	по содержанию своему	1	1
112	на этом пути	1	1
113	что входит в	1	1
114	в особенности в	1	1
115	именно потому что	1	1
116	в настоящее время	1	1
117	в самой себе	1	1
118	прежде всего к	1	1
119	как раз в	1	1
120	так же как	1	1
121	имеем в виду	3	1
122	и прежде всего	2	1
123	мы имеем в	3	1
124	в сравнении с	1	1
125	но в силу	1	1
126	а в том	1	1
127	том что он	2	1
128	не менее не	1	1
129	то ни было	2	1
130	в русском языке	1	1
131	на время в	1	1
132	заключает в себе	1	1
133	языка но и	1	1
134	к тому что	2	1
135	та или иная	1	1
136	еще и потому	1	1
137	в момент своего	1	1
138	только то что	1	1
139	о полку игореве	2	1
140	в таких случаях	1	1
141	бы то ни	2	1
142	ту или иную	2	1
143	из того что	1	1
144	одном и том	1	1
145	а не только	1	1
146	имея в виду	1	1
147	в какой их	1	1
148	платона и аристотеля	1	1
149	в значительной степени	2	1
150	прежде всего в	1	1
151	в чистом виде	1	1
152	как уже говорилось	2	1
153	имеем дело с	1	1
154	мы имеем дело	2	1
155	в прошлом и	1	1
