N	2gram	Tiupa_Vved	UchenyiS
1	и в	23	14
2	не только	32	10
3	а не	31	10
4	и не	24	8
5	прежде всего	11	8
6	то что	9	7
7	в этом	27	7
8	не может	14	7
9	может быть	25	6
10	в искусстве	1	6
11	перестает быть	1	5
12	хотя бы	2	5
13	то же	8	5
14	в художественном	1	5
15	и только	2	5
16	все это	3	5
17	в конечном	2	4
18	с другой	10	4
19	в этой	2	4
20	конечном счете	2	4
21	что такое	23	4
22	но и	31	4
23	в их	2	4
24	к сожалению	1	3
25	было бы	4	3
26	не о	2	3
27	и то	1	3
28	только к	1	3
29	или точнее	2	3
30	истории литературы	1	3
31	и т.д	6	3
32	этой области	1	3
33	для этого	2	3
34	очевидно что	2	3
35	это не	7	3
36	как и	21	3
37	для него	5	3
38	в своей	10	3
39	все же	10	3
40	в области	5	3
41	в частности	19	3
42	в то	5	3
43	не как	2	3
44	у нас	4	3
45	другой стороны	3	3
46	не следует	3	3
47	но в	14	3
48	же время	4	3
49	этого термина	1	2
50	все они	2	2
51	таким образом	6	2
52	в самом	6	2
53	же не	1	2
54	не приходится	1	2
55	материал для	1	2
56	в противном	2	2
57	могли бы	3	2
58	его и	1	2
59	если бы	10	2
60	самом деле	6	2
61	могут быть	5	2
62	не в	12	2
63	ни от	2	2
64	бы и	4	2
65	и с	2	2
66	в противовес	4	2
67	же самое	2	2
68	одним из	5	2
69	крайней мере	1	2
70	как таковой	1	2
71	но не	9	2
72	мы и	2	2
73	тем что	2	2
74	как принцип	1	2
75	в себе	15	2
76	в его	9	2
77	в конце	3	2
78	т.е в	1	2
79	приходится признать	1	2
80	должна быть	3	2
81	мы не	6	2
82	ничего не	3	2
83	всех этих	1	2
84	словесного творчества	2	2
85	между тем	3	2
86	что она	2	2
87	не есть	2	2
88	что он	2	2
89	на эту	1	2
90	при таком	2	2
91	этом отношении	7	2
92	противном случае	2	2
93	о чем	4	2
94	фактов и	1	2
95	как раз	5	2
96	а его	3	2
97	интереса к	1	2
98	не могут	1	2
99	а как	1	2
100	что мы	2	2
101	сводится к	6	2
102	в том	21	2
103	это уже	2	2
104	том что	16	2
105	и через	2	2
106	но это	4	2
107	этом смысле	1	2
108	а о	1	2
109	и для	8	2
110	в итоге	4	2
111	что и	6	2
112	к области	1	2
113	в сторону	1	2
114	не столько	5	2
115	установку на	1	2
116	не случайно	1	2
117	с его	1	2
118	и у	2	2
119	превращается в	1	2
120	на первый	3	2
121	по крайней	1	2
122	только в	9	2
123	по себе	2	2
124	что все	1	2
125	не все	2	2
126	еще один	3	1
127	первый взгляд	3	1
128	в той	5	1
129	было и	2	1
130	что в	6	1
131	очень легко	1	1
132	иначе говоря	8	1
133	не было	5	1
134	под понятие	1	1
135	методе и	1	1
136	и даже	3	1
137	более или	2	1
138	но тут	1	1
139	и потому	2	1
140	столько же	1	1
141	но он	2	1
142	этом случае	1	1
143	исторических фактов	1	1
144	или просто	1	1
145	можно сказать	6	1
146	литературного произведения	1	1
