N	3gram	Vygotskiy_	slovoVRo
1	и т п	5	72
2	не может быть	4	19
3	то же время	1	18
4	в то же	1	18
5	той или иной	2	15
6	с точки зрения	5	15
7	в отличие от	3	14
8	в узком смысле	1	14
9	с одной стороны	15	11
10	и т д	6	10
11	более или менее	1	9
12	в этом случае	2	9
13	в зависимости от	7	8
14	во всяком случае	1	8
15	и в то	1	6
16	с другой стороны	8	6
17	в том что	30	5
18	по отношению к	2	5
19	в каждый данный	1	5
20	не только в	5	5
21	в этом отношении	3	5
22	до конца и	2	5
23	может быть и	2	5
24	одной стороны и	1	4
25	для того чтобы	41	4
26	на первый план	2	4
27	друг с другом	6	4
28	до сих пор	9	4
29	каждый данный момент	1	4
30	те или иные	1	4
31	в свою очередь	1	4
32	можно сказать что	3	4
33	таким образом в	2	4
34	в лучшем случае	3	4
35	у него нет	1	4
36	не могут быть	1	4
37	и в сущности	1	4
38	прямо сказать что	1	3
39	до известной степени	1	3
40	в собственном смысле	2	3
41	и то же	4	3
42	того или иного	1	3
43	может быть только	1	3
44	в данном случае	3	3
45	как если бы	1	3
46	сама по себе	3	3
47	к тому что	8	3
48	в евгении онегине	1	3
49	но и здесь	1	3
50	и не в	1	3
51	в основе его	1	3
52	одно и то	3	3
53	героя и его	1	3
54	первой и второй	1	3
55	между языком и	1	3
56	в истории литературы	1	3
57	он никогда не	1	2
58	двух планах в	1	2
59	на этом фоне	1	2
60	которых мы говорили	1	2
61	в средние века	1	2
62	и в другом	1	2
63	то или иное	1	2
64	о которых мы	2	2
65	с этой точки	3	2
66	вовсе не в	2	2
67	то есть к	1	2
68	и во всех	1	2
69	то есть не	1	2
70	слов так как	1	2
71	не только о	1	2
72	а между тем	1	2
73	не для того	4	2
74	или наоборот в	1	2
75	в чем не	1	2
76	себя и свою	1	2
77	они как бы	1	2
78	не только не	4	2
79	имеет дело с	2	2
80	но в этом	1	2
81	а не только	1	2
82	и в том	2	2
83	и в этом	2	2
84	сих пор не	1	2
85	в том и	3	2
86	даже там где	1	2
87	и в романе	1	2
88	т п и	1	2
89	иметь в виду	3	2
90	а не как	1	2
91	о том что	15	2
92	обстоит дело и	2	2
93	этой точки зрения	3	2
94	требует от нас	1	2
95	в то время	4	2
96	на том же	1	2
97	мы не можем	2	2
98	можно было бы	4	2
99	во всех этих	2	2
100	с самого начала	5	2
101	же как и	1	2
102	между тем как	1	2
103	с ним и	1	2
104	в двух планах	4	2
105	тем что он	1	2
106	привело к тому	1	2
107	и в частности	2	2
108	и не только	1	2
109	то время как	4	2
110	ни в чем	1	2
111	тот факт что	6	2
112	ним необходимо признать	1	1
113	мы видели что	1	1
114	мы все же	3	1
115	рядом с которой	1	1
116	так сказать в	1	1
117	никак не могут	1	1
118	как это возможно	1	1
119	обстоит дело в	1	1
120	или наоборот как	1	1
121	как раз на	1	1
122	между героем и	1	1
123	вот что говорит	1	1
124	что он не	3	1
125	бы и не	1	1
126	все то что	6	1
127	собой в его	1	1
128	это как бы	1	1
129	гораздо сложнее и	1	1
130	в конечном счете	2	1
131	для этого необходимо	2	1
132	в применении к	1	1
133	не вносит в	1	1
134	мы видим что	5	1
135	и материала и	1	1
136	только одна из	1	1
137	на задний план	1	1
