N	3gram	Medvedev_V	Myshleni
1	в том что	5	133
2	для того чтобы	3	78
3	по сравнению с	1	45
4	по отношению к	7	42
5	так же как	1	39
6	с одной стороны	2	39
7	то же самое	1	31
8	в этом отношении	14	30
9	можно было бы	2	28
10	в этом случае	1	27
11	вместе с тем	4	26
12	с другой стороны	8	26
13	на то что	1	25
14	о том что	3	25
15	не может быть	8	23
16	в то время	1	22
17	к тому что	4	22
18	в зависимости от	5	22
19	не только не	2	21
20	можно сказать что	4	21
21	то время как	1	20
22	в самом деле	1	19
23	во всяком случае	2	18
24	в этом смысле	1	18
25	до сих пор	2	17
26	этой точки зрения	2	17
27	в связи с	4	17
28	же как и	1	17
29	с этой точки	1	16
30	в данном случае	1	15
31	на этот вопрос	1	14
32	мы видели что	3	14
33	в свою очередь	1	14
34	подобно тому как	3	14
35	в другом месте	2	13
36	и то же	1	12
37	в том чтобы	2	12
38	одно и то	1	12
39	только тогда когда	1	11
40	одной стороны и	2	10
41	том числе и	2	10
42	то что в	1	10
43	от того что	2	10
44	но вместе с	1	10
45	в том числе	2	10
46	в целом и	1	9
47	сама по себе	1	9
48	ни в какой	1	9
49	более или менее	6	9
50	в конечном счете	5	9
51	в силу того	1	9
52	именно в этом	1	9
53	только в том	2	8
54	в целом но	1	8
55	в силу этого	4	8
56	той или иной	1	8
57	не могут быть	4	8
58	что он не	1	8
59	в том же	1	8
60	в этой области	3	8
61	о том как	3	7
62	и вместе с	1	7
63	по этому поводу	7	7
64	вопрос о том	1	7
65	не удивительно поэтому	1	7
66	удивительно поэтому что	1	7
67	приводит к тому	2	7
68	ничего общего с	1	6
69	то о чем	1	6
70	в этом и	2	6
71	именно в силу	1	6
72	заключает в себе	1	6
73	может быть выражена	1	6
74	и том же	2	6
75	только то что	2	6
76	одном и том	2	6
77	и не может	2	6
78	в том смысле	1	6
79	процесса в целом	1	6
80	того что мы	1	6
81	что перед нами	1	6
82	лежит в основе	1	6
83	кроме того что	1	5
84	этом и заключается	2	5
85	как если бы	1	5
86	но все же	1	5
87	в этом заключается	1	5
88	том смысле что	1	5
89	сами по себе	1	5
90	в конце концов	2	5
91	что все эти	2	5
92	уже по одному	2	5
93	не может не	2	5
94	в какой мере	1	5
95	мы знаем что	2	5
96	и ту же	1	5
97	в то же	5	5
98	ответ на этот	1	5
99	не только в	2	5
100	между этими двумя	1	5
101	мы видим что	1	4
102	приводят нас к	1	4
103	не могут не	2	4
104	как это мы	1	4
105	по аналогии с	1	4
106	одну и ту	1	4
107	таким образом и	1	4
108	мы имеем дело	1	4
109	но и в	1	4
110	об одном и	1	4
111	и тем более	1	4
112	таким образом в	2	4
113	как и все	1	4
114	если бы он	1	4
115	как увидим ниже	1	4
116	прямо и непосредственно	1	4
117	том что мы	1	4
118	в силу чего	2	4
119	вместе с этим	1	4
120	ни один из	2	4
121	после всего сказанного	1	4
122	после того как	2	4
123	в применении к	1	3
124	и связанное с	1	3
125	и в другом	2	3
126	один из них	1	3
127	мы говорим о	1	3
128	хотя бы и	5	3
129	к тому же	1	3
130	чем иным как	1	3
131	то же время	5	3
132	какой мере не	1	3
133	в результате этого	1	3
134	того как он	1	3
135	мы только что	1	3
136	того или иного	1	3
137	хотя бы в	3	3
138	оно может быть	1	3
139	неизбежно приводит к	1	3
140	с действительностью и	1	3
141	первая из них	1	3
142	и в результате	1	3
143	и во всех	1	3
144	только в пределах	1	3
145	обратил внимание на	1	3
