N	3gram	Propp_Isto	SlovoVZh
1	по отношению к	2	11
2	не может быть	4	7
3	можно сказать что	2	5
4	в том что	8	4
5	как если бы	1	4
6	до сих пор	7	3
7	этой точки зрения	1	3
8	тем не менее	6	3
9	и не может	1	3
10	может быть и	1	3
11	на самом деле	1	2
12	в жизни и	1	2
13	то же самое	1	2
14	с этой стороны	2	2
15	в данном случае	6	2
16	в зависимости от	1	2
17	с одной стороны	2	2
18	с другой стороны	10	2
19	с точки зрения	1	2
20	но тем не	2	2
21	в такой же	1	2
22	можно найти в	1	1
23	сих пор не	1	1
24	все же не	1	1
25	является то что	1	1
26	это только одна	1	1
27	сами по себе	1	1
28	о том что	3	1
29	она находит в	1	1
30	свою связь с	2	1
31	на передний план	1	1
32	когда он не	1	1
33	случае мы имеем	1	1
34	совершенно ясно что	1	1
35	таким образом мы	2	1
36	только одна сторона	1	1
37	в свою очередь	1	1
38	ничего общего с	1	1
39	другой ничего не	1	1
40	и пр здесь	1	1
41	еще не вполне	2	1
42	как и в	2	1
43	не находят себе	1	1
44	но прежде всего	1	1
45	во всяком случае	2	1
46	самом же деле	1	1
47	она не может	1	1
48	имеем дело с	1	1
49	равно как и	1	1
50	только то что	1	1
51	подобно тому как	3	1
52	мы увидим что	2	1
53	с самого начала	1	1
54	на самом же	1	1
55	же как и	3	1
56	можно было бы	2	1
57	так же как	7	1
58	так и к	1	1
59	и прежде всего	1	1
60	но и в	2	1
61	в них и	1	1
62	мы имеем в	4	1
63	то время как	2	1
64	не отражает в	1	1
65	том что в	2	1
66	мы имеем дело	1	1
67	так как в	1	1
68	но если бы	1	1
69	берет на себя	2	1
70	в то время	2	1
71	в виду не	1	1
72	в пределах этого	1	1
73	от того кто	1	1
74	но все же	5	1
75	и здесь мы	2	1
76	к тому же	4	1
