N	2gram	Bakhtin_fo	Otkroven
1	у него	8	22
2	человеческой природы	2	20
3	и в	84	19
4	и не	19	13
5	но и	14	13
6	в этом	41	12
7	человека в	22	11
8	а не	7	11
9	не только	16	11
10	не в	10	11
11	может быть	18	11
12	вопрос о	2	10
13	человека и	15	10
14	и все	10	10
15	в нем	28	10
16	к человеку	1	9
17	потому что	11	9
18	прежде всего	28	9
19	не было	8	9
20	в самой	3	9
21	никогда не	8	9
22	и он	3	8
23	он был	2	8
24	нет ничего	4	7
25	от него	1	7
26	ни с	3	7
27	в его	19	7
28	он всегда	2	7
29	он не	6	7
30	но он	4	7
31	лишь в	8	7
32	до конца	5	7
33	человек не	1	7
34	все это	10	6
35	как и	15	6
36	в самом	9	5
37	в том	16	5
38	человеке и	1	5
39	для него	5	5
40	в этой	3	5
41	раскрывается в	1	5
42	а в	6	5
43	отношение к	5	5
44	то что	13	5
45	все в	3	4
46	что в	9	4
47	только и	5	4
48	того чтобы	11	4
49	не может	8	4
50	него и	1	4
51	всегда есть	1	4
52	что не	3	4
53	в самую	1	4
54	человек и	2	4
55	все эти	12	4
56	на земле	2	4
57	и его	26	4
58	он сам	2	4
59	в романах	2	4
60	с его	10	4
61	и от	3	3
62	до самой	1	3
63	все что	2	3
64	что человек	1	3
65	и вот	2	3
66	хотя бы	2	3
67	это не	8	3
68	для того	12	3
69	с ним	5	3
70	когда он	1	3
71	он лишь	1	3
72	в этих	6	3
73	не могут	4	3
74	в своих	1	3
75	о природе	1	3
76	как бы	11	3
77	было бы	2	3
78	могут быть	7	3
79	в себе	7	3
80	человек был	4	3
81	и есть	3	3
82	что он	2	3
83	никто не	2	3
84	это было	2	3
85	нем нет	2	3
86	и ее	4	3
87	о том	4	3
88	того что	5	3
89	еще не	8	3
90	всего в	4	2
91	и к	4	2
92	и потому	4	2
93	так и	17	2
94	что они	3	2
95	и то	5	2
96	человека есть	1	2
97	все же	12	2
98	не могли	3	2
99	так как	12	2
100	и очень	1	2
101	должно быть	6	2
102	к этой	1	2
103	к ней	2	2
104	для всякого	1	2
105	и ни	1	2
106	уже в	5	2
107	в человеческом	2	2
108	в другом	2	2
109	совсем не	4	2
110	этом мире	7	2
111	личности и	2	2
112	так что	4	2
113	в своем	8	2
114	в этот	5	2
115	с тем	5	2
116	с которой	2	2
117	в которой	3	2
118	ее в	2	2
119	о которой	1	2
120	и этим	2	2
121	одно из	3	2
122	что и	5	2
123	для человека	1	2
124	потребность в	1	2
125	в уста	2	2
126	в истории	6	2
127	его в	8	2
128	чем в	3	2
129	их не	2	2
130	ведь это	2	2
131	он весь	3	2
132	образ человека	7	2
133	этого мира	5	2
134	и с	10	2
135	было для	1	2
136	и о	1	2
137	природы и	2	2
138	сказать что	4	2
139	тем что	4	2
140	него не	1	2
141	что есть	1	2
142	и много	1	2
143	из всего	1	2
144	ничего и	1	2
145	и на	13	2
146	в других	9	2
147	с чем	2	2
148	учение о	1	2
149	что все	4	2
150	ничего не	9	2
151	хотя и	5	2
152	в своей	2	2
153	момент в	2	2
154	его судьбе	1	2
155	жизни в	11	2
156	по себе	3	2
157	не имеет	5	2
158	него всегда	1	2
159	к этому	5	2
160	же это	1	2
161	человеческую природу	1	2
162	том что	7	2
163	в глубину	1	2
164	и для	12	2
165	черту и	1	2
166	человека о	2	2
167	в ее	6	2
168	своей жизни	6	2
169	человек всегда	1	2
170	но в	16	2
171	и нет	2	2
172	вопросом о	1	2
173	уже с	1	1
174	мире это	1	1
175	что было	6	1
176	и постановка	1	1
177	и мир	1	1
178	путей развития	1	1
179	ближе к	1	1
180	во всем	3	1
181	в каждом	2	1
182	реальных людей	1	1
183	и весь	2	1
184	во всяком	5	1
185	связан с	2	1
186	бросается в	1	1
187	человек может	1	1
188	и гармонии	1	1
189	имя ему	1	1
190	ни к	3	1
191	видели в	1	1
192	его и	2	1
193	всегда является	1	1
194	совершенно не	3	1
195	смерть и	1	1
196	царств и	1	1
197	попадает в	2	1
198	бытия как	1	1
199	то он	1	1
200	ее и	1	1
201	но оно	2	1
202	над ними	2	1
203	которой все	1	1
204	всему этому	1	1
205	для его	1	1
206	еще одну	1	1
207	и самое	5	1
208	не существует	1	1
209	в центре	2	1
210	все его	7	1
211	самой жизни	1	1
212	и человека	1	1
213	и других	5	1
214	и положительное	1	1
215	указывали на	1	1
216	к другу	2	1
217	один из	5	1
218	его судьбу	1	1
219	в котором	8	1
220	и здесь	2	1
221	та же	4	1
222	жизненных форм	1	1
223	по природе	2	1
224	имеет ни	1	1
225	а вовсе	1	1
226	после этого	2	1
227	самой природе	1	1
228	друг к	2	1
229	его существование	1	1
230	он ни	2	1
231	братья карамазовы	1	1
232	мир в	6	1
233	они и	1	1
234	же и	2	1
235	быть что	1	1
236	и наказание	1	1
237	и лишь	1	1
238	человека он	1	1
239	начале романа	2	1
240	не имеют	4	1
241	каждом из	2	1
242	свобода человека	1	1
243	человека не	1	1
244	жизни а	1	1
245	так для	1	1
246	и пр	2	1
247	этого она	1	1
248	в первый	1	1
249	собой в	1	1
250	его с	2	1
251	она не	2	1
252	том как	2	1
253	есть одно	1	1
254	должна быть	1	1
255	мы не	4	1
256	изображена в	1	1
257	человек для	1	1
258	притом не	1	1
259	ее у	1	1
260	смысле слова	4	1
261	связана с	1	1
262	всего мира	1	1
263	еще более	7	1
264	также и	6	1
265	ту же	4	1
266	но не	9	1
267	по сравнению	3	1
268	природе своей	2	1
269	из жизни	1	1
270	вопросу о	3	1
271	не по	1	1
272	необходимо подчеркнуть	1	1
273	но всегда	1	1
274	образ и	1	1
275	быть осуществлено	1	1
276	оба они	1	1
277	для раскрытия	4	1
278	не быть	3	1
279	был бы	3	1
280	в ней	4	1
281	из всех	1	1
282	бытия человека	1	1
283	судьбе о	1	1
284	и дело	1	1
285	человека как	1	1
286	он видит	1	1
287	это для	1	1
288	что это	1	1
289	вокруг образа	1	1
290	и тогда	1	1
291	а это	1	1
292	этом отношении	5	1
293	жизни есть	1	1
294	образа человека	12	1
295	и был	1	1
296	всяком случае	1	1
297	на этих	1	1
298	он и	1	1
299	с трудом	1	1
300	природе и	1	1
301	о чем	4	1
302	их жизни	1	1
303	в сущности	5	1
304	действующих лиц	1	1
305	из которой	1	1
306	романы достоевского	1	1
307	все основные	3	1
308	свободу и	1	1
309	в частности	11	1
310	говорит о	1	1
311	как это	2	1
312	ни был	2	1
313	между двумя	6	1
314	и больше	1	1
315	не оставляет	6	1
316	строгом смысле	2	1
317	только один	2	1
318	как у	2	1
319	распадается на	2	1
320	и через	1	1
321	своих героев	1	1
322	он должен	2	1
323	видеть в	1	1
324	что люди	2	1
325	личной судьбы	1	1
326	очищения и	1	1
327	и что	1	1
328	в одном	10	1
329	на самом	1	1
330	у нас	2	1
331	он раскрывает	1	1
332	его характер	1	1
333	бытие и	1	1
334	в отношении	5	1
335	уже указывали	4	1
336	достоевского преступление	1	1
337	судьбы человека	1	1
338	людей и	2	1
339	оказывается что	2	1
340	нет никакой	1	1
341	плоти и	2	1
342	бы и	1	1
343	природу человека	1	1
344	и это	5	1
345	кто бы	1	1
346	мира по	2	1
347	этого типа	5	1
348	него также	1	1
349	природной и	2	1
350	и отец	1	1
351	это есть	1	1
352	смысле этого	1	1
353	в строгом	2	1
354	и до	7	1
355	нет никакого	1	1
356	этими двумя	3	1
357	доходит до	1	1
358	с их	2	1
359	мира он	1	1
360	природу и	1	1
361	не вполне	1	1
362	проникнуть в	1	1
363	в русском	1	1
364	по своей	1	1
365	всей ее	1	1
366	него совершенно	1	1
367	человека с	1	1
368	в форму	1	1
369	существование в	1	1
370	природа человека	1	1
371	же принадлежит	1	1
372	цели и	1	1
373	его образ	1	1
374	которая была	1	1
375	в них	11	1
376	вопрос об	2	1
377	разрешения ее	1	1
378	в форме	5	1
379	было и	4	1
380	и всех	2	1
381	в иных	1	1
382	христа и	1	1
383	есть для	1	1
384	и даже	5	1
385	психологии и	1	1
386	в борьбе	2	1
387	в глаза	3	1
388	особого рода	1	1
389	темы о	1	1
390	сила и	2	1
391	если бы	6	1
392	и путь	1	1
393	самом деле	2	1
394	от всех	2	1
395	этой отрицательной	1	1
396	и формы	1	1
397	дороги и	3	1
398	и более	3	1
399	диккенса и	1	1
400	самим собой	2	1
401	частное и	1	1
402	с ними	1	1
403	была бы	2	1
404	и сам	2	1
405	возрождения но	1	1
406	как мыслитель	1	1
407	человек а	1	1
408	дома но	1	1
409	и ценности	1	1
410	человеческого общества	1	1
411	в виду	5	1
412	самом начале	1	1
413	бога и	2	1
414	на этот	1	1
415	дело в	3	1
416	и раскрыть	2	1
417	когда дело	1	1
418	месте и	1	1
419	которого они	1	1
420	стремится к	2	1
421	подчеркнуть еще	1	1
422	из самых	3	1
423	от бога	1	1
424	места в	2	1
425	этих романах	2	1
426	они всегда	1	1
427	человека для	1	1
428	и эта	2	1
429	человеческие отношения	2	1
430	в эпоху	5	1
431	его как	1	1
432	отношения к	7	1
433	тем же	3	1
434	жизни как	2	1
435	человек по	2	1
436	но есть	1	1
437	и каждый	2	1
438	начиная с	1	1
439	не делает	1	1
440	и действительно	1	1
441	вещей и	7	1
442	но нет	1	1
443	в обычном	1	1
444	бы он	2	1
445	сказать в	2	1
446	в конце	11	1
447	в процессе	4	1
448	например в	7	1
449	в жизни	6	1
450	между этими	4	1
451	в царстве	1	1
452	человек человек	2	1
453	но к	2	1
454	находится в	3	1
455	в корне	2	1
456	человеческий мир	1	1
457	характер и	8	1
458	вовлечены в	1	1
459	но ничего	1	1
460	не умирает	1	1
461	лишь путем	1	1
462	свой собственный	1	1
463	лишь на	1	1
464	и как	12	1
465	то в	2	1
466	лишь с	1	1
467	есть не	4	1
468	в человеческой	2	1
469	человек в	5	1
470	бытовой жизни	4	1
471	страха и	1	1
472	преступление и	1	1
473	жизни и	12	1
474	одна из	3	1
475	человека вообще	1	1
476	о судьбе	1	1
477	человеком в	1	1
478	кем и	1	1
479	в мире	4	1
480	свои силы	1	1
481	в разных	6	1
482	состоит из	1	1
483	одном из	1	1
484	и прежде	4	1
485	в одно	3	1
486	жизни ее	1	1
487	как в	10	1
488	этого слова	2	1
489	другом месте	2	1
490	в совершенно	3	1
