N	2gram	Potebnia_M	Mirosoze
1	и в	58	97
2	может быть	47	64
3	не только	32	63
4	в этом	18	55
5	но и	26	54
6	он не	4	53
7	а не	38	53
8	в нем	26	49
9	не может	30	49
10	у него	3	47
11	и не	34	39
12	никогда не	7	38
13	человеческого духа	6	38
14	в ней	9	37
15	потому что	89	37
16	не было	7	36
17	не в	23	34
18	и есть	4	33
19	для него	13	31
20	не есть	13	30
21	но он	3	30
22	человека в	3	30
23	человеческой природы	4	30
24	как и	16	29
25	прежде всего	8	29
26	в мире	3	27
27	но в	12	27
28	к человеку	1	26
29	человека и	2	26
30	в своей	3	25
31	и это	3	25
32	свободы и	3	24
33	переходит в	2	24
34	и все	6	24
35	у нас	3	24
36	ведет к	1	23
37	в своем	3	23
38	что в	34	23
39	что он	5	22
40	в самом	5	21
41	в себе	22	20
42	отношение к	1	20
43	как бы	12	19
44	человек не	2	19
45	в его	7	18
46	любви к	1	17
47	того что	15	17
48	и потому	7	17
49	том что	21	16
50	в том	38	16
51	на земле	1	16
52	то что	24	16
53	было бы	21	16
54	и его	7	16
55	быть может	6	15
56	в котором	5	15
57	в этой	3	15
58	человек в	1	14
59	она не	3	14
60	нет ничего	2	14
61	в творчестве	1	14
62	так как	29	14
63	та же	1	13
64	и на	8	13
65	друг друга	6	13
66	в них	7	12
67	к нему	2	12
68	и у	3	12
69	но не	19	12
70	в человеке	14	12
71	свободы в	1	12
72	это не	10	12
73	все это	3	12
74	с тем	9	11
75	уже не	4	11
76	хотя бы	4	11
77	духа и	8	11
78	в которой	5	11
79	был бы	1	11
80	только в	36	11
81	как в	18	11
82	и там	1	11
83	но это	7	11
84	и для	8	11
85	жизни и	3	11
86	то же	13	10
87	и свобода	1	10
88	так же	7	10
89	для человека	3	10
90	один из	2	10
91	должна быть	4	10
92	не могут	10	10
93	не имеет	9	10
94	в самой	5	10
95	человека к	1	10
96	есть не	7	10
97	все что	5	9
98	к тому	5	9
99	не мог	3	9
100	должно быть	9	9
101	что и	16	9
102	человек и	1	9
103	не будет	2	9
104	то есть	69	9
105	с ним	7	9
106	вместе с	12	9
107	человека на	1	9
