N	3gram	Propp_Isto	OGranits
1	с точки зрения	1	5
2	не может быть	5	4
3	по отношению к	3	3
4	в том что	7	2
5	в зависимости от	3	2
6	в полном соответствии	1	2
7	в данном случае	7	2
8	полном соответствии с	1	2
9	но так как	4	2
10	в самом деле	1	2
11	с одной стороны	11	2
12	с другой стороны	17	2
13	мы все же	1	1
14	его историческое развитие	1	1
15	образом мы можем	1	1
16	в борьбе с	1	1
17	или менее случайно	1	1
18	идти только о	2	1
19	таким образом мы	3	1
20	и тот же	1	1
21	мы можем установить	2	1
22	может идти только	2	1
23	как бы сам	1	1
24	если бы мы	1	1
25	так же как	4	1
26	на то что	1	1
27	для того чтобы	1	1
28	мы уже видели	3	1
29	только потому что	1	1
30	том что в	2	1
31	может быть это	1	1
32	но тем не	2	1
33	речь может идти	2	1
34	в которых он	1	1
35	не только на	1	1
36	в связи со	2	1
37	прежде всего является	1	1
38	другой стороны оно	1	1
39	тех случаях когда	6	1
40	один и тот	1	1
41	в другом месте	2	1
42	этой точки зрения	3	1
43	уже видели как	1	1
44	ту или иную	1	1
45	все же есть	1	1
46	как и в	3	1
47	в связи с	1	1
48	то же самое	1	1
49	не входит в	1	1
50	то что в	4	1
51	но далеко не	1	1
52	к тому что	1	1
53	тем не менее	4	1
54	только то что	1	1
55	эта связь с	1	1
56	более или менее	3	1
57	вместе с ними	1	1
58	почти никогда не	1	1
59	и в области	2	1
60	с этой точки	3	1
61	можно было бы	3	1
62	мы не можем	2	1
63	в тех случаях	7	1
64	и вместе с	3	1
65	состоит в том	1	1
66	же объясняется что	2	1
67	и не может	1	1
68	нам кажется что	4	1
