N	3gram	Propp_Morf	KFilosof
1	по отношению к	7	22
2	не может быть	9	11
3	с точки зрения	6	10
4	к нему в	1	4
5	но и здесь	1	3
6	один и тот	1	3
7	на самом деле	4	3
8	и тот же	1	3
9	в том что	4	2
10	той или иной	1	2
11	к чему не	2	2
12	и может быть	1	2
13	она могла бы	1	2
14	тем не менее	6	2
15	здесь мы имеем	1	2
16	в то же	1	2
17	уже не может	1	2
18	он может быть	2	2
19	во всех этих	1	2
20	то ни было	2	2
21	есть на самом	1	2
22	в целом и	1	2
23	лишь постольку поскольку	1	2
24	ни к чему	2	2
25	бы то ни	3	2
26	вопрос о том	2	2
27	то же время	1	2
28	том случае когда	1	1
29	сих пор не	1	1
30	в целом может	1	1
31	но никто не	2	1
32	может быть рассмотрена	1	1
33	в свою очередь	1	1
34	и тем не	2	1
35	это не значит	2	1
36	еще не значит	1	1
37	мы прежде всего	1	1
38	во всяком случае	2	1
39	на то что	3	1
40	в большинстве случаев	3	1
41	какого бы то	1	1
42	и ни к	1	1
43	целом может быть	1	1
44	это уже не	1	1
45	могло бы быть	1	1
46	ясно что это	1	1
47	мы будем говорить	1	1
48	дело не в	2	1
49	в том случае	3	1
50	он не может	1	1
51	и небо и	1	1
52	не может войти	1	1
53	может войти в	1	1
54	для того чтобы	3	1
55	точки зрения его	1	1
56	только в том	1	1
57	не значит что	3	1
58	быть рассмотрена как	1	1
59	потому что в	1	1
60	в настоящее время	3	1
61	независимо от того	4	1
62	и пр и	3	1
63	он не дает	1	1
64	и пр все	1	1
65	в противном случае	1	1
66	этого не знает	1	1
67	до сих пор	1	1
68	не потому что	1	1
69	должен знать о	1	1
70	там где есть	1	1
71	в первом случае	3	1
72	о том кто	1	1
73	мы имеем здесь	1	1
74	всех этих случаях	1	1
75	это нисколько не	1	1
76	небо и землю	1	1
77	вместо того чтобы	1	1
78	это и не	2	1
79	уже не только	1	1
80	отношению к которой	1	1
81	не имеет смысла	1	1
82	трудная задача и	1	1
83	чему не обязывающий	1	1
84	там где оно	2	1
85	хотя бы только	1	1
86	но в этом	1	1
87	нужно помнить что	1	1
88	а во втором	1	1
89	она может быть	1	1
90	может быть дано	1	1
91	к тому что	4	1
92	между прочим и	1	1
93	в одном случае	1	1
94	то прежде всего	2	1
95	и этот момент	1	1
96	но это не	1	1
97	что и в	1	1
98	в целом не	1	1
99	мы не можем	1	1
100	в другом случае	1	1
101	может быть и	2	1
