N	3gram	Potebnia_M	PoTuStor
1	с точки зрения	3	6
2	на самом деле	2	4
3	с самого начала	5	4
4	до сих пор	5	3
5	не может быть	11	3
6	в большинстве случаев	1	3
7	по крайней мере	6	3
8	в этом смысле	4	3
9	по сравнению с	1	3
10	во всяком случае	7	3
11	мы можем сказать	1	2
12	все то что	2	2
13	на две группы	1	2
14	так же как	1	2
15	и может быть	4	2
16	о том что	1	2
17	не могут быть	5	2
18	не нуждается в	2	2
19	друг на друга	2	2
20	и в этом	7	2
21	быть не может	2	1
22	так и в	5	1
23	рождается вместе с	2	1
24	во время сна	1	1
25	в том что	18	1
26	в области психологии	1	1
27	мы знаем что	1	1
28	в свой круг	1	1
29	только как часть	1	1
30	может быть совершенно	1	1
31	не следует что	1	1
32	и не нуждается	1	1
33	мы не можем	2	1
34	не что иное	2	1
35	что иное как	2	1
36	дело в том	3	1
37	вместе с тем	1	1
38	подобно тому как	7	1
39	во многих случаях	2	1
40	в применении к	3	1
41	можно было бы	1	1
42	должен искать в	1	1
43	и таким образом	1	1
44	только для того	1	1
45	в человеческом организме	1	1
46	обратим внимание на	1	1
47	что в них	1	1
48	в том смысле	7	1
49	без всякого участия	1	1
50	который необходим для	1	1
51	в душе человека	1	1
52	если б не	2	1
53	только в одном	1	1
54	который до сих	1	1
55	с теми которые	1	1
56	всяком случае не	1	1
57	все что есть	1	1
58	то ни было	1	1
59	и того же	6	1
60	этой точки зрения	1	1
61	и др и	1	1
62	мы увидим что	3	1
63	с этой точки	2	1
64	она может быть	1	1
65	жизни таким образом	1	1
66	это приводит к	1	1
67	для того чтобы	4	1
68	по его мнению	4	1
69	что есть в	1	1
70	мы считаем нужным	1	1
71	в разных местах	1	1
72	с одной стороны	6	1
73	то что я	1	1
74	в этом отношении	1	1
75	что если б	1	1
76	ни в ком	1	1
77	на вопрос о	1	1
78	бы то ни	2	1
79	но даже и	1	1
80	и связанные с	1	1
81	зависит от того	2	1
82	если бы он	1	1
83	одного и того	6	1
84	в связи с	2	1
85	может быть только	2	1
