N	3gram	Tiupa_Teor	Formalny
1	с точки зрения	3	40
2	не может быть	5	29
3	то же время	8	20
4	в то же	8	20
5	в связи с	3	16
6	в настоящее время	1	13
7	по отношению к	10	12
8	в истории литературы	1	12
9	в самом деле	2	11
10	здесь и теперь	1	10
11	бы то ни	2	10
12	в зависимости от	1	10
13	в большинстве случаев	1	9
14	с другой стороны	6	9
15	для того чтобы	5	8
16	с одной стороны	3	8
17	более или менее	6	7
18	того или иного	6	7
19	то ни было	2	7
20	в свою очередь	3	7
21	в том что	10	6
22	и в то	2	6
23	в данном случае	5	6
24	не только не	2	6
25	в художественном произведении	1	6
26	может быть и	2	6
27	одной стороны и	1	5
28	в этом смысле	3	5
29	в отличие от	7	5
30	к тому что	2	5
31	все без исключения	1	5
32	в значительной степени	2	5
33	до известной степени	2	5
34	связи с этим	1	5
35	химическом соединении с	1	4
36	тем не менее	3	4
37	не могут быть	2	4
38	не входит в	1	4
39	с тем же	1	4
40	в химическом соединении	1	4
41	в лучшем случае	1	4
42	подобно тому как	3	4
43	сама по себе	2	4
44	то или иное	1	3
45	в том числе	3	3
46	так или иначе	5	3
47	не только на	1	3
48	не сводится к	9	3
49	том числе и	2	3
50	можно говорить о	1	3
51	то же самое	1	3
52	только то что	1	3
53	и в этой	1	3
54	при этом не	1	3
55	и в частности	1	3
56	в противном случае	2	3
57	но в то	2	3
58	мере в какой	1	2
59	все то что	1	2
60	соединении с художественной	1	2
61	по себе а	1	2
62	в той мере	1	2
63	в известной степени	1	2
64	не была бы	1	2
65	между которыми располагается	1	2
66	мы говорим о	1	2
67	одной из своих	1	2
68	с этой точки	2	2
69	всех без исключения	3	2
70	друг от друга	1	2
71	не совпадает с	1	2
72	в том случае	1	2
73	именно потому что	1	2
74	а и в	1	2
75	иметь в виду	1	2
76	в отношении к	2	2
77	тех или иных	3	2
78	и тем самым	2	2
79	и прежде всего	1	2
80	в том или	1	2
81	не было и	1	2
82	в отдельности и	1	2
83	той мере в	1	2
84	иметь место в	1	2
85	в таком случае	2	2
86	из того что	1	2
87	может и не	1	2
88	именно в этом	1	2
89	и тем же	1	2
90	так и не	5	2
91	имеем в виду	3	2
92	именно в нем	1	2
93	этой точки зрения	2	2
94	том или ином	1	2
95	как и в	2	2
96	в целом ряде	1	2
97	какой бы то	1	2
98	как один из	1	2
99	со всех сторон	1	2
100	в одной из	1	2
101	одним и тем	1	2
102	дело в том	1	2
103	так же как	1	2
104	мы имеем в	3	2
105	в этом случае	1	2
106	в виду что	1	2
107	дело не в	1	2
108	в следующей главе	1	2
109	и глубже чем	1	2
110	тот или иной	3	2
111	при таком понимании	1	2
112	автора с читателем	1	1
113	что он не	1	1
114	место в системе	1	1
115	в самом начале	2	1
116	и в жизни	1	1
117	а для нас	1	1
118	бы в точке	1	1
119	и как бы	1	1
120	отнюдь не в	1	1
121	в более или	1	1
122	слова так и	1	1
123	вещи но и	1	1
124	виду что в	1	1
125	в данном контексте	2	1
126	на задний план	1	1
127	этом смысле можно	1	1
128	как система мотивов	1	1
129	может быть определен	1	1
130	как художественное целое	1	1
