N	2gram	Voloshinov	Vladivir
1	и в	32	116
2	то что	12	71
3	и не	42	67
4	у него	2	65
5	не только	18	65
6	в этом	27	53
7	в том	13	52
8	том что	12	51
9	что в	5	48
10	но и	17	47
11	в конце	5	41
12	в его	10	40
13	и с	4	39
14	то есть	2	37
15	и даже	4	36
16	сказать что	7	36
17	также и	1	36
18	учение о	3	35
19	так что	2	35
20	потому что	2	33
21	что он	5	32
22	еще и	2	32
23	не может	40	31
24	о том	4	30
25	только в	14	30
26	как мы	26	29
27	никогда не	7	29
28	для него	18	29
29	вовсе не	15	27
30	а в	5	27
31	не было	6	26
32	в себе	5	25
33	но в	13	25
34	в то	7	25
35	и то	4	25
36	и его	33	25
37	даже и	2	24
38	философии и	1	23
39	точки зрения	48	23
40	между прочим	1	23
41	он не	5	23
42	может быть	50	23
43	что же	5	23
44	кроме того	7	22
45	он был	2	22
46	ни в	7	22
47	так как	5	22
48	в виде	1	22
49	в своей	5	21
50	вместе с	2	21
51	а именно	1	20
52	и что	2	20
53	в своем	3	20
54	прежде всего	19	20
55	не менее	5	19
56	в дальнейшем	3	19
57	и вообще	3	19
58	как раз	5	19
59	тем не	3	19
60	таким образом	29	19
61	так и	21	19
62	и потому	7	19
63	как и	19	18
64	не в	13	18
65	хотя и	1	18
66	как это	2	18
67	с его	6	18
68	что и	5	17
69	в этой	3	17
70	и если	2	17
71	а не	15	17
72	у нас	4	17
73	все же	13	16
74	уже не	2	16
75	к тому	8	16
76	не есть	6	16
77	совсем не	2	16
78	для себя	4	16
79	и все	8	16
80	было бы	8	16
81	того что	5	16
82	в котором	6	16
83	и к	3	15
84	то же	19	15
85	в своих	2	15
86	к этому	10	15
87	в эти	2	15
88	несмотря на	1	15
89	в связи	12	15
90	до конца	6	15
91	но это	1	15
92	это было	2	15
93	того же	11	14
94	все эти	8	14
95	его жизни	2	14
96	же касается	2	14
97	мы уже	7	14
98	и на	8	14
99	уже в	3	14
100	и как	8	14
101	в результате	9	13
102	с тем	1	13
103	можно сказать	4	13
104	так же	10	13
105	не просто	2	13
106	на этот	3	13
107	и от	6	13
108	что это	3	13
109	да и	1	13
110	дело в	1	13
111	жизни и	4	13
112	по себе	5	12
113	только на	7	12
114	и это	6	12
115	и по	1	12
116	в нем	17	12
117	то в	3	12
118	если не	1	12
119	всяком случае	4	12
120	ничего не	9	12
121	во всяком	8	12
122	есть только	1	12
123	связи с	22	12
124	при этом	13	11
125	него в	1	11
126	но что	2	11
127	более или	3	11
128	всякого рода	1	11
129	в данном	8	11
130	хотя бы	8	11
131	тому же	2	11
132	в которой	4	11
133	на то	4	11
134	и здесь	9	11
135	в основном	10	11
136	в отношении	7	11
137	еще в	2	11
