N	2gram	Vinokur_Ku	Literetu
1	а не	17	50
2	и не	23	47
3	не только	29	46
4	и в	44	44
5	может быть	25	43
6	при этом	6	41
7	но и	13	41
8	тогда как	2	40
9	в том	47	39
10	в этом	31	38
11	своего рода	4	37
12	том что	30	32
13	такого рода	1	30
14	в частности	6	30
15	то что	14	29
16	в качестве	12	27
17	то же	12	26
18	в году	3	26
19	состоит в	4	26
20	как и	3	23
21	в то	4	23
22	себя в	1	22
23	не в	18	22
24	того что	11	22
25	так и	10	22
26	не может	13	22
27	я и	1	21
28	же время	4	21
29	в себе	4	20
30	я в	2	19
31	прежде всего	14	19
32	как бы	11	18
33	с другой	14	17
34	точки зрения	25	17
35	в его	16	17
36	в жизни	1	16
37	в этой	8	16
38	не менее	12	15
39	я не	5	15
40	только в	15	15
41	в стихах	1	15
42	со стороны	8	15
43	тем самым	5	15
44	в целом	5	15
45	и даже	5	14
46	по отношению	9	14
47	однако в	2	14
48	что он	7	14
49	в рамках	5	14
50	уже не	13	13
51	в своем	4	13
52	с одной	3	13
53	как это	6	13
54	но не	11	13
55	и его	8	13
56	в своей	4	12
57	о том	10	12
58	в данном	8	12
59	одной стороны	2	12
60	к себе	4	12
61	одним из	2	12
62	всего лишь	3	12
63	еще не	10	12
64	отношению к	9	12
65	а также	3	12
66	не столько	2	11
67	в другом	2	11
68	никогда не	2	11
69	в конечном	3	11
70	и сам	1	11
71	столь же	2	11
72	вместе с	8	11
73	как в	6	11
74	в отличие	3	11
75	с его	4	11
76	данном случае	2	11
77	это не	13	11
78	отличие от	3	11
79	или иначе	4	11
80	а в	7	11
81	даже в	4	10
82	в принципе	1	10
83	конечном счете	2	10
84	в противовес	3	10
85	из них	4	10
86	в ее	2	10
87	не случайно	7	10
88	что в	25	10
89	и на	8	10
90	для себя	1	10
91	так или	3	10
92	жизни в	1	10
93	потому что	40	10
94	этом отношении	8	10
95	жизни и	1	10
96	отнюдь не	5	10
97	в области	15	10
98	с этой	4	9
99	к тому	8	9
100	русской классической	1	9
101	связи с	8	9
102	один из	8	9
103	что я	4	9
104	в поэзии	1	9
105	одно из	3	9
106	в начале	1	9
107	лишь в	6	9
108	же в	5	9
109	говоря уже	2	8
110	быть может	1	8
111	в своих	2	8
112	тем что	9	8
113	все же	17	8
114	исходит из	2	8
115	одна из	1	8
116	того же	6	8
117	едва ли	1	8
118	ли не	4	8
119	с точки	16	8
120	как раз	10	8
121	на себя	3	8
122	что не	10	8
123	в конце	5	8
124	а именно	4	8
125	слова и	8	8
126	соответствии с	5	8
127	той же	5	8
128	но в	11	8
129	уже в	5	8
130	для него	2	8
131	xix века	5	8
132	по существу	9	8
133	и как	3	8
134	не говоря	3	8
135	субъекта и	1	8
136	в искусстве	2	8
137	в самом	20	7
138	в одном	4	7
139	другой стороны	12	7
140	именно в	7	7
141	ведет к	1	7
142	на фоне	3	7
143	для этого	6	7
144	как правило	2	7
145	по преимуществу	3	7
146	не как	2	7
147	тому же	2	7
148	в случае	2	7
149	он не	4	7
150	и тем	7	7
151	и с	11	7
152	в нем	7	7
153	из того	1	7
154	в сфере	3	7
155	до конца	3	7
156	и для	3	7
157	перестает быть	1	7
158	он и	1	7
159	у нас	19	7
160	в их	3	7
161	так в	2	7
162	и других	1	7
163	это как	2	7
164	в виду	7	6
165	например в	5	6
166	культуры в	1	6
167	казалось бы	5	6
168	уже о	2	6
169	обращаясь к	1	6
170	как на	4	6
171	и он	4	6
172	у него	3	6
173	его в	1	6
174	не было	6	6
175	во всех	1	6
176	в каждом	3	6
177	было бы	28	6
178	разумеется не	5	6
179	самом деле	17	6
