N	2gram	Vinokur_Vv	BTomashe
1	у нас	2	3
2	все это	6	2
3	в ней	3	2
4	можно было	8	2
5	ее задач	1	2
6	не то	1	2
7	и не	13	2
8	видеть в	1	2
9	неудивительно что	1	1
10	для которой	1	1
11	вопрос о	10	1
12	говорить о	5	1
13	и о	1	1
14	о них	2	1
15	литературы как	1	1
16	не только	26	1
17	остановиться на	1	1
18	всего в	1	1
19	таким образом	21	1
20	не было	2	1
21	меньшей мере	2	1
22	в эпоху	1	1
23	прежде всего	10	1
24	моментом в	1	1
25	бы только	1	1
26	и в	35	1
27	на самом	1	1
28	так и	2	1
29	на которой	1	1
30	признать его	1	1
31	в своей	4	1
32	если таким	2	1
33	во всяком	5	1
34	и потому	2	1
35	также что	1	1
36	за пределы	1	1
37	по крайней	4	1
38	с другой	8	1
39	ней только	1	1
40	не со	2	1
41	об этом	6	1
42	как будто	3	1
43	этой книги	2	1
44	совершенно не	1	1
45	другой стороны	5	1
46	крайней мере	4	1
47	всяком случае	5	1
48	кроме того	1	1
49	было бы	7	1
50	установка на	1	1
51	стоит на	1	1
52	не следует	3	1
53	не признать	4	1
54	и ее	4	1
55	чем на	1	1
56	одной из	4	1
57	в значительной	3	1
58	вместе взятое	1	1
59	по меньшей	2	1
60	в данном	11	1
61	должна быть	2	1
62	в области	4	1
63	далеко не	1	1
64	тем более	2	1
65	невозможны без	1	1
66	не вполне	4	1
67	то как	1	1
68	короче говоря	1	1
69	и более	1	1
70	что все	1	1
71	нельзя не	6	1
72	никак не	1	1
73	значительной степени	1	1
74	чтобы можно	2	1
75	будто бы	2	1
76	ясного и	1	1
77	исторических условиях	1	1
78	также не	1	1
79	а не	5	1
80	как некоторого	1	1
81	до конца	3	1
82	и на	3	1
83	между ними	3	1
84	еще не	4	1
85	все же	9	1
86	что в	13	1
