N	3gram	Propp_Russ	slovoVRo
1	и т п	1	72
2	не может быть	1	19
3	с точки зрения	3	15
4	в отличие от	4	14
5	в большинстве случаев	2	11
6	с одной стороны	1	11
7	и т д	12	10
8	более или менее	1	9
9	в этом случае	9	9
10	во всяком случае	1	8
11	не может не	1	6
12	но все же	2	6
13	в том что	27	5
14	по отношению к	1	5
15	как мы уже	2	5
16	не только в	1	5
17	в этом отношении	1	5
18	может быть и	3	5
19	для того чтобы	6	4
20	прямо и непосредственно	1	4
21	друг с другом	1	4
22	в свою очередь	2	4
23	можно сказать что	1	4
24	таким образом в	1	4
25	у него нет	1	4
26	в собственном смысле	1	3
27	в данном случае	7	3
28	в связи с	4	3
29	к тому что	4	3
30	как и в	1	3
31	и связанных с	1	3
32	как мы видели	1	3
33	это не значит	2	2
34	и наконец в	1	2
35	тем не менее	3	2
36	а между тем	1	2
37	о том же	4	2
38	не только на	3	2
39	и связанные с	2	2
40	и в том	2	2
41	и в этом	2	2
42	хотя и не	1	2
43	иметь в виду	2	2
44	но и в	1	2
45	о том что	6	2
46	а следовательно и	1	2
47	тем и другим	1	2
48	в то время	3	2
49	мы не можем	5	2
50	можно было бы	2	2
51	во всех этих	1	2
52	же как и	3	2
53	в других случаях	2	2
54	привело к тому	2	2
55	и не только	1	2
56	то время как	1	2
57	мы видели что	1	1
58	отличие от других	1	1
59	время от времени	1	1
60	и затем в	1	1
61	но и по	1	1
62	быту и в	1	1
63	в применении к	1	1
64	мы видим что	1	1
65	дело не только	1	1
66	в нашем быту	1	1
67	только одна из	1	1
68	но и на	2	1
69	у нас в	1	1
70	дошедшим до нас	1	1
71	и по формам	1	1
72	одни и те	1	1
73	в какой степени	3	1
74	и все это	1	1
75	так что они	1	1
76	говорит о том	1	1
77	для наших целей	2	1
78	которые как бы	1	1
79	и некоторые другие	2	1
80	не принадлежат к	1	1
81	как например в	1	1
82	в особенности же	1	1
83	как мы видим	1	1
84	типичны в этом	1	1
85	не исключена возможность	1	1
86	связанные с этим	1	1
87	не могла быть	1	1
88	нас в данном	1	1
89	в один из	1	1
90	сказать что в	1	1
91	том что в	7	1
92	в этой роли	1	1
93	к нему а	1	1
94	из самых распространенных	1	1
95	самом же деле	2	1
96	в своей книге	1	1
97	на самом же	2	1
98	и других аналогичных	1	1
99	для этой цели	2	1
100	но это не	3	1
101	в равной степени	2	1
102	прежде всего как	1	1
103	не только по	2	1
104	в этих случаях	1	1
105	в одном из	1	1
106	и могут быть	1	1
107	по аналогии с	1	1
108	которые как известно	1	1
109	и те же	1	1
110	на то что	2	1
111	как поэтический образ	1	1
112	служит уже не	1	1
113	каждый из этих	2	1
114	в том чтобы	2	1
115	с одним из	1	1
116	и в дальнейшем	1	1
117	не до конца	1	1
118	а иногда и	4	1
119	мы увидим что	1	1
120	в целом ряде	1	1
121	такая точка зрения	1	1
122	между тем это	3	1
123	носят ли они	1	1
124	представителями которого в	1	1
125	необходимо иметь в	1	1
126	в противном случае	1	1
127	между прочим в	1	1
128	и все другие	1	1
129	них как в	1	1
130	там где это	1	1
131	подобно тому как	3	1
132	ни с одним	1	1
133	так же как	5	1
134	с таким же	2	1
135	независимо от него	1	1
136	еще далеко не	2	1
137	но может быть	1	1
138	можем судить по	1	1
139	всяком случае не	1	1
140	влияние и на	1	1
141	в русском языке	1	1
142	и этого мало	1	1
143	мы можем судить	1	1
144	иногда совпадая с	1	1
145	не только как	1	1
146	отнести за счет	1	1
147	потому что по	1	1
148	но и этого	1	1
149	друг к другу	2	1
