N	2gram	Vinokur_Vv	Retstnzi
1	не может	19	4
2	и в	35	3
3	социального общения	1	2
4	в центре	4	2
5	один из	6	2
6	общения и	1	2
7	литературного языка	1	1
8	может и	1	1
9	нуждаются в	1	1
10	в особенности	4	1
11	несмотря на	2	1
12	метода он	1	1
13	может быть	30	1
14	и истории	2	1
15	не только	26	1
16	точки зрения	12	1
17	с точки	4	1
18	может не	1	1
19	для него	1	1
20	с теми	2	1
21	истории русского	1	1
22	в ней	3	1
23	имен вещей	1	1
24	тех же	1	1
25	видящего в	1	1
26	права и	1	1
27	в каждом	4	1
28	связи с	3	1
29	из крупнейших	1	1
30	поставить в	2	1
31	русского литературного	1	1
32	исследования во	1	1
33	бы на	1	1
34	можно и	1	1
35	с другими	1	1
36	или иными	1	1
37	его от	1	1
38	если бы	3	1
39	конечно и	1	1
40	вещей и	1	1
41	в его	12	1
42	изучение языка	7	1
43	не менее	9	1
44	в языке	2	1
45	но и	7	1
46	мы видим	1	1
47	второй части	1	1
48	к тому	4	1
49	анализа и	1	1
50	во второй	3	1
51	сравнении с	1	1
52	можно назвать	1	1
53	науку о	2	1
54	тому что	2	1
55	и можно	1	1
56	языка как	2	1
57	вопрос что	2	1
58	понятно не	2	1
59	теми или	1	1
60	культурной истории	3	1
61	как искусство	2	1
62	в то	6	1
63	из этих	9	1
64	он в	1	1
65	же время	6	1
66	то же	11	1
67	а не	5	1
68	бы в	2	1
69	нет и	1	1
70	и должно	2	1
71	в системе	1	1
72	и не	13	1
73	так называемая	2	1
74	язык как	5	1
75	на нее	3	1
76	о литературе	3	1
77	и все	1	1
78	истории но	1	1
79	и на	3	1
80	русской литературы	1	1
