N	2gram	Vinokur_Vv	formyVre
1	и в	35	148
2	в этом	35	73
3	в нем	13	51
4	прежде всего	10	46
5	и т	45	40
6	и не	13	37
7	в его	12	36
8	и его	6	36
9	вовсе не	6	35
10	но и	7	33
11	то же	11	32
12	т п	5	32
13	не только	26	32
14	в литературе	1	32
15	но в	10	31
16	жизни и	2	31
17	в греческом	1	29
18	так и	2	29
19	времени в	3	27
20	может быть	30	27
21	не в	10	26
22	как мы	11	26
23	как и	7	25
24	как бы	7	25
25	точки зрения	12	24
26	мы уже	2	24
27	только в	16	23
28	в то	6	23
29	времени и	4	23
30	человека в	1	23
31	в том	38	22
32	то что	19	22
33	связи с	3	21
34	во всех	2	21
35	же время	6	21
36	все эти	3	21
37	в своем	3	19
38	и др	2	19
39	и на	3	19
40	и для	4	19
41	таким образом	21	18
42	у него	1	18
43	и все	1	18
44	еще не	4	18
45	по существу	2	18
46	при этом	3	17
47	с этим	3	17
48	в особенности	4	17
49	так как	15	17
50	человека и	1	17
51	все же	9	16
52	в связи	2	16
53	того же	3	16
54	с рядом	1	16
55	не может	19	16
56	в разных	7	15
57	в одном	4	15
58	в них	5	15
59	в дальнейшем	2	15
60	никогда не	3	15
61	с точки	4	15
62	так сказать	1	15
63	вместе с	6	15
64	лишь в	1	15
65	и как	9	14
66	и с	2	14
67	так же	3	14
68	в конце	3	14
69	а не	5	14
70	как раз	4	14
71	все это	6	14
72	в самом	13	13
73	в котором	4	13
74	для того	23	13
75	во время	1	13
76	с ним	1	13
77	как в	3	13
78	здесь в	1	13
79	в их	12	13
80	в частности	3	13
81	того чтобы	22	13
82	а в	6	13
83	же в	1	13
84	и до	2	12
85	время в	2	12
86	не было	2	12
87	значение и	2	12
88	что в	13	12
89	потому что	18	12
90	роста и	1	12
91	в истории	9	12
92	ничего не	2	12
93	но не	9	12
94	из них	4	11
95	хотя и	5	11
96	его в	6	11
97	между ними	3	11
98	и у	1	11
99	уже в	5	11
100	в ней	3	11
101	и другие	2	10
102	кроме того	1	10
103	уже не	6	10
104	и того	3	10
105	входит в	3	10
106	в ее	11	10
107	вещей и	1	10
108	сих пор	7	10
109	также и	20	10
110	до сих	7	10
111	здесь не	3	10
112	тот же	1	10
113	и даже	6	9
114	но все	4	9
115	на этой	3	9
116	с другой	8	9
117	наряду с	3	9
118	всего в	1	9
119	на протяжении	2	9
120	здесь нет	4	9
121	должно быть	2	9
122	и это	6	9
123	могут быть	6	9
124	та же	1	9
125	отношения к	1	9
126	оно не	1	9
127	том что	30	9
128	в самой	1	9
129	для него	1	9
130	есть в	1	9
131	жизнь и	1	9
132	и других	3	9
133	одного и	2	9
134	мира в	1	9
135	и к	3	8
136	в результате	4	8
137	в виду	5	8
138	в этих	3	8
139	к тому	4	8
140	в этот	2	8
141	и т.п	1	8
142	в некоторых	1	8
143	с одной	4	8
144	что и	5	8
145	рядом с	2	8
146	один из	6	8
147	в жизни	1	8
148	для себя	1	8
149	если бы	3	8
150	до конца	3	8
151	и то	7	8
152	значение в	2	8
153	том числе	1	8
154	во всяком	5	8
155	это не	8	8
156	и прежде	1	8
157	а также	3	8
158	и потому	2	8
159	отношение к	3	8
160	отношению к	4	8
161	или иной	3	8
