N	3gram	Vinokur_Vv	Morfolog
1	и т д	39	60
2	в этих случаях	2	14
3	в этом случае	6	10
4	не может быть	10	9
5	в связи с	2	9
6	таким образом мы	1	7
7	по отношению к	4	7
8	с точки зрения	4	6
9	тем не менее	9	6
10	наряду с этим	1	5
11	связи с этим	1	5
12	подобно тому как	2	5
13	с другой стороны	5	5
14	а также и	2	5
15	в том что	15	4
16	на самом деле	1	4
17	не могут быть	2	4
18	к тому что	1	4
19	но все же	4	4
20	т д но	5	4
21	может быть названо	4	4
22	о том что	13	3
23	в собственном смысле	3	3
24	для того чтобы	22	3
25	не значит что	1	3
26	в отдельных случаях	1	3
27	в настоящее время	1	3
28	бы то ни	1	3
29	состоит в том	2	3
30	в первом случае	2	3
31	собственном смысле слова	1	3
32	и тем не	3	2
33	в точности соответствует	1	2
34	до наших дней	2	2
35	дело не в	1	2
36	то что в	1	2
37	т д а	2	2
38	которые хотя и	1	2
39	есть и другие	1	2
40	говорить о том	1	2
41	более или менее	1	2
42	т д в	2	2
43	не что иное	5	2
44	в обоих случаях	1	2
45	это еще не	2	2
46	можно было бы	4	2
47	точно так же	2	2
48	в данном случае	4	2
49	мы имеем в	1	2
50	то ни было	1	2
51	приводят к тому	1	2
52	во всяком случае	5	2
53	что иное как	5	2
54	с одной стороны	4	2
55	в таких случаях	1	2
56	и т д.?	1	2
57	в этом отношении	4	2
58	вопрос о том	5	2
59	может быть и	2	2
60	отличие от других	1	1
61	на вопрос что	1	1
62	есть не что	3	1
63	т е о	1	1
64	т е которые	1	1
65	т д и	1	1
66	в свою очередь	2	1
67	с этим и	1	1
68	могут быть названы	2	1
69	еще не значит	1	1
70	т е не	2	1
71	т д все	2	1
72	и могут быть	1	1
73	мы уже знаем	2	1
74	с этим в	1	1
75	как один из	1	1
76	в применении к	6	1
77	т д таким	1	1
78	также в том	1	1
79	бы сказать что	1	1
80	т е на	1	1
81	со стороны тех	1	1
82	т д такая	1	1
83	в чем же	3	1
84	в подобных случаях	1	1
85	действительно представляют собой	1	1
86	д но есть	1	1
87	том что такое	6	1
88	здесь как и	1	1
89	что же касается	2	1
90	с этой точки	2	1
91	так что даже	1	1
92	т е все	1	1
93	то для того	1	1
94	а в другом	1	1
95	ответить на этот	1	1
96	из этих двух	1	1
97	можно сказать что	3	1
98	только в том	2	1
99	но если мы	1	1
100	не свободен от	1	1
101	один из важнейших	1	1
102	потому что в	1	1
103	этот вопрос мы	1	1
104	и что следовательно	2	1
105	между тем изучение	1	1
106	с теми или	1	1
107	в то же	6	1
108	так как эти	1	1
109	тех или иных	3	1
110	в качестве примера	1	1
111	и то же	2	1
112	на этот вопрос	5	1
113	здесь не может	1	1
114	между тем мы	1	1
115	как мы уже	2	1
116	и есть то	1	1
117	в таком случае	1	1
118	так как не	1	1
119	и как они	1	1
120	может быть определено	1	1
121	так как эта	1	1
122	до сих пор	7	1
123	совершенно ясно что	1	1
124	все же в	1	1
125	не потому что	1	1
126	одна за другой	1	1
127	возникает вопрос что	1	1
128	т д можно	1	1
129	она имеет свои	1	1
130	одно и то	2	1
131	он представляет собой	1	1
132	т д словом	1	1
133	той или иной	3	1
134	сомневаться в том	1	1
135	кроме того они	1	1
136	но как мы	1	1
137	д таким образом	1	1
138	в том или	2	1
139	но если бы	1	1
140	д все эти	1	1
141	а потому что	1	1
142	она может быть	1	1
143	с самого начала	1	1
144	в интересах более	1	1
145	том что он	1	1
146	может быть названа	1	1
147	и об отношении	1	1
148	в точном смысле	1	1
149	раньше чем продолжать	1	1
150	становится все более	1	1
151	тем что она	1	1
152	но в этом	1	1
153	об этом сообщает	1	1
154	точки зрения совершенно	1	1
155	может быть применено	1	1
156	этой точки зрения	2	1
157	вряд ли кто-нибудь	1	1
158	всегда связана с	1	1
159	здесь не место	2	1
160	один из наиболее	1	1
161	между прочим и	1	1
162	в одном случае	1	1
163	то же время	6	1
164	не то что	1	1
165	из которых каждый	1	1
166	уже не только	2	1
167	т д эти	1	1
168	после того как	2	1
169	смысле слова а	1	1
170	что несмотря на	2	1
171	потому что они	1	1
172	было бы сказать	1	1
