N	4gram	Tiupa_Lite	Komedia
1	в то же время	12	16
2	бы то ни было	1	7
3	не говоря уже о	2	6
4	в том что он	1	4
5	состоит в том что	6	2
6	с этой точки зрения	3	2
7	а то и вовсе	1	2
8	с одной стороны и	1	2
9	в том что в	1	2
10	и в то же	1	2
11	то же время он	1	1
12	до тех пор пока	2	1
13	и того же слова	1	1
14	по тому же пути	1	1
15	в том что его	2	1
16	только в том что	2	1
17	те в свою очередь	1	1
18	состоит в том чтобы	1	1
19	не имеет ничего общего	1	1
20	одного и того же	1	1
21	в том же году	3	1
22	в том что ему	1	1
23	однако в том что	1	1
24	во всяком случае в	1	1
25	имеет ничего общего с	1	1
26	с другой стороны он	1	1
27	вместе с ним а	1	1
28	а те в свою	1	1
29	мы имеем дело с	1	1
