N	4gram	Vinokur_Vv	EvropaiC
1	заключается в том что	2	3
2	бы то ни было	1	3
3	одного и того же	2	3
4	лишь в том что	1	3
5	для того чтобы быть	1	2
6	но вместе с тем	1	2
7	в то же время	6	2
8	в целом ряде других	1	1
9	состоит в том что	2	1
10	и для того чтобы	1	1
11	с этой точки зрения	2	1
12	то же самое что	2	1
13	уже и без того	1	1
14	то для того чтобы	1	1
15	что с течением времени	1	1
16	кто так или иначе	1	1
17	идет речь в общем	1	1
18	в широком смысле слова	4	1
19	не говоря уже о	1	1
20	в том что он	1	1
21	разница лишь в том	1	1
22	одно и то же	2	1
23	представление о том что	1	1
24	но с другой стороны	1	1
25	в нем не осталось	1	1
26	не трудно видеть что	5	1
27	говоря уже о том	1	1
28	же самое что и	1	1
29	дело в том что	3	1
30	и в целом ряде	1	1
31	может быть и не	1	1
32	то что входит в	1	1
33	и в конце концов	1	1
34	в том виде в	1	1
35	уже о том что	1	1
36	одной и той же	2	1
37	в том виде как	1	1
38	также и то что	1	1
39	в том или ином	2	1
40	в том же направлении	1	1
