N	4gram	Tiupa_Anal	Problema
1	то же самое время	2	16
2	в то же самое	2	16
3	не что иное как	5	14
4	есть не что иное	4	11
5	в той или иной	3	10
6	на самом же деле	1	8
7	не говоря уже о	1	7
8	но в таком случае	1	7
9	заключается в том что	1	6
10	и в этом случае	1	6
11	по крайней мере в	1	6
12	бы то ни было	3	6
13	свидетельствует о том что	1	5
14	в том смысле что	1	5
15	тем не менее в	1	5
16	одним и тем же	1	4
17	в собственном смысле слова	1	4
18	одно и то же	2	4
19	ни в коем случае	2	4
20	в том числе и	1	4
21	в том или ином	3	4
22	в тех случаях когда	1	3
23	одного и того же	2	3
24	и вместе с тем	1	3
25	несмотря на то что	1	3
26	с этой точки зрения	2	3
27	не сам по себе	1	3
28	в том что он	2	3
29	но в то же	2	3
30	одной и той же	1	2
31	один и тот же	1	2
32	и там и здесь	1	2
33	мы имеем в виду	1	2
34	мысль о том что	1	2
35	ничего не говорит о	1	2
36	уже содержит в себе	1	2
37	внимание на то что	1	2
38	чего бы то ни	1	2
39	к тому или иному	1	2
40	только в том что	1	2
41	не только в том	1	2
42	а не только в	1	1
43	а не так как	1	1
44	с той или иной	2	1
45	том и заключается что	1	1
46	один я на дорогу	1	1
47	дело не в самом	1	1
48	в то же время	7	1
49	вступает в борьбу с	1	1
50	бы оно ни было	1	1
51	в таком случае в	1	1
52	и как будто бы	1	1
53	в том и заключается	1	1
54	в такой же мере	1	1
55	и в самом деле	1	1
56	мы имеем дело не	1	1
57	имеем дело не с	1	1
58	но о том что	2	1
59	во времени и пространстве	4	1
60	что не есть она	1	1
61	ответ на этот вопрос	1	1
62	том или ином отношении	1	1
63	а тем самым и	1	1
64	к тому же и	1	1
65	состоит в том что	6	1
66	не есть она сама	1	1
67	в виду не только	1	1
68	выхожу один я на	1	1
69	еще ничего не говорит	1	1
70	если бы он был	1	1
71	в том случае если	1	1
72	той или иной эстетической	2	1
73	все же не есть	1	1
74	подобно тому как мы	1	1
75	а в то же	2	1
76	и не может быть	4	1
77	сколько бы мы ни	1	1
78	в том что люди	1	1
79	и к тому же	2	1
80	в коем случае не	2	1
81	не сами по себе	1	1
82	на то что все	1	1
83	значении этого слова как	1	1
84	на том или ином	1	1
85	во всех этих случаях	1	1
86	и в этом смысле	1	1
87	никак не может быть	1	1
88	какой бы то ни	2	1
89	мы имеем дело с	4	1
