N	4gram	Losev_Prob	Stilisti
1	одно и то же	3	5
2	одной и той же	1	4
3	не что иное как	6	2
4	мы имели в виду	1	2
5	как бы мы ни	1	2
6	в то же самое	10	2
7	в тех случаях когда	1	2
8	и в то же	2	2
9	в связи с этим	1	2
10	то же самое время	10	2
11	есть не что иное	6	2
12	само по себе не	1	1
13	но возможно также и	1	1
14	и в этом случае	3	1
15	не говоря уже об	1	1
16	мы уже видели что	1	1
17	бросается в глаза и	1	1
18	в таких словах как	1	1
19	и есть не что	1	1
20	не связанных между собой	1	1
21	для того чтобы не	1	1
22	не просто отражает действительность	1	1
23	прежде всего мы должны	1	1
24	как таковой еще не	1	1
25	тем не менее и	1	1
26	одним и тем же	1	1
27	возникновения и развития языка	1	1
28	только тогда когда мы	1	1
29	только благодаря тому что	1	1
30	и не было бы	1	1
31	одного и того же	1	1
32	тех случаях когда мы	1	1
33	не может обойтись без	2	1
34	в собственном смысле слова	1	1
35	на то или иное	1	1
