N	2gram	Tiupa_Lite	Analitik
1	не только	29	71
2	тогда как	20	67
3	и в	26	66
4	в качестве	21	61
5	литературного произведения	4	58
6	но и	25	57
7	в том	22	52
8	может быть	24	52
9	в этом	19	51
10	в частности	18	51
11	как и	13	50
12	и не	19	48
13	а не	28	42
14	в тексте	9	42
15	при этом	23	40
16	том что	19	40
17	то есть	11	35
18	так и	7	35
19	художественного впечатления	2	34
20	в мире	9	31
21	представляет собой	5	30
22	своего рода	22	30
23	состоит в	18	30
24	коммуникативного события	8	30
25	отнюдь не	4	29
26	как бы	8	29
27	не может	10	29
28	а в	5	28
29	в его	9	27
30	и его	7	27
31	не в	11	26
32	но не	8	26
33	текста в	1	26
34	всего лишь	7	24
35	в себе	8	24
36	не случайно	5	24
37	художественного целого	3	24
38	иначе говоря	2	23
39	что в	7	22
40	и даже	9	22
41	к тому	3	22
42	в этой	7	22
43	лишь в	4	21
44	о том	3	20
45	и т.п	14	20
46	я в	12	20
47	в самом	4	19
48	то же	13	19
49	в своей	5	19
50	по отношению	6	19
51	с его	5	19
52	но в	5	19
53	в данном	7	18
54	в то	12	18
55	отношению к	4	18
56	эстетического объекта	7	17
57	тем самым	8	17
58	с другой	11	17
59	только в	8	17
60	со стороны	6	17
61	такого рода	18	17
62	или иной	3	17
63	в целом	10	17
64	что и	3	16
65	могут быть	4	16
66	то что	14	16
67	в пределах	4	16
68	и на	5	15
69	не есть	2	15
70	эстетического дискурса	2	15
71	между тем	2	15
72	уже не	9	15
73	прежде всего	14	15
74	в сущности	5	15
75	в их	3	15
76	в рамках	9	15
77	в принципе	7	14
78	не менее	11	14
79	того же	5	14
80	себя в	7	14
81	я и	10	14
82	в себя	5	14
83	той или	1	14
84	мы имеем	2	14
85	же время	12	14
86	в отличие	6	14
87	данном случае	6	14
88	факторов художественного	2	14
89	столь же	5	14
90	отличие от	6	14
91	далеко не	4	14
92	эстетического отношения	2	14
93	точки зрения	8	13
94	как правило	5	13
95	тому же	2	13
96	в случае	5	13
97	он не	4	13
98	ничего не	3	13
99	как раз	6	13
100	для него	6	13
101	а также	5	13
102	произведение искусства	8	13
103	в начале	4	13
104	и к	1	12
105	и сам	6	12
106	никогда не	5	12
107	ивана петровича	1	12
108	как это	9	12
109	в первой	1	12
110	сводится к	4	12
111	как в	5	12
112	еще не	4	12
113	произведения как	2	12
114	в конечном	9	12
115	есть не	2	12
116	в той	1	11
117	даже в	6	11
118	конечном счете	8	11
119	наш взгляд	7	11
120	имеем дело	2	11
121	повестях белкина	2	11
122	по своей	3	11
123	на наш	7	11
124	в свою	2	11
125	той же	5	11
126	это не	4	11
127	можно сказать	1	11
128	в повестях	4	11
129	и как	2	11
130	во второй	2	11
131	не с	2	11
132	не следует	1	11
133	нуждается в	3	11
134	именно в	1	10
135	все же	6	10
136	едва ли	5	10
137	максим максимыч	1	10
138	с одной	9	10
139	в произведении	1	10
140	в конце	6	10
141	петровича белкина	1	10
142	было бы	4	10
143	однако в	7	10
144	вулича и	1	10
145	в миропорядке	2	10
146	подобно тому	4	10
147	текста и	1	10
148	и одновременно	2	10
149	отношения к	1	10
150	перед лицом	2	10
151	здесь не	1	10
152	со своей	3	10
153	и самого	2	10
154	один из	7	10
155	на себя	4	10
156	говорить о	1	9
157	говорит о	1	9
158	не столько	8	9
159	в результате	2	9
160	другой стороны	5	9
