N	2gram	Tiupa_Vved	Literetu
1	уединенного сознания	1	70
2	а не	31	50
3	и не	24	47
4	не только	32	46
5	и в	23	44
6	может быть	25	43
7	при этом	43	41
8	но и	31	41
9	тогда как	16	40
10	в том	21	39
11	в этом	27	38
12	своего рода	20	37
13	том что	16	32
14	такого рода	23	30
15	в частности	19	30
16	то что	9	29
17	в мире	9	28
18	в качестве	18	27
19	то же	8	26
20	в году	2	26
21	состоит в	23	26
22	как и	21	23
23	в то	5	23
24	себя в	4	22
25	не в	12	22
26	того что	7	22
27	так и	14	22
28	не может	14	22
29	же время	4	21
30	и т.п	14	20
31	в себе	15	20
32	прежде всего	11	19
33	эстетического субъекта	1	19
34	как бы	8	18
35	с другой	10	17
36	точки зрения	1	17
37	то есть	13	17
38	в его	9	17
39	в жизни	7	16
40	сознания в	4	16
41	в этой	2	16
42	не менее	4	15
43	только в	9	15
44	со стороны	15	15
45	тем самым	6	15
46	в целом	4	15
47	и даже	3	14
48	по отношению	11	14
49	однако в	9	14
50	что он	2	14
51	в рамках	5	14
52	коммуникативного события	8	14
53	уже не	7	13
54	е годы	1	13
55	в своем	9	13
56	с одной	9	13
57	как это	2	13
58	в тексте	11	13
59	[] в	1	13
60	но не	9	13
61	и его	9	13
62	в своей	10	12
63	о том	7	12
64	в данном	22	12
65	одной стороны	9	12
66	художественного письма	9	12
67	к себе	2	12
68	одним из	5	12
69	всего лишь	7	12
70	еще не	8	12
71	отношению к	11	12
72	а также	12	12
73	в е	3	12
74	не столько	5	11
75	в другом	2	11
76	никогда не	6	11
77	в конечном	2	11
78	коммуникативное событие	10	11
79	причастности к	1	11
80	и сам	2	11
81	столь же	3	11
82	еще в	3	11
83	вместе с	2	11
84	как в	8	11
85	в основе	6	11
86	в отличие	11	11
87	с его	1	11
88	данном случае	15	11
89	это не	7	11
90	коммуникативная стратегия	1	11
91	отличие от	11	11
92	или иначе	2	11
93	а в	15	11
94	даже в	3	10
95	в принципе	3	10
96	по мысли	5	10
97	конечном счете	2	10
