N	4gram	Tiupa_Lite	EvropaiE
1	в то же время	12	14
2	и в то же	1	8
3	с одной стороны и	1	6
4	с этой точки зрения	3	5
5	бы то ни было	1	4
6	но в то же	1	2
7	например с точки зрения	1	2
8	то же время многие	1	1
9	то же время не	2	1
10	стрелой татарской древней воли	1	1
11	не только в том	2	1
12	дело в том что	2	1
13	ясен долгий путь наш	1	1
14	долгий путь наш путь	1	1
15	и всякая иная культурная	1	1
16	путь наш путь стрелой	1	1
17	татарской древней воли пронзил	1	1
18	и прежде всего в	1	1
19	путь стрелой татарской древней	1	1
20	не говоря уже об	1	1
21	поскольку речь идет о	2	1
22	воли пронзил нам грудь	1	1
23	наш путь стрелой татарской	1	1
24	не говоря уже о	2	1
25	одного и того же	1	1
26	древней воли пронзил нам	1	1
27	нам ясен долгий путь	1	1
