N	2gram	Bakhtin_Pr	Otkroven
1	у него	5	22
2	человеческой природы	1	20
3	у достоевского	30	19
4	и в	83	19
5	и не	41	13
6	но и	16	13
7	в этом	24	12
8	человека в	6	11
9	а не	19	11
10	из подполья	6	11
11	не только	14	11
12	не в	10	11
13	может быть	23	11
14	вопрос о	1	10
15	человека и	10	10
16	и все	14	10
17	в нем	21	10
18	к человеку	2	9
19	потому что	9	9
20	в человеке	1	9
21	прежде всего	20	9
22	не было	5	9
23	в самой	2	9
24	никогда не	10	9
25	и он	5	8
26	он был	1	8
27	нет ничего	3	7
28	от него	3	7
29	ни с	1	7
30	в его	15	7
31	ивана карамазова	4	7
32	он не	5	7
33	но он	3	7
34	лишь в	1	7
35	до конца	3	7
36	человек не	1	7
37	все это	11	6
38	великом инквизиторе	1	6
39	как и	13	6
40	о великом	1	6
41	в самом	7	5
42	достоевского и	8	5
43	в творчестве	8	5
44	в том	22	5
45	нужно искать	1	5
46	для него	1	5
47	него в	1	5
48	для достоевского	5	5
49	в этой	3	5
50	раскрывается в	1	5
51	а в	4	5
52	до самого	1	5
53	отношение к	14	5
54	в россии	1	5
55	о его	1	5
56	то что	14	5
57	человеку и	1	5
58	записок из	1	5
59	все в	3	4
60	что в	5	4
61	в преступлении	4	4
62	и мысли	4	4
63	достоевского все	3	4
64	достоевского не	3	4
65	не может	18	4
66	в идиоте	1	4
67	него и	1	4
68	человеческих отношений	2	4
69	всегда есть	1	4
70	что не	1	4
71	достоевский не	1	4
72	в самую	1	4
73	человек и	2	4
74	все эти	9	4
75	на земле	14	4
76	и его	13	4
77	он сам	5	4
78	в романах	5	4
79	о бессмертии	1	4
80	с его	4	4
81	достоевский был	5	3
82	и от	4	3
83	записки из	2	3
84	все что	1	3
85	как художник	1	3
86	записках из	1	3
87	что человек	1	3
88	и вот	1	3
89	хотя бы	6	3
90	это не	10	3
91	для того	1	3
92	с ним	3	3
93	подполья и	1	3
94	мысли и	2	3
95	когда он	2	3
96	преступлении и	4	3
97	в бесах	3	3
98	романах достоевского	7	3
99	достоевского было	1	3
100	и наказании	4	3
101	в этих	8	3
102	не могут	4	3
103	самого достоевского	1	3
104	в своих	4	3
105	в записках	1	3
106	как бы	27	3
107	было бы	6	3
108	человека его	1	3
109	могут быть	5	3
110	в себе	10	3
111	достоевского в	12	3
112	и есть	1	3
113	что он	6	3
114	никто не	1	3
115	это было	3	3
116	нем нет	3	3
117	и ее	8	3
118	о том	3	3
119	того что	1	3
120	к нему	3	3
121	еще не	10	3
122	свобода и	1	2
