N	2gram	Savitsky_P	EvropaiE
1	и в	14	37
2	в отношении	10	32
3	в пределах	8	25
4	точки зрения	3	23
5	европы и	1	22
6	что в	4	21
7	не только	17	18
8	с точки	3	17
9	в то	7	16
10	то же	9	15
11	хотя бы	8	15
12	отношении к	5	15
13	в качестве	9	14
14	и не	12	14
15	но и	6	14
16	же время	7	14
17	старого света	9	14
18	в своем	4	14
19	но в	9	14
20	в этом	10	12
21	в том	9	11
22	россия в	3	11
23	в области	11	11
24	н с	2	11
25	с и	1	10
26	в себе	3	9
27	т е	3	9
28	прежде всего	3	9
29	только в	7	9
30	в смысле	6	9
31	так же	1	9
32	не может	4	9
33	отнюдь не	2	9
34	и азии	1	8
35	с одной	3	8
36	в ее	2	8
37	одной стороны	3	8
38	между тем	3	8
39	было бы	6	8
40	думать что	2	8
41	того что	2	7
42	а также	4	7
43	как и	1	7
44	между прочим	2	7
45	также и	1	7
46	с другой	5	7
47	в последние	2	6
48	вслед за	3	6
49	и на	1	6
50	том что	4	6
51	во всех	2	6
52	может быть	5	6
53	того чтобы	1	6
54	для того	3	6
55	стороны и	2	6
56	то что	4	6
57	как бы	4	6
58	на то	1	6
59	тем самым	3	5
60	в виде	2	5
61	не в	5	5
62	в россии	3	5
63	древнего востока	1	5
64	но не	3	5
65	со стороны	2	5
66	и потому	4	5
67	которую мы	2	5
68	же как	1	5
69	в частности	2	5
70	столь же	3	5
71	и по	1	5
72	в перспективе	2	4
73	в самом	1	4
74	на путях	4	4
75	мы не	3	4
76	хозяйственной жизни	1	4
77	в предыдущем	1	4
78	для нас	2	4
79	иными словами	1	4
80	и притом	1	4
81	весьма вероятно	2	4
82	само по	1	4
83	в некотором	1	4
84	из числа	1	4
85	именно в	2	4
86	сельского хозяйства	1	4
87	по себе	4	4
88	не имеет	1	4
89	к россии	1	4
90	в каком	1	4
91	культуры в	2	4
92	тем более	2	4
93	в полной	2	4
94	к востоку	1	4
95	вопрос о	1	4
96	россии в	5	4
97	в ней	6	4
98	во многих	1	4
99	или иной	1	4
100	российского мира	2	3
101	и к	4	3
102	применении к	1	3
103	но на	1	3
104	северной америке	3	3
105	и мы	2	3
106	можно думать	1	3
