N	4gram	Bakhtin_fo	VerxiiNi
1	в том числе и	4	4
2	и вместе с тем	1	3
3	и для того чтобы	1	2
4	с этой точки зрения	1	2
5	в то же время	10	2
6	до сих пор еще	1	2
7	говорили о том что	1	2
8	но вместе с тем	1	2
9	не похожи друг на	1	1
10	но в конце концов	1	1
11	вместе с тем и	1	1
12	в связи с тем	1	1
13	то же время он	1	1
14	с нашей точки зрения	3	1
15	те же что и	2	1
16	одном и том же	1	1
17	до сих пор не	1	1
18	между этими двумя моментами	1	1
19	мы уже говорили о	1	1
20	похожи друг на друга	2	1
21	уже говорили о том	1	1
22	он не имеет ни	1	1
23	в данном случае мы	1	1
24	но в то же	2	1
25	же что и у	1	1
26	мы имеем в виду	2	1
27	и в то же	6	1
28	все более и более	2	1
29	в том что они	1	1
30	одного и того же	6	1
31	и в этом отношении	1	1
32	в одном и том	1	1
