N	2gram	Propp_Russ	IolandNe
1	и с	12	3
2	что в	35	2
3	он не	1	2
4	должен быть	2	2
5	ничего не	4	2
6	и не	6	2
7	в этом	18	2
8	говорить о	2	1
9	все эти	5	1
10	для того	6	1
11	и очень	1	1
12	а в	16	1
13	и о	4	1
14	к нам	2	1
15	утверждает что	1	1
16	и та	1	1
17	что для	4	1
18	для него	1	1
19	не здесь	1	1
20	вплоть до	4	1
21	при такой	1	1
22	тех же	1	1
23	тем что	7	1
24	не случайно	2	1
25	только что	1	1
26	от нее	1	1
27	того же	1	1
28	с а	1	1
29	не так	1	1
30	и др	4	1
31	первую очередь	1	1
32	жизни и	1	1
33	с другой	1	1
34	в целом	2	1
35	было не	1	1
36	очевидно что	2	1
37	в эту	3	1
38	могло бы	1	1
39	то и	4	1
40	после смерти	1	1
41	и еще	2	1
42	в первую	1	1
43	что при	2	1
44	как только	2	1
45	если бы	1	1
46	у и	2	1
47	отношению к	1	1
48	в руки	2	1
49	следующим образом	9	1
50	доказать что	1	1
51	по существу	7	1
52	и сам	1	1
53	того что	6	1
54	цель и	1	1
55	работы не	1	1
56	а с	6	1
57	только для	3	1
58	по поводу	1	1
59	а также	6	1
60	так и	8	1
61	в основе	1	1
62	в огороде	1	1
63	от этого	2	1
64	в кружок	2	1
65	того чтобы	6	1
66	и без	1	1
67	не дает	1	1
68	а по	1	1
69	и в	59	1
70	это был	1	1
71	никогда не	1	1
72	и и	2	1
73	все это	12	1
74	по отношению	1	1
75	и дети	1	1
76	как о	1	1
77	в них	10	1
78	все ясно	1	1
