N	2gram	Trubetskoy	Myslijsy
1	потому что	7	182
2	то есть	4	142
3	и в	26	121
4	может быть	10	107
5	в том	11	103
6	то что	7	83
7	в слове	1	78
8	что в	9	73
9	и не	8	73
10	только в	4	72
11	не только	10	67
12	а не	5	67
13	таким образом	22	64
14	в этом	15	59
15	но и	9	59
16	том что	7	59
17	так как	9	59
18	то же	4	56
19	не в	2	54
20	если бы	3	53
21	в себе	6	53
22	по себе	1	52
23	не может	4	52
24	того что	3	47
25	в сознании	1	46
26	в душе	1	45
27	было бы	1	45
28	и проч	2	45
29	в нем	4	45
30	не есть	1	42
31	как и	1	42
32	так что	3	39
33	вместе с	15	39
34	что и	6	38
35	мы не	1	38
36	при этом	3	37
37	как в	1	37
38	так и	6	37
39	тогда когда	2	36
40	что мы	2	36
41	точно так	3	35
42	тем что	1	33
43	и что	4	32
44	по отношению	1	30
45	а в	4	30
46	между тем	2	29
47	но не	8	29
48	мы можем	2	28
49	для него	3	28
50	с этим	1	27
51	могут быть	1	27
52	не было	2	26
53	отношению к	3	26
54	этого слова	1	25
55	в то	4	24
56	с тем	18	23
57	как бы	12	23
58	того как	1	23
59	а потому	1	22
60	по мере	1	22
61	с другой	8	22
62	не имеет	5	22
63	только тогда	1	22
64	но в	7	22
65	и потому	6	21
66	не менее	3	21
67	мысль о	2	20
68	в одном	3	20
69	это не	1	20
70	в ней	1	20
71	и как	3	19
72	но это	1	19
73	сказать что	2	19
74	с ним	1	19
75	того же	6	19
76	тем не	3	19
77	что это	3	19
78	из этих	10	19
79	о том	6	19
80	заключает в	2	19
81	должно быть	1	19
82	есть не	1	19
83	в самом	4	18
84	в таком	3	18
85	для того	5	18
86	не могут	2	18
87	в каком	1	18
88	тогда как	1	18
89	еще не	2	18
90	точки зрения	13	17
91	крайней мере	5	17
92	по крайней	5	17
93	заметить что	1	17
94	что оно	4	17
95	уже в	2	17
96	в его	5	17
97	во всяком	6	17
98	не можем	1	17
99	только что	2	16
100	и на	2	16
101	к тому	6	16
102	так же	5	16
103	в своем	3	16
104	в которой	3	16
105	в них	2	16
106	на то	2	16
107	в этих	4	15
108	уже не	3	15
109	только как	1	15
110	с одной	7	15
111	с другими	4	15
112	и по	4	15
113	что он	4	15
114	в свою	2	15
115	прежде всего	2	15
116	думать что	1	15
117	все же	6	14
118	в одно	2	14
119	в котором	4	14
120	свою очередь	1	14
121	то в	1	14
122	связи с	9	14
123	так сказать	1	14
124	во всех	2	14
125	когда мы	1	14
126	там где	1	14
127	должны быть	1	14
128	же время	2	14
129	мы должны	6	14
130	те же	2	13
131	а между	1	13
132	как на	8	13
133	из них	7	13
134	что все	4	13
135	в смысле	4	13
136	и все	2	13
137	не следует	1	13
138	зависит от	1	13
139	смысле этого	1	13
140	образом в	5	13
141	и его	1	13
142	одно из	2	12
143	другой стороны	1	12
144	до сих	5	12
145	более или	5	12
146	мысли о	1	12
147	из коих	1	12
148	никогда не	5	12
149	и при	3	12
150	и вместе	4	12
151	в чем	1	12
152	сих пор	5	12
153	всяком случае	6	12
154	относится к	2	12
155	друг друга	1	12
156	что такое	1	12
157	все это	6	12
158	или менее	5	12
159	тем более	1	12
160	человека и	1	12
161	все что	2	11
162	и если	3	11
163	что человек	1	11
164	в первом	1	11
165	имеет для	1	11
166	только для	2	11
167	из себя	2	11
168	только на	1	11
169	и это	2	11
170	к нему	7	11
171	души и	1	11
172	его в	1	11
173	в силу	5	11
174	мы видели	2	11
175	сами по	1	11
176	того чтобы	5	11
177	той же	1	11
178	если не	2	11
179	к одному	1	11
180	и только	4	11
181	другими словами	1	11
182	и их	1	11
183	же что	1	11
184	указывает на	1	11
185	же в	1	11
186	но тем	1	10
187	и с	10	10
188	хотя бы	3	10
189	одной стороны	7	10
190	представить себе	1	10
191	мы видим	1	10
192	а и	1	10
193	это слово	1	10
194	и следовательно	1	10
195	в других	3	10
196	бы в	1	10
197	тем и	2	10
198	и от	4	10
199	и есть	1	10
200	бы быть	1	10
201	он не	4	10
202	то время	1	10
203	том как	1	10
204	тех пор	2	10
205	тем же	1	10
206	и для	5	10
207	и того	1	9
208	то не	1	9
209	и даже	3	9
210	а вместе	1	9
211	связь между	1	9
212	что она	1	9
213	только от	1	9
214	могли бы	1	9
215	о происхождении	1	9
216	во время	4	9
217	одного и	1	9
218	от нее	1	9
219	один из	2	9
220	известно что	1	9
221	себе не	1	9
222	самом деле	1	9
223	никто не	1	9
224	с точки	6	9
225	таком случае	1	9
226	это было	1	9
227	и других	1	9
228	далеко не	4	9
229	но вместе	2	9
230	и о	3	9
231	можно сказать	3	9
232	внешней природы	1	9
233	языка с	1	9
234	язык в	1	9
235	таким же	1	9
236	по тому	2	8
237	не как	2	8
238	но все	7	8
239	вслед за	2	8
240	слова с	1	8
241	именно в	2	8
242	их в	1	8
243	так например	2	8
244	перестает быть	2	8
245	что даже	1	8
246	что они	1	8
247	только не	2	8
248	от них	2	8
249	судя по	1	8
250	не так	1	8
