N	2gram	Tiupa_Lite	TeoriaLi
1	в качестве	21	33
2	в мире	9	26
3	не только	29	24
4	и в	26	24
5	в частности	18	23
6	то есть	11	22
7	состоит в	18	22
8	может быть	24	22
9	при этом	23	20
10	в том	22	20
11	в тексте	9	19
12	тогда как	20	18
13	я в	12	18
14	художественной деятельности	9	17
15	и не	19	17
16	а в	5	15
17	но и	25	14
18	а не	28	14
19	так и	7	14
20	в себе	8	14
21	представляет собой	5	13
22	в рамках	9	13
23	такого рода	18	13
24	но не	8	13
25	в этом	19	12
26	сводится к	4	12
27	произведение искусства	8	12
28	но в	5	12
29	в его	9	12
30	эстетического отношения	2	12
31	то же	13	12
32	своего рода	22	11
33	литературного произведения	4	11
34	том что	19	11
35	точки зрения	8	11
36	и его	7	11
37	что в	7	10
38	эстетическое отношение	1	10
39	по отношению	6	10
40	как это	9	10
41	лишь в	4	10
42	отношению к	4	10
43	коммуникативного события	8	10
44	в душе	3	9
45	только в	8	9
46	в данном	7	9
47	с другой	11	9
48	художественной культуры	12	9
49	не сводится	3	9
50	в искусстве	4	9
51	не в	11	9
52	в то	12	9
53	в миропорядке	2	8
54	в своей	5	8
55	же время	12	8
56	как бы	8	8
57	присутствия в	1	8
58	всего лишь	7	8
59	по своей	3	8
60	не может	10	8
61	художественного языка	1	8
62	в самом	4	7
63	в принципе	7	7
64	не столько	8	7
65	на смену	6	7
66	или иной	3	7
67	особого рода	3	7
68	и т.п	14	7
69	в отличие	6	7
70	в своем	12	7
71	себя в	7	7
72	художественного письма	11	7
73	присутствия я	1	7
74	мы имеем	2	7
75	а также	5	7
76	отличие от	6	7
77	парадигмы художественности	9	7
78	во второй	2	7
79	отношение к	1	7
80	однако в	7	7
81	в области	5	7
82	в нем	4	7
83	другой стороны	5	6
84	в состав	1	6
85	конечном счете	8	6
86	как и	13	6
87	не менее	11	6
88	приводит к	4	6
89	еще не	4	6
90	в основе	5	6
91	то что	14	6
92	со стороны	6	6
93	художественного впечатления	2	6
94	уже не	9	6
95	с его	5	6
96	внутреннего я	2	6
97	в ее	1	6
98	картина мира	2	6
99	с другими	1	6
100	в конечном	9	6
101	или иначе	9	6
102	между ними	1	6
103	героя и	2	6
104	модус художественности	1	6
105	в русской	13	6
106	тем самым	8	6
107	в первой	1	6
108	художественного сознания	3	5
109	художественного творчества	3	5
110	в виду	4	5
111	мыслится как	5	5
112	так или	8	5
113	и одновременно	2	5
114	как в	5	5
115	в художественном	6	5
116	роли в	1	5
117	воспринимающего сознания	2	5
118	можно сказать	1	5
119	не является	3	5
120	того чтобы	1	5
121	для того	2	5
122	я с	1	5
123	жизни как	3	5
124	как правило	5	5
125	за пределами	1	5
126	художественности в	1	5
127	иначе говоря	2	5
128	на почве	2	5
129	как к	4	5
130	по преимуществу	6	5
131	данном случае	6	5
132	для него	6	5
133	того что	7	5
134	деятельности в	4	5
135	я есть	2	5
136	в себя	5	5
137	между тем	2	5
138	он не	4	5
139	и тем	4	5
140	в пределах	4	5
141	по сути	1	5
142	эмоциональная рефлексия	1	5
143	и о	1	5
144	в ходе	2	5
145	могут быть	4	5
146	художественного произведения	1	5
147	не случайно	5	5
148	искусства в	2	5
149	текст в	1	4
150	порядка в	1	4
151	без исключения	1	4
152	хх века	12	4
153	рефлективный традиционализм	1	4
154	в отношении	2	4
155	уединенного сознания	55	4
156	не на	2	4
157	не следует	1	4
158	и сам	6	4
159	в этих	2	4
160	лирического героя	4	4
161	отношения к	1	4
162	что он	8	4
163	в слове	3	4
164	творческого акта	1	4
165	для читателя	2	4
166	художественного целого	3	4
167	в другом	3	4
168	говорить о	1	4
169	отношении к	2	4
170	и т.д	8	4
171	сказать что	1	4
172	в нашем	2	4
173	к тому	3	4
174	текста как	2	4
175	никогда не	5	4
176	искусства но	1	4
177	и того	2	4
178	это не	4	4
179	как эстетической	2	4
180	эстетических отношений	2	4
181	факторов художественного	2	4
182	в литературе	2	4
183	слова в	2	4
184	говоря словами	3	4
185	в их	3	4
186	его в	4	4
187	читателя в	2	4
188	эстетический объект	3	4
189	но он	1	4
190	не знает	3	4
191	так в	6	4
192	мира и	1	4
193	со своей	3	4
194	в воображении	1	4
195	а только	2	4
196	художественности и	1	4
197	личности в	4	4
198	произведения искусства	4	4
199	личности и	1	4
200	субъекта и	3	4
201	в свою	2	4
202	и что	2	4
203	самим собой	2	4
204	далеко не	4	4
205	того же	5	4
206	художественного мира	3	4
207	одного и	1	4
208	силу своей	3	4
209	в силу	4	4
210	в стихотворении	17	4
211	с ее	3	4
212	в целом	10	4
213	текста в	1	3
214	рамках которого	1	3
215	и к	1	3
216	к действительности	1	3
217	во втором	3	3
218	в таком	1	3
219	в момент	1	3
220	рассматриваться в	1	3
221	системе ценностей	2	3
222	для себя	6	3
223	с этой	6	3
224	искусства это	2	3
225	литературы как	1	3
226	даже в	6	3
227	была бы	1	3
228	в финале	2	3
229	эстетического объекта	7	3
230	говорит и	1	3
231	своем составе	2	3
232	работа с	4	3
233	подобно тому	4	3
234	я героя	1	3
235	если бы	1	3
236	оказывается в	1	3
237	художественном языке	1	3
238	все эти	2	3
239	а именно	1	3
240	в романе	1	3
241	именно в	1	3
242	по мысли	2	3
243	и адресата	4	3
244	критерием художественности	3	3
245	например в	3	3
246	в жизни	7	3
247	это позиция	1	3
248	общения людей	2	3
249	имеет место	1	3
250	к его	1	3
251	в соответствии	2	3
252	субъект художественной	3	3
253	никто не	1	3
254	художественного мышления	3	3
255	роль в	2	3
256	в лирике	3	3
257	коммуникативных стратегий	2	3
258	в иной	1	3
259	в итоге	2	3
260	тем не	4	3
261	культуры в	5	3
262	перед нами	1	3
263	области искусства	1	3
264	свою очередь	2	3
265	виду не	2	3
266	в роли	3	3
267	в противоположность	2	3
268	потому что	5	3
269	духовного общения	2	3
270	одной стороны	8	3
271	причастности к	5	3
272	искусства и	6	3
273	в знаковом	2	3
274	между двумя	1	3
275	или иных	2	3
276	направленной на	3	3
277	в одном	2	3
278	вслед за	1	3
279	такой деятельности	1	3
280	о литературе	2	3
281	читателя зрителя	5	3
282	на две	1	3
283	текст как	2	3
284	художественное произведение	2	3
285	мог бы	1	3
286	во всей	1	3
287	парадигма художественности	5	3
288	не все	1	3
289	с читателем	2	3
290	от себя	2	3
291	и внешней	1	3
292	рефлективного традиционализма	6	3
293	понятие о	1	3
294	из этих	2	3
295	и для	1	3
296	человеческого я	3	3
297	таким образом	4	3
298	и то	3	3
299	на языке	1	3
300	мышления и	3	3
301	с одной	9	3
302	и вот	2	3
303	том числе	2	3
304	в произведении	1	3
305	в художественной	4	3
306	и потому	1	3
307	с точки	4	3
308	ни к	1	3
309	знаковом материале	2	3
310	как раз	6	3
311	есть в	1	3
312	прежде всего	14	3
313	несет в	2	3
314	иного рода	1	3
315	все прочие	1	3
316	а на	1	3
317	связи с	7	3
318	или в	1	3
319	без остатка	3	3
320	и позволяет	1	3
321	одним из	8	3
322	объекта и	2	3
323	новой парадигмы	2	3
324	в контексте	1	3
325	в равной	4	3
326	в связи	4	3
327	и как	2	3
328	природы искусства	4	3
329	в сторону	1	3
330	вовсе не	3	3
331	текст и	1	3
332	той или	1	3
333	во всех	4	3
334	я на	3	3
335	деятельность по	1	3
336	а с	2	3
337	тот или	1	3
338	классического реализма	3	3
339	ценностного центра	1	3
340	тому как	4	3
341	в акте	1	3
342	в строке	1	3
343	в которой	1	3
344	не с	2	3
345	нового времени	2	3
346	определяющим отношением	3	3
347	говоря о	1	3
348	отношение автор	3	3
349	лирического я	3	3
350	человека с	1	3
351	его организации	1	3
352	равной степени	2	3
353	жизни однако	1	3
354	в этой	7	3
355	одного сознания	1	3
356	и др	4	3
357	художественности состоит	2	3
358	столь же	5	3
359	эстетическая ситуация	1	3
360	творческого воображения	1	3
361	являет собой	2	3
362	лирический герой	14	3
363	и по	1	3
364	тех или	2	3
365	отнюдь не	4	3
366	зрителя слушателя	4	3
367	как совокупность	3	3
368	воспринимающее сознание	2	3
369	в культуре	5	3
370	герой не	1	3
371	мира в	4	3
372	в той	1	2
373	романтической субпарадигмы	1	2
374	о жизни	1	2
375	ведет к	5	2
376	более не	2	2
377	мире и	1	2
378	на деле	1	2
379	совокупность факторов	2	2
380	для всех	5	2
381	однако с	2	2
382	один из	7	2
383	и здесь	1	2
384	и на	5	2
385	легкой руки	2	2
386	русской литературе	7	2
387	если в	2	2
388	от имени	2	2
389	жизни а	1	2
390	которая в	3	2
391	и который	1	2
392	и читателем	3	2
393	переживание переживания	1	2
394	об искусстве	1	2
395	статус художественного	1	2
396	на второй	2	2
397	строго говоря	1	2
398	классицизма в	2	2
399	мира представляет	1	2
400	по слову	1	2
401	на этом	3	2
402	из которых	3	2
