N	4gram	Voloshinov	Mirosoze
1	и там и здесь	1	6
2	не что иное как	1	4
3	одна и та же	1	3
4	одной и той же	2	3
5	в том что он	3	3
6	так же как и	2	3
7	никогда не может быть	1	2
8	все более и более	2	2
9	не может быть и	4	2
10	и тот и другой	1	2
11	достоевский в дневнике писателя	1	2
12	у нас не было	1	2
13	одну и ту же	1	2
14	смысле этого слова как	1	1
15	одни и те же	5	1
16	не значит конечно что	1	1
17	в то же время	7	1
18	и не может быть	5	1
19	в ней нет ничего	1	1
20	в нем нет ничего	1	1
21	быть и речи о	3	1
22	в том что это	1	1
23	а может быть и	1	1
24	это не значит конечно	1	1
25	может быть и речи	4	1
26	и добро и зло	1	1
27	по отношению к нему	1	1
28	до сих пор не	1	1
