N	4gram	Voloshinov	Morfolog
1	как мы увидим ниже	1	4
2	в связи с этим	2	4
3	в собственном смысле слова	1	3
4	таким образом мы приходим	1	2
5	образом мы приходим к	1	2
6	в тех случаях когда	2	2
7	не что иное как	2	2
8	ни к чему не	2	2
9	это дает нам возможность	1	1
10	то для того чтобы	1	1
11	о том что такое	1	1
12	и ни к чему	1	1
13	не задаваясь вопросом о	1	1
14	одно и то же	5	1
15	как мы уже видели	1	1
16	в то же время	7	1
17	мы уже видели в	1	1
18	как мы увидим дальше	1	1
19	то же время и	1	1
20	есть не что иное	2	1
