N	2gram	Medvedev_B	VerxiiNi
1	и в	1	26
2	таким образом	1	22
3	не только	1	10
4	что в	1	9
5	в области	1	9
6	и не	2	8
7	с другой	1	8
8	в эпоху	1	7
9	так и	1	6
10	все это	2	6
11	все же	1	6
12	во всяком	1	6
13	и потому	1	6
14	всяком случае	1	6
15	по крайней	1	5
16	одной из	1	5
17	а не	1	5
18	крайней мере	1	5
19	далеко не	1	4
20	что все	1	4
21	и нет	1	3
22	в значительной	1	3
23	не вполне	1	3
24	и о	1	3
25	и на	1	2
26	прежде всего	1	2
27	не было	1	2
28	еще не	1	2
29	больше чем	2	2
30	его не	1	2
31	со всем	1	1
32	кроме того	1	1
33	у нас	3	1
34	на которой	1	1
35	другой стороны	1	1
36	в данном	1	1
37	в своей	1	1
38	всякий интерес	1	1
39	тем более	1	1
40	совершенно не	1	1
41	и более	1	1
42	говорить не	1	1
43	в ней	2	1
44	не следует	1	1
45	было бы	1	1
46	и ее	1	1
47	и во	1	1
