N	3gram	Tiupa_Vved	Literetu
1	в том что	10	21
2	в то же	5	21
3	то же время	4	21
4	по отношению к	11	12
5	в е годы	1	12
6	с одной стороны	9	12
7	не может быть	6	11
8	в данном случае	15	11
9	в отличие от	11	11
10	состоит в том	2	11
11	в конечном счете	2	10
12	о том что	6	10
13	в этом отношении	7	10
14	присутствия в мире	2	8
15	с другой стороны	2	7
16	в том числе	1	6
17	к тому же	6	6
18	из того что	1	6
19	подобно тому как	3	6
20	не только в	3	6
21	едва ли не	2	6
22	тем не менее	3	5
23	в соответствии с	8	5
24	в том чтобы	2	5
25	в связи с	1	5
26	прежде всего в	1	5
27	но при этом	3	4
28	по аналогии с	2	4
29	и тем самым	2	4
30	и прежде всего	1	4
31	тогда как в	2	4
32	в начале х	1	4
33	в коммуникативном событии	1	3
34	объекта и адресата	1	3
35	одной стороны и	3	3
36	в самом деле	2	3
37	в том же	1	3
38	речь идет о	3	3
39	не сводится к	6	3
40	то же самое	2	3
41	той или иной	4	3
42	в равной степени	1	3
43	по этой причине	2	3
44	в свою очередь	5	3
45	по сути своей	1	3
46	на то что	2	3
47	не столько в	2	3
48	человеческого присутствия в	2	3
49	а не как	1	3
50	на самом деле	4	3
51	по крайней мере	1	3
52	по большей части	4	3
53	но и не	1	3
54	том же году	1	3
55	а то и	2	3
56	в одном из	1	3
57	во всяком случае	3	3
58	том числе и	1	3
59	сознания тогда как	1	3
60	в самом начале	1	2
61	в этой системе	1	2
62	в целом как	1	2
63	в воспринимающем сознании	1	2
64	дело не только	1	2
65	субъекта объекта и	1	2
66	для того чтобы	1	2
67	сказать и о	1	2
68	в предсмертном бреду	1	2
69	и адресата а	1	2
70	и то же	1	2
71	в своем составе	1	2
72	хотя и по-разному	1	2
73	как сказано в	1	2
74	а с другой	3	2
75	не могло быть	1	2
76	оказывается своего рода	2	2
77	может быть названа	1	2
78	несет ответственность за	1	2
79	и рецептивного сознаний	1	2
80	к тому что	1	2
81	а не только	1	2
82	в значительной степени	2	2
83	в принципе не	1	2
84	мы имеем дело	5	2
85	креативного и рецептивного	1	2
86	если говорить о	1	2
87	при всей своей	3	2
88	но и в	3	2
89	обратим внимание на	2	2
90	так и не	4	2
91	и в самом	1	2
92	которые могли бы	1	2
93	мыслится при этом	1	2
94	в полной мере	1	2
95	в повестях белкина	1	2
96	исследования в области	1	2
97	при этом не	2	2
98	при всем многообразии	1	2
99	дело в том	1	2
100	одно и то	1	2
101	дамы с собачкой	8	2
102	можно было бы	2	2
103	с легкой руки	2	2
104	в этом случае	1	2
105	несет в себе	4	2
106	как и само	1	2
107	и представляет собой	4	2
108	ли не наиболее	1	2
109	на первый взгляд	3	2
110	что же касается	2	2
111	потому что я	1	1
112	по воле автора	1	1
113	войне и мире	2	1
114	по аналогии со	1	1
115	свету остается неизвестен	1	1
116	в той или	1	1
117	при этом значимость	1	1
118	в области художественной	1	1
119	все то что	1	1
120	как будто бы	3	1
121	человека в мире	1	1
122	для этого необходимо	1	1
123	к тому чтобы	1	1
124	в той мере	2	1
125	взаимодействия субъекта объекта	1	1
126	как раз не	1	1
127	гордон и дудоров	1	1
128	адресата а не	1	1
129	зрелого чеховского рассказа	1	1
130	литературная классика xix	1	1
131	романе доктор живаго	1	1
132	но отнюдь не	1	1
133	к жизни другого	1	1
134	в этом ряду	2	1
135	жизни но и	1	1
136	и тем более	1	1
137	тем более не	2	1
138	конечном счете к	1	1
139	бы не было	1	1
140	даже в случае	1	1
141	не в том	3	1
142	друг от друга	2	1
143	более или менее	2	1
144	не несет в	3	1
145	и слова все	1	1
146	как бы не	1	1
147	а в том	3	1
148	одних и тех	1	1
149	сюда же следует	1	1
150	в этом ракурсе	1	1
151	внутренней и внешней	1	1
152	обращаясь к читателям	1	1
153	другого в этом	1	1
154	начало и конец	2	1
155	а также в	1	1
156	может быть не	3	1
157	в этом и	1	1
158	иметь в виду	1	1
159	без другого в	1	1
160	исчезает из текста	1	1
161	собственно говоря и	1	1
162	в зависимости от	1	1
163	том что печорин	1	1
164	первого и второго	1	1
165	но только в	1	1
166	то что просто	1	1
167	и в то	1	1
168	но и с	1	1
169	так сказать изнутри	1	1
170	и рецептивного сознания	1	1
171	а не подчинения	1	1
172	а за ними	1	1
173	но и от	1	1
174	в рецептивном сознании	1	1
175	или иначе в	1	1
176	и в пределах	1	1
177	но не в	1	1
178	и того же	1	1
179	принципе не может	1	1
180	при этом он	1	1
181	в первой главе	1	1
182	и т.п и	2	1
183	в частности в	2	1
184	в высшей степени	2	1
185	по сути дела	4	1
186	в силу его	1	1
187	к себе в	1	1
188	как раз и	1	1
189	в наше время	1	1
190	а не с	1	1
191	двумя или несколькими	2	1
192	в художественном тексте	1	1
193	и не столько	1	1
194	день ивана денисовича	1	1
195	в качестве своего	1	1
196	о том как	1	1
197	одного и того	1	1
198	имея в виду	1	1
199	всякое коммуникативное событие	1	1
200	но это не	1	1
201	мир персонажей как	1	1
202	при таком взгляде	1	1
203	пока еще не	4	1
204	тогда как для	2	1
205	же следует отнести	1	1
206	в своем восприятии	1	1
207	а не в	1	1
208	и второго лица	1	1
209	и в этом	1	1
210	в этом последнем	1	1
211	и потому не	1	1
212	организатор коммуникативного события	1	1
213	а также и	2	1
214	оказываются своего рода	1	1
215	может быть только	1	1
216	жизнь и судьба	1	1
217	в нашем случае	3	1
218	окружающей его жизни	1	1
219	всему свету остается	1	1
220	посмотрел на нее	1	1
221	в ответ на	1	1
222	в евгении онегине	1	1
223	уединенного сознания это	1	1
224	к такого рода	1	1
225	от первого лица	1	1
226	раз в том	1	1
227	то есть в	1	1
228	а не просто	1	1
229	только по отношению	1	1
230	в этот самый	1	1
231	в коммуникативное событие	1	1
232	своего и чужого	2	1
233	как бы в	2	1
234	но не только	1	1
235	и вполне закономерно	1	1
236	всегда всему свету	1	1
237	как и для	3	1
238	таком взгляде на	1	1
239	участия в бытии	1	1
240	не только от	1	1
241	с того что	2	1
242	на второй план	1	1
243	в котором мы	1	1
244	здесь как и	1	1
245	такого рода не	1	1
246	том или ином	1	1
247	текста и не	1	1
248	сближает его с	1	1
249	а потому не	1	1
250	в романе доктор	1	1
251	в сфере художественного	2	1
252	остается неизвестен и	1	1
253	именно то что	1	1
254	между двумя или	2	1
255	быть определена как	1	1
256	несмотря на его	1	1
257	и тех же	1	1
258	не что иное	1	1
259	он не может	1	1
260	здесь состоит в	1	1
261	и даже в	1	1
262	может быть вполне	1	1
263	здесь как будто	1	1
264	тейяр де шарден	1	1
265	начинается с того	2	1
266	хотя и не	2	1
267	состоит в осознании	1	1
268	однако в данном	1	1
269	и не является	1	1
270	герой нашего времени	1	1
271	всяком случае в	1	1
272	на нее и	1	1
273	который известен только	1	1
274	в войне и	2	1
275	становится одним из	2	1
276	во внутренний мир	1	1
277	но в то	1	1
278	создается не столько	1	1
279	содержит в себе	1	1
280	как мы видели	3	1
281	как раз в	1	1
282	мысль о том	1	1
283	может быть определена	1	1
284	классика xix столетия	1	1
285	однако и в	1	1
286	только потому что	1	1
287	женщин низшей расой	1	1
288	которое может быть	1	1
289	к личностному самоопределению	1	1
290	же время у	2	1
291	один день ивана	1	1
292	с самого начала	1	1
293	в себе не	1	1
294	мира представляет собой	1	1
295	и который известен	1	1
296	аналог действительного мира	1	1
297	у него нет	1	1
298	не в последнюю	1	1
299	который всегда всему	1	1
300	конвергенции схождения сознаний	1	1
301	в рамках которого	1	1
302	в жизни так	1	1
303	первая и вторая	1	1
304	при этом у	1	1
305	удовольствия от текста	1	1
306	что иное как	1	1
307	же году в	1	1
308	это свидетельствует о	1	1
309	сказано в тексте	1	1
310	была выявлена и	1	1
311	и не может	1	1
312	известен только им	1	1
313	природного бытия в	1	1
314	в последнюю очередь	1	1
315	неизвестен и который	1	1
316	сфере художественного письма	2	1
317	это и есть	1	1
318	само по себе	1	1
319	как уже говорилось	1	1
320	имеем дело с	4	1
321	мы не можем	1	1
322	случае следует вести	1	1
323	в основе своей	2	1
324	в сущности говоря	1	1
