N	2gram	Medvedev_S	Russkaja
1	не может	1	22
2	и не	1	19
3	в этом	5	17
4	в том	5	17
5	и в	3	14
6	то что	2	13
7	таким образом	2	11
8	то же	2	11
9	но и	2	10
10	же время	1	10
11	в то	1	10
12	не только	3	9
13	том что	2	9
14	во всяком	1	9
15	может быть	2	9
16	прежде всего	1	8
17	о том	1	7
18	в данном	1	7
19	мы должны	1	7
20	отнюдь не	1	7
21	все это	7	6
22	что он	1	6
23	всяком случае	1	6
24	только в	2	5
25	по существу	2	5
26	в своей	1	5
27	между собой	1	5
28	и только	3	5
29	хотя бы	1	5
30	между тем	1	5
31	а между	1	5
32	конечно не	1	5
33	а в	1	5
34	было бы	2	5
35	никогда не	1	5
36	что в	2	4
37	в его	3	4
38	его в	1	4
39	не в	3	4
40	как и	1	4
41	в мире	1	4
42	все же	1	4
43	как бы	2	4
44	в этой	1	4
45	но не	1	4
46	может не	1	3
47	что это	1	3
48	в виде	1	3
49	не было	1	3
50	связи с	1	3
51	тем что	1	3
52	именно в	1	3
53	в конце	2	3
54	и как	1	3
55	вряд ли	1	3
56	еще не	2	3
57	и потому	1	3
58	в лучшем	1	3
59	лучшем случае	1	3
60	точке зрения	1	3
61	она может	2	3
62	главным образом	2	3
63	что все	1	3
64	и по	1	3
65	конце концов	2	3
66	для этого	1	3
67	представить себе	1	2
68	именно на	1	2
69	зависит от	1	2
70	должна быть	2	2
71	сама по	1	2
72	время в	1	2
73	и должно	1	2
74	с ним	1	2
75	для нас	3	2
76	в результате	2	2
77	том и	1	2
78	в этих	1	2
79	у него	1	2
80	по себе	1	2
81	от друга	1	2
82	все эти	1	2
83	тому что	1	2
84	только для	1	2
85	по самому	1	2
86	друг от	1	2
87	остается в	1	2
88	а с	1	2
89	и более	1	2
90	в таких	1	2
91	в котором	1	2
92	в частности	2	2
93	но она	1	2
94	в силу	1	2
95	и что	2	2
96	на основании	1	2
97	по отношению	2	2
98	даже не	1	2
99	настоящее время	1	2
100	благодаря этому	1	2
101	стоит только	1	2
102	и есть	1	2
103	место в	1	2
104	единственный путь	1	2
105	и о	1	2
106	как будто	2	2
107	в области	1	2
108	в настоящее	1	2
109	и наконец	1	2
110	иначе говоря	1	1
111	этого и	1	1
112	один из	1	1
113	и мы	2	1
114	хотелось бы	1	1
115	они не	1	1
116	на точке	1	1
117	на тех	1	1
118	отношению к	2	1
119	мы не	1	1
120	ввести в	2	1
121	и способностей	1	1
122	это не	1	1
123	даже в	1	1
124	в сущности	1	1
125	на отдельные	1	1
126	так и	1	1
127	те же	1	1
128	в область	1	1
129	как же	3	1
130	или не	1	1
131	в свои	1	1
132	слова но	1	1
133	и будет	1	1
134	очевидно что	2	1
135	тем же	1	1
136	из тех	1	1
137	в связи	1	1
138	или даже	2	1
139	только то	1	1
140	иначе и	1	1
141	данный человек	1	1
142	противном случае	1	1
143	собой не	1	1
144	на все	1	1
145	должно было	1	1
146	в те	1	1
147	как только	2	1
148	вовсе не	1	1
149	на первый	1	1
150	тем более	2	1
151	по крайней	1	1
152	перед нами	1	1
153	бы в	1	1
154	базируются на	1	1
155	бы о	1	1
156	что эти	1	1
157	у которых	1	1
158	это и	2	1
159	еще и	1	1
160	ни на	1	1
161	но как	1	1
162	всему этому	1	1
163	это зависит	2	1
164	но ведь	3	1
165	это как	1	1
166	и заключается	2	1
167	и никакая	1	1
168	какие же	1	1
169	быть не	1	1
170	только тогда	1	1
171	что данный	1	1
172	кто не	1	1
173	но только	1	1
174	вот в	1	1
175	стало быть	1	1
176	придется не	1	1
177	на ней	1	1
178	с другой	1	1
179	это же	1	1
180	же самое	1	1
181	его собственные	1	1
182	со своими	1	1
183	крайней мере	1	1
184	к которому	2	1
185	образом в	1	1
186	столь же	1	1
187	на этот	1	1
188	быть для	1	1
189	в противном	1	1
190	же это	1	1
191	что на	1	1
192	никак не	1	1
