N	3gram	Bakhtin_fo	StatiiOP
1	в том что	4	47
2	и т д	3	32
3	о том что	2	29
4	в этом отношении	5	24
5	для того чтобы	11	19
6	до сих пор	4	19
7	и т п	18	19
8	с точки зрения	9	14
9	с другой стороны	1	13
10	во всяком случае	1	13
11	не может быть	4	11
12	в самом деле	1	9
13	то же время	13	9
14	вместе с тем	3	9
15	в то же	10	9
16	дело в том	2	9
17	к тому что	1	8
18	на самом деле	1	8
19	не только в	6	8
20	в конце концов	1	7
21	в данном случае	2	7
22	в данном отношении	1	7
23	но все же	3	7
24	в то время	3	7
25	и в этом	2	7
26	так же как	2	6
27	по отношению к	3	6
28	так и в	1	6
29	том что в	1	6
30	в одном из	1	6
31	во время чумы	1	5
32	то время как	2	5
33	в том же	3	5
34	говорит о том	1	5
35	с тем что	2	5
36	но и в	5	5
37	как раз в	4	5
38	то что в	1	5
39	тот факт что	1	5
40	т п в	1	5
41	с самого начала	3	5
42	и в области	1	5
43	сами по себе	2	4
44	с одной стороны	3	4
45	в связи с	12	4
46	в другом месте	2	4
47	в мировой литературе	2	4
48	в это время	1	4
49	и в самом	1	4
50	тем более что	2	4
51	и в том	1	4
52	что и в	1	4
53	это не значит	1	3
54	о том как	2	3
55	в той же	1	3
56	можно сказать что	1	3
57	в том числе	7	3
58	совершенно так же	1	3
59	да и в	1	3
60	к тому же	2	3
61	но все это	1	3
62	только в том	1	3
63	в значительной степени	1	3
64	во всех этих	2	3
65	в этом случае	1	3
66	а вовсе не	1	3
67	прежде всего в	3	3
68	на этой почве	1	2
69	для него самого	1	2
70	неизвестно кем и	1	2
71	в котором он	1	2
72	их и не	1	2
73	из того же	1	2
74	но вместе с	1	2
75	в той или	2	2
76	в жизни и	1	2
77	этот вопрос в	1	2
78	одних и тех	2	2
79	все более и	2	2
80	в данном месте	1	2
81	важно подчеркнуть что	1	2
82	в зависимости от	1	2
83	между тем как	1	2
84	том числе и	4	2
85	и вместе с	1	2
86	и в то	7	2
87	все же и	1	2
88	в отличие от	3	2
89	и в других	4	2
90	что в этом	1	2
91	не может не	1	2
92	то же самое	1	2
93	вовсе не является	2	2
94	а также и	3	2
95	века и в	1	2
96	как своего рода	1	2
97	в свою очередь	1	2
98	но он не	2	2
99	и др в	2	2
100	той или иной	3	2
101	к тому времени	2	2
102	не до конца	1	2
103	было бы не	1	2
104	как и большинство	1	2
105	более и более	2	2
106	и тех же	2	2
107	но в то	2	2
108	как мы видели	1	2
109	прежде всего необходимо	4	2
110	мы имеем в	2	2
111	как бы ни	1	2
112	так что в	1	2
113	т п но	1	2
114	к смертной казни	1	2
115	что в нем	1	2
116	если бы между	1	2
117	здесь не место	2	2
118	как и в	3	2
119	может быть и	4	2
120	и со всеми	1	1
121	но все эти	2	1
122	их во всяком	1	1
123	это и было	1	1
124	на протяжении всего	2	1
125	плоть от плоти	1	1
126	для борьбы с	1	1
127	дело не только	1	1
128	в определенном направлении	1	1
129	и в трагедии	1	1
130	нравов и обычаев	1	1
131	в большинстве случаев	2	1
132	в ту же	1	1
133	не похож на	3	1
134	того чтобы не	1	1
135	на том что	1	1
136	по сравнению с	3	1
137	была бы совершенно	1	1
138	xiv в этом	1	1
139	в самом начале	1	1
140	в частности на	1	1
141	как и во	1	1
142	мы говорим о	1	1
143	до наших дней	1	1
144	с этой точки	1	1
145	для себя и	1	1
146	друг от друга	2	1
147	и которые в	1	1
148	и то же	4	1
149	его борьба с	1	1
150	он не имеет	1	1
151	то что можно	1	1
152	ту же ночь	1	1
153	как в самом	1	1
154	смысле этого слова	1	1
155	первое и последнее	1	1
156	все же сохраняется	2	1
157	в основе этой	1	1
158	в ней по	2	1
159	случилось так что	1	1
160	смысле слова он	1	1
161	нечего и говорить	1	1
162	они как раз	1	1
163	быть и речи	2	1
164	надо сказать что	1	1
165	в соответствии с	2	1
166	и во всем	1	1
167	и тот факт	1	1
168	что в таком	2	1
169	как она была	1	1
170	не было и	2	1
171	эту борьбу с	1	1
172	не могло быть	3	1
173	каждой из них	1	1
174	ней по существу	1	1
175	совершенно особое место	1	1
176	один у другого	1	1
177	такие слова как	1	1
178	т п на	1	1
179	всей его жизни	1	1
180	потому что не	1	1
181	в высшей степени	1	1
182	и как он	1	1
183	во всем мире	1	1
184	важную роль в	1	1
185	имел в виду	1	1
186	это вовсе не	1	1
187	и говорить о	1	1
188	на границе между	1	1
189	так как он	2	1
190	это значит что	2	1
191	у нас и	1	1
192	в каком же	2	1
193	и по существу	1	1
194	время или в	1	1
195	на одну минуту	1	1
196	литературе трудно найти	1	1
197	никогда не было	1	1
198	к участию в	1	1
199	и речи о	1	1
200	они сами по	1	1
201	в них как	1	1
202	само собой разумеется	2	1
203	с нашей точки	3	1
204	то что было	2	1
205	на которые распадается	1	1
206	сих пор не	1	1
207	не оставляет никаких	1	1
208	себя прежде всего	1	1
209	прошлому и будущему	1	1
210	и гораздо более	1	1
211	даже там где	1	1
212	в наибольшей степени	1	1
213	и др или	1	1
214	в которой проявляется	1	1
215	друг к другу	2	1
216	там где эта	1	1
217	в это же	1	1
218	но кроме того	1	1
219	каждая из этих	1	1
220	т д описание	1	1
221	в значительной мере	2	1
222	и речи об	2	1
223	и во всяком	1	1
224	кость от кости	1	1
225	еще и в	1	1
226	быть конечно и	2	1
227	в родную стихию	1	1
228	нашей точки зрения	3	1
229	форма в которой	1	1
230	и может быть	1	1
231	так как по	1	1
232	она ни была	2	1
233	такую большую роль	1	1
234	конечно и речи	2	1
235	там где они	1	1
236	не было этого	1	1
237	в какой-то степени	2	1
238	самом деле может	1	1
239	они их не	1	1
240	к вопросу о	2	1
241	собой разумеется что	2	1
242	и в особенности	5	1
243	же отношение к	1	1
244	со всеми его	2	1
245	значение но в	1	1
246	этой точки зрения	1	1
247	в так называемой	1	1
248	но дело в	1	1
249	к выводу что	1	1
250	и так сказать	1	1
251	связи с этим	4	1
252	в этом и	1	1
253	в личной жизни	1	1
254	точка зрения на	1	1
255	так и на	1	1
256	лишь то что	1	1
257	что в образе	1	1
258	но в конце	1	1
259	что и у	1	1
260	под углом зрения	2	1
261	но в отношении	2	1
262	если бы эти	1	1
263	он попадает в	1	1
264	в исторический роман	1	1
265	до сегодняшнего дня	1	1
266	почти ничего не	1	1
267	во всех случаях	1	1
268	и в частности	2	1
269	в самом действии	1	1
270	бы вовсе не	2	1
271	одно и то	4	1
272	на свой лад	1	1
273	и в котором	1	1
274	и во всей	2	1
275	прежде всего к	1	1
276	кроме того в	1	1
277	он не знает	1	1
278	из этих форм	1	1
279	большую роль в	2	1
280	быть еще и	1	1
281	именно в том	1	1
282	известно например что	1	1
283	сих пор еще	1	1
284	же время оно	1	1
285	же как и	2	1
286	у него нет	1	1
287	совершенно независимо от	1	1
288	не могут быть	1	1
289	прежде всего образ	1	1
290	время чумы и	1	1
291	кем и неизвестно	1	1
292	и все же	1	1
293	в этом выражении	1	1
294	жизни и вот	1	1
295	все это было	1	1
296	в том самом	1	1
297	и не только	2	1
298	также и в	3	1
299	в виду что	2	1
300	широко распространены в	1	1
301	ни в чем	3	1
302	тот или иной	1	1
303	потому что они	1	1
