N	4gram	Trubetskoy	Vladivir
1	в то же время	2	9
2	и в то же	1	5
3	и вместе с тем	3	4
4	еще и потому что	1	4
5	а с другой стороны	1	3
6	совершенно так же как	1	2
7	один и тот же	1	2
8	или по крайней мере	1	2
9	свидетельствует о том что	1	2
10	бы то ни было	2	2
11	но вместе с тем	2	2
12	с точки зрения того	1	2
13	но в то же	1	2
14	до сих пор не	1	2
15	с этой точки зрения	2	1
16	в то что он	1	1
17	во время одного из	1	1
18	состоит в том что	1	1
19	том виде в каком	1	1
20	в свою очередь с	1	1
21	по крайней мере до	1	1
22	но тем не менее	1	1
23	вместе с тем и	1	1
24	указывает на то что	1	1
25	а в том что	1	1
26	смысле так и в	1	1
27	в том виде в	2	1
28	ни к чему не	1	1
29	а вместе с тем	1	1
30	по крайней мере в	1	1
31	в том что духовная	1	1
32	в данном случае мы	1	1
33	и те и другие	2	1
34	в таком случае эта	1	1
35	в самом деле если	1	1
36	после смерти этого последнего	1	1
37	не в том что	1	1
