N	2gram	Berdyaev_O	Poddanst
1	не только	11	17
2	и в	19	14
3	и не	13	12
4	в этом	12	10
5	в отношении	1	10
6	в том	5	9
7	но в	2	9
8	хотя бы	3	8
9	в ней	1	6
10	быть может	3	6
11	было бы	3	6
12	но и	13	6
13	и пр	1	5
14	может быть	11	5
15	отношении к	1	5
16	россии в	2	5
17	не в	11	5
18	и о	2	5
19	в русской	3	4
20	и к	2	4
21	что в	4	4
22	в котором	1	4
23	по себе	2	4
24	и потому	2	4
25	не может	4	4
26	а в	5	4
27	то что	5	4
28	как бы	3	4
29	если бы	1	4
30	в своем	2	4
31	том что	2	4
32	в себе	3	3
33	мы не	1	3
34	это не	3	3
35	для того	3	3
36	хотя и	2	3
37	т е	4	3
38	с тем	2	3
39	потому что	9	3
40	прежде всего	9	3
41	в россии	5	3
42	заключается в	1	3
43	но не	1	3
44	могут быть	3	3
45	и как	1	3
46	с ними	1	3
47	в нем	10	3
48	и без	1	3
49	и это	1	2
50	и других	1	2
51	ней не	1	2
52	и вот	3	2
53	еще более	1	2
54	по сравнению	1	2
55	для тех	1	2
56	на этих	1	2
57	в ее	2	2
58	того что	3	2
59	в частности	1	2
60	в его	7	2
61	а не	11	2
62	но о	1	2
63	все это	6	2
64	в которую	1	2
65	заключает в	1	2
66	и есть	3	2
67	духовную жизнь	1	2
68	в русском	1	2
69	православия и	1	2
70	в них	1	2
71	здесь нужно	1	2
72	не было	9	2
73	подошел к	1	2
74	ii в	1	2
75	к чему	1	2
76	и с	2	2
77	может ли	1	2
78	мысль о	2	2
79	духа и	1	2
80	должно быть	2	2
81	в жизни	1	2
82	отношения к	1	2
83	в силу	1	2
84	одна из	1	2
85	в мире	1	2
86	например в	1	2
87	думать что	1	2
88	и русского	1	2
89	со стороны	1	2
90	да и	1	2
91	из них	1	2
92	но к	1	2
93	есть не	1	2
94	бы ни	1	2
95	и везде	1	1
96	что было	1	1
97	и мир	1	1
98	это от	1	1
99	нет ничего	7	1
100	как к	2	1
101	во всяком	1	1
102	ни к	1	1
103	не есть	2	1
104	и то	2	1
105	бы и	1	1
106	к победе	1	1
107	эта не	1	1
108	а с	1	1
109	с его	4	1
110	стремиться к	1	1
111	и более	1	1
112	и здесь	1	1
113	по природе	1	1
114	в иных	1	1
115	и на	2	1
116	в самом	5	1
117	мир в	1	1
118	вопрос о	10	1
119	и очень	2	1
120	она должна	1	1
121	к этой	2	1
122	она не	1	1
123	уже в	2	1
124	должна быть	1	1
125	в творчестве	5	1
126	связана с	1	1
127	того чтобы	4	1
128	есть для	1	1
129	и менее	1	1
130	этом мире	2	1
131	вопросу о	1	1
132	представляет собой	1	1
133	из всех	1	1
134	что это	1	1
135	в отношениях	1	1
136	есть путь	1	1
137	с трудом	1	1
138	есть у	1	1
139	которой в	1	1
140	мысли и	3	1
141	с которой	2	1
142	все основные	1	1
143	откровения и	1	1
144	и осмыслить	1	1
145	только один	1	1
146	можно наметить	1	1
147	в каждом	1	1
148	и через	1	1
149	бытия как	1	1
150	и этим	2	1
151	не с	1	1
152	и достоевский	1	1
153	в других	2	1
154	и что	1	1
155	с богом	2	1
156	что и	2	1
157	не исчезнет	1	1
158	раскрывается в	5	1
159	с того	1	1
160	в мир	1	1
161	нет никакого	1	1
162	в этих	3	1
163	не вполне	1	1
164	что все	2	1
165	в истории	2	1
166	человека с	1	1
167	также и	1	1
168	его в	2	1
169	вопрос об	1	1
170	было и	1	1
171	их не	2	1
172	и государстве	1	1
173	все же	2	1
174	христа и	1	1
175	в борьбе	1	1
176	всего что	1	1
177	ума с	1	1
178	и путь	1	1
179	в которой	2	1
180	идти в	1	1
181	не очень	2	1
182	в этой	5	1
183	которая ни	1	1
184	духа в	1	1
185	само по	1	1
186	что не	4	1
187	в эпоху	1	1
188	тем же	1	1
189	соотношений и	1	1
190	такое ощущение	1	1
191	но есть	1	1
192	что есть	2	1
193	ведет к	1	1
194	свои собственные	1	1
195	русской литературы	1	1
196	любовь и	1	1
197	в сферу	1	1
198	находится в	1	1
199	которой человечество	1	1
200	как и	6	1
201	уверенность что	1	1
202	есть та	1	1
203	и недостаточно	1	1
204	в противоречии	1	1
205	в одно	1	1
206	все еще	2	1
207	вопросом о	2	1
208	на то	1	1
209	и я	1	1
210	в эти	1	1
211	что во	1	1
212	друг с	1	1
213	всяком случае	1	1
214	в явлении	1	1
215	нисколько не	1	1
216	не все	2	1
217	сравнению с	1	1
218	в движении	1	1
219	распадается на	1	1
220	в это	1	1
221	противоречии с	1	1
222	достижений и	1	1
223	с другом	1	1
224	и чем	1	1
225	он был	8	1
226	не имеет	2	1
227	одно из	2	1
228	и ее	3	1
229	особенно в	1	1
230	с разных	2	1
231	в душе	2	1
232	никогда не	9	1
233	еще не	3	1
