N	4gram	Propp_Morf	Narrotol
1	в то же время	1	8
2	состоит в том что	3	6
3	есть на самом деле	1	2
4	одно и то же	1	2
5	с этой точки зрения	1	1
6	хотя они и не	1	1
7	не что иное как	2	1
8	сомневаться в том что	1	1
9	бы то ни было	2	1
10	в то время как	3	1
11	на самом деле в	1	1
12	бросается в глаза что	1	1
13	начинается с того что	2	1
14	один и тот же	1	1
15	в противном случае он	1	1
16	ни одна из них	1	1
17	в том что он	1	1
18	в связи с этим	4	1
19	в том случае если	2	1
20	одна из них не	1	1
21	и тем не менее	2	1
22	есть не что иное	1	1
