N	4gram	Propp_Russ	Formalny
1	одни и те же	1	5
2	на самом же деле	2	3
3	вместе с тем и	2	3
4	в такой же степени	1	2
5	может быть и не	1	2
6	иметь в виду что	1	2
7	а в связи с	1	2
8	но тем не менее	2	1
9	нужно иметь в виду	1	1
10	и в этом случае	2	1
11	на нее как на	1	1
12	не что иное как	3	1
13	не значит что они	1	1
14	в том что они	1	1
15	в том что это	2	1
16	а вместе с тем	1	1
17	которое в свою очередь	1	1
18	мы не можем согласиться	1	1
19	одного и того же	1	1
20	но вместе с тем	3	1
21	можно сделать вывод что	1	1
22	говорит о том что	1	1
23	и состоит в том	1	1
24	поэтому мы не можем	1	1
25	в том чтобы установить	1	1
26	и в том же	1	1
