N	3gram	Vinokur_Vv	slovoVRo
1	и т п	5	72
2	не может быть	10	19
3	то же время	6	18
4	в то же	6	18
5	той или иной	3	15
6	с точки зрения	4	15
7	в отличие от	4	14
8	в той или	1	13
9	или иной степени	1	13
10	с одной стороны	4	11
11	во всех его	1	10
12	и т д	39	10
13	более или менее	1	9
14	в этом случае	6	9
15	в зависимости от	3	8
16	во всяком случае	5	8
17	в значительной степени	1	7
18	и в особенности	4	7
19	но в то	3	7
20	к своему предмету	1	6
21	не может не	1	6
22	но все же	4	6
23	с другой стороны	5	6
24	большей или меньшей	3	6
25	в том что	15	5
26	по отношению к	4	5
27	хотя бы и	2	5
28	как мы уже	2	5
29	не только в	4	5
30	в этом отношении	4	5
31	может быть и	2	5
32	одной стороны и	3	4
33	для того чтобы	22	4
34	до сих пор	7	4
35	в большей или	1	4
36	точки зрения на	1	4
37	а также и	2	4
38	в свою очередь	2	4
39	можно сказать что	3	4
40	в точном смысле	1	4
41	в лучшем случае	1	4
42	или меньшей степени	1	4
43	не могут быть	2	4
44	свое выражение в	1	3
45	в собственном смысле	3	3
46	и то же	2	3
47	того или иного	1	3
48	может быть только	1	3
49	и в чисто	1	3
50	тех или иных	3	3
51	в данном случае	4	3
52	как если бы	1	3
53	в связи с	2	3
54	сама по себе	3	3
55	к тому что	1	3
56	и не в	1	3
57	одно и то	2	3
58	как мы видели	3	3
59	в широком смысле	7	3
60	между языком и	1	3
61	приходится иметь дело	1	2
62	в средние века	1	2
63	то или иное	1	2
64	с этой точки	2	2
65	вовсе не в	2	2
66	тем не менее	9	2
67	имеет дело не	1	2
68	не только о	1	2
69	а между тем	2	2
70	в первом случае	2	2
71	т д можно	1	2
72	но как мы	1	2
73	и не могут	2	2
74	может быть более	1	2
75	в нем не	1	2
76	имеет дело с	2	2
77	нужно сказать что	1	2
78	но в этом	1	2
79	в известном смысле	3	2
80	а не только	1	2
81	и в том	4	2
82	и в этом	4	2
83	эта установка на	1	2
84	дело не с	2	2
85	но и в	1	2
86	зависимости от характера	1	2
87	о том что	13	2
88	языка как такового	1	2
89	этой точки зрения	2	2
90	с известным правом	1	2
91	его отношение к	1	2
92	один из важнейших	1	2
93	известным правом можно	1	2
94	можно было бы	4	2
95	как одна из	1	2
96	с самого начала	1	2
97	друг для друга	1	2
98	же время в	1	2
99	как уже сказано	1	2
100	уже не только	2	2
101	тот факт что	1	2
102	на этой почве	2	1
103	отличие от других	1	1
104	не влечет за	2	1
105	бы и не	1	1
106	все то что	1	1
107	не входят в	1	1
108	о слове но	1	1
109	но независимо от	1	1
110	в их историческом	1	1
111	в применении к	6	1
112	дело не только	1	1
113	со словом чтобы	1	1
114	на задний план	2	1
115	науки о языке	1	1
116	системы языка а	1	1
117	все это и	1	1
118	мы говорим о	1	1
119	влечет за собой	2	1
120	до наших дней	2	1
121	дело не в	1	1
122	во всех отношениях	1	1
123	в том числе	1	1
124	она во всяком	1	1
125	имеют первостепенное значение	1	1
126	в них и	1	1
127	имеют в виду	1	1
128	того что уже	2	1
129	в частности в	1	1
130	так или иначе	4	1
131	идет уже не	1	1
132	и в более	1	1
133	в особенности в	1	1
134	именно потому что	1	1
135	может быть не	1	1
136	не есть еще	1	1
137	как мы видим	1	1
138	о котором идет	1	1
139	само по себе	4	1
140	сказать что в	1	1
141	к языку как	1	1
142	и прежде всего	1	1
143	том что в	1	1
144	а в том	1	1
145	именно для того	1	1
146	то ни было	1	1
147	ни при каких	1	1
148	ничего не может	1	1
149	все это не	1	1
150	бы то ни	1	1
151	то она во	1	1
152	только в одном	1	1
153	в разной степени	1	1
154	словом а с	1	1
155	не только по	1	1
156	дошедшие до нас	1	1
157	в этих случаях	2	1
158	находит свое выражение	1	1
159	так что мы	1	1
160	себе самому и	1	1
161	и могут быть	1	1
162	так как если	1	1
163	прежде всего он	1	1
164	на одной из	1	1
165	том что между	1	1
166	и до наших	1	1
167	все зависит от	1	1
168	о языке и	3	1
169	объект исследования и	1	1
170	по крайней мере	4	1
171	как это было	1	1
172	в том чтобы	5	1
173	не с языком	1	1
174	заключается в том	3	1
175	в чем же	3	1
176	и в дальнейшем	1	1
177	особой точки зрения	1	1
178	в одном отношении	1	1
179	имеем в виду	1	1
180	не до конца	2	1
181	в свое время	3	1
182	в целом ряде	2	1
183	между ними и	2	1
184	действительности в его	1	1
185	как один из	1	1
186	которая лежит в	1	1
187	это не только	2	1
188	связи с этим	1	1
189	таково одно из	1	1
190	при известных условиях	1	1
191	в них не	1	1
192	самого по себе	1	1
193	на то или	1	1
194	дело в том	3	1
195	в них более	1	1
196	из сторон в	1	1
197	что одним из	1	1
198	как раз в	1	1
199	подобно тому как	2	1
200	одной и той	2	1
201	в слове в	1	1
202	так же как	1	1
203	мы имеем в	1	1
204	но во всяком	1	1
205	дело со словом	1	1
206	том что он	1	1
207	всяком случае не	2	1
208	тем или иным	2	1
209	при каких обстоятельствах	1	1
210	между тем именно	2	1
211	в русском языке	1	1
212	и в каждом	1	1
213	язык в его	1	1
214	она может быть	1	1
215	языка но и	1	1
216	прежде всего именно	1	1
217	как он сам	1	1
218	в таких случаях	1	1
219	только с помощью	1	1
220	и в значительной	1	1
221	одна из сторон	1	1
222	здесь таким образом	1	1
223	также и в	3	1
224	не только как	4	1
225	прежде всего в	1	1
226	и той же	2	1
227	только о слове	1	1
228	в нем есть	1	1
229	но с другой	1	1
230	значение в истории	1	1
