N	2gram	Vinokur_Ku	Sotsiolo
1	все это	10	7
2	в том	47	5
3	в этом	31	5
4	не только	29	3
5	как же	1	3
6	не в	18	3
7	и в	44	3
8	и только	2	3
9	но ведь	3	3
10	более чем	1	3
11	в его	16	3
12	для нас	6	3
13	что в	25	2
14	ведь это	1	2
15	то что	14	2
16	таким образом	17	2
17	том что	30	2
18	или даже	2	2
19	дело не	4	2
20	как бы	11	2
21	в результате	8	2
22	было бы	28	2
23	как будто	2	2
24	историка литературы	1	2
25	в смысле	2	2
26	это зависит	1	2
27	очевидно что	4	2
28	в частности	6	2
29	и мы	2	2
30	по природе	1	2
31	нужно было	3	2
32	но и	13	2
33	конце концов	3	2
34	может быть	25	2
35	идей и	1	2
36	по существу	9	2
37	она может	1	2
38	главным образом	3	2
39	и что	11	2
40	это и	6	2
41	исторической жизни	2	2
42	по отношению	9	2
43	в конце	5	2
44	как только	2	2
45	отношению к	9	2
46	должна быть	6	2
47	далеко не	2	2
48	тем более	2	2
49	только в	15	2
50	к которому	3	2
51	только как	3	2
52	то же	12	2
53	одно дело	1	2
54	еще не	10	2
55	как то	2	1
56	и стиля	1	1
57	а в	7	1
58	что он	7	1
59	какие же	2	1
60	образом в	3	1
61	в конечном	3	1
62	столь же	2	1
63	такие новые	1	1
64	теперь он	1	1
65	литературы как	1	1
66	даже в	4	1
67	науки о	3	1
68	быть не	2	1
69	в таких	7	1
70	в целом	5	1
71	будто в	1	1
72	в силу	16	1
73	вряд ли	5	1
74	на этот	4	1
75	это значит	1	1
76	что эти	4	1
77	более не	1	1
78	все эти	17	1
79	не было	6	1
80	представить себе	1	1
81	сказать и	1	1
82	когда мы	3	1
83	развития и	1	1
84	а вот	1	1
85	связи с	8	1
86	существу это	1	1
87	только то	2	1
88	не мешает	1	1
89	в своей	4	1
90	во всяком	8	1
91	и ценное	1	1
92	и потому	6	1
93	дает нам	1	1
94	все же	17	1
95	что это	11	1
96	или не	1	1
97	и самым	1	1
98	еще и	7	1
99	от друга	1	1
100	по крайней	11	1
101	доказательством этого	1	1
102	с другой	14	1
103	ни на	1	1
104	мы должны	2	1
105	и стало	1	1
106	в соответствующих	1	1
107	это как	2	1
108	это же	1	1
109	далеко еще	1	1
110	с ним	5	1
111	так называемым	2	1
112	к вопросам	1	1
113	противном случае	2	1
114	между тем	11	1
115	и более	3	1
116	но как	2	1
117	формальных признаков	1	1
118	в этой	8	1
119	время в	2	1
120	и разрешить	1	1
121	и его	8	1
122	они ни	1	1
123	это по	2	1
124	ли не	4	1
125	никак не	5	1
126	в данном	8	1
127	на все	3	1
128	только для	3	1
129	в области	15	1
130	и по	4	1
131	есть процесс	1	1
132	история литературы	2	1
133	с помощью	12	1
134	один из	8	1
135	так и	10	1
136	писатель как	1	1
137	в противном	2	1
138	только тогда	4	1
139	в то	4	1
140	полагает что	1	1
141	пишет он	4	1
142	темы и	1	1
143	слишком много	1	1
144	понимать что	1	1
145	наука о	3	1
146	слова но	3	1
147	в котором	4	1
148	те же	1	1
149	не значат	2	1
150	именно на	1	1
151	не выходит	1	1
152	должно было	1	1
153	же это	2	1
154	отнюдь не	5	1
155	и не	23	1
156	выходит за	2	1
157	объекта и	1	1
158	всяком случае	8	1
159	иначе говоря	2	1
160	оставаясь на	1	1
161	хотелось бы	2	1
162	том как	3	1
163	настоящее время	2	1
164	или нет	1	1
165	его системе	1	1
166	и о	3	1
167	это вовсе	1	1
168	и история	1	1
169	и должны	1	1
170	но не	11	1
171	может служить	4	1
172	они не	4	1
173	осложняется еще	1	1
174	лучшем случае	1	1
175	в него	1	1
176	этой области	3	1
177	для этого	6	1
178	себе чтобы	1	1
179	прежде всего	14	1
180	тем что	9	1
181	что она	5	1
182	тем же	2	1
183	в систему	1	1
184	в каждом	3	1
185	в строгом	1	1
186	связь между	1	1
187	друг от	1	1
188	нам право	1	1
189	в чем	2	1
190	не из	1	1
191	что автор	1	1
192	ним все	1	1
193	а с	3	1
194	новые и	1	1
195	же не	1	1
196	но только	5	1
197	не дает	1	1
198	значении слова	1	1
199	тех кто	2	1
200	в лучшем	1	1
201	в сущности	11	1
202	в область	2	1
203	конечном счете	2	1
204	он говорит	1	1
205	факта что	1	1
206	его в	1	1
207	совокупность приемов	2	1
208	стр но	1	1
209	пришлось бы	2	1
210	в наше	3	1
211	зависит от	1	1
212	крайней мере	11	1
213	тотчас же	1	1
214	в процессе	1	1
215	между собою	3	1
216	ни были	3	1
217	я и	1	1
218	вовсе не	18	1
219	даже не	1	1
220	основной вопрос	1	1
221	против этого	1	1
222	этот основной	1	1
223	с одной	3	1
224	наука а	1	1
225	конечно не	3	1
226	о том	10	1
227	как науки	1	1
228	мы не	1	1
229	тому что	3	1
230	но именно	1	1
231	мысли в	1	1
232	том и	3	1
233	наше время	3	1
234	в этих	5	1
235	у него	3	1
236	поэтики и	1	1
237	по себе	10	1
238	на первый	1	1
239	перед нами	4	1
240	бы он	1	1
241	в любой	1	1
242	это дает	2	1
243	историю литературы	1	1
244	и никак	1	1
245	литературе и	2	1
246	все то	1	1
247	хотя бы	19	1
248	же время	4	1
249	что на	2	1
250	это не	13	1
251	чуть ли	3	1
252	в серьезных	1	1
253	одной стороны	2	1
254	в связи	4	1
255	бы в	8	1
256	и должно	2	1
257	конечно только	1	1
258	в виде	1	1
259	в настоящее	2	1
260	именно в	7	1
261	вопросом о	1	1
262	никогда не	2	1
263	и есть	3	1
264	не может	13	1
265	стр мы	1	1
266	между ними	2	1
267	и как	3	1
268	что все	6	1
269	место в	1	1
270	не без	1	1
271	как и	3	1
272	ничего не	6	1
273	в них	10	1
274	монументальный труд	1	1
