N	4gram	Tiupa_Hudo	VLabPisa
1	в то же время	7	5
2	и в то же	2	3
3	следует иметь в виду	1	2
4	в том числе и	2	2
5	одном и том же	1	2
6	с одной стороны и	1	2
7	в том отношении что	1	2
8	приводит к тому что	2	2
9	по слову вяч иванова	1	1
10	как один из видов	1	1
11	с этой точки зрения	2	1
12	иметь в виду что	1	1
13	может быть определена как	1	1
14	имеем в виду не	3	1
15	не следует смешивать с	3	1
16	в том случае если	1	1
17	и по отношению к	1	1
18	духовной жизни личности и	1	1
19	одно и то же	3	1
20	в одном и том	1	1
21	той или иной мере	1	1
22	как это происходит в	1	1
23	в виду что в	1	1
24	в той или иной	2	1
25	но в то же	1	1
26	не может быть и	1	1
27	мы имеем дело с	1	1
28	том или ином отношении	1	1
29	есть в конечном счете	1	1
30	в том или ином	1	1
