N	2gram	Tiupa_Narr	Vvedenie
1	и т	3	45
2	т д	1	39
3	в том	20	38
4	в этом	23	35
5	и в	22	35
6	может быть	24	30
7	том что	15	30
8	не только	50	26
9	для того	4	23
10	того чтобы	7	22
11	таким образом	5	21
12	также и	4	20
13	не может	16	19
14	то что	14	19
15	потому что	7	18
16	но также	1	16
17	только в	23	16
18	со стороны	14	16
19	о том	5	16
20	так как	1	15
21	языка и	1	15
22	представляет собой	21	14
23	в общем	1	14
24	что в	6	13
25	в самом	8	13
26	и не	34	13
27	в нем	9	13
28	в его	12	12
29	того что	7	12
30	xix в	2	12
31	в их	1	12
32	точки зрения	8	12
33	как на	2	12
34	то же	12	11
35	в ее	4	11
36	по себе	4	11
37	в данном	17	11
38	этом смысле	1	11
39	ясно что	2	11
40	как мы	3	11
41	прежде всего	7	10
42	не в	12	10
43	вопрос о	1	10
44	между тем	5	10
45	в той	4	10
46	но в	10	10
47	дело с	4	9
48	представляют собой	5	9
49	тем не	7	9
50	все же	10	9
51	из этих	6	9
52	но не	7	9
53	и как	4	9
54	не менее	6	9
55	это не	6	8
56	в качестве	27	8
57	как нечто	1	8
58	именно в	5	8
59	о котором	4	8
60	а только	1	8
61	можно было	2	8
62	с другой	6	8
63	представить себе	3	7
64	и то	3	7
65	до сих	3	7
66	в большей	1	7
67	как и	15	7
68	самом деле	4	7
69	но и	39	7
70	сих пор	3	7
71	было бы	2	7
72	этот вопрос	1	7
73	как бы	11	7
74	течением времени	1	7
75	той мере	1	6
76	один из	8	6
77	об этом	8	6
78	все это	1	6
79	не могут	1	6
80	его в	1	6
81	xviii в	1	6
82	на этот	2	6
83	тем что	1	6
84	с тем	1	6
85	в какой	2	6
86	а именно	2	6
87	вместе с	3	6
88	в которых	1	6
89	же время	7	6
90	так например	1	6
91	вовсе не	2	6
92	уже не	11	6
93	мере в	1	6
94	и даже	4	6
95	хотя бы	4	6
96	и что	1	6
97	как он	3	6
98	сказать что	5	6
99	что история	1	6
100	могут быть	1	6
101	и его	12	6
102	в то	9	6
103	а в	19	6
104	иное как	1	6
105	а потому	2	5
106	уже в	1	5
107	внимание на	7	5
108	с этой	3	5
109	хотя и	8	5
110	язык как	2	5
111	что и	3	5
112	в виду	2	5
113	другой стороны	2	5
114	но с	1	5
115	в первом	4	5
116	одним из	2	5
117	дело в	2	5
118	что не	2	5
119	имеет дело	1	5
120	что он	7	5
121	что иное	1	5
122	одно из	2	5
123	по своему	3	5
124	данном случае	12	5
125	во всяком	2	5
126	в течение	1	5
127	так что	1	5
128	и тем	9	5
129	а не	27	5
130	дело не	3	5
131	в различных	1	5
132	на основании	1	5
133	и т.д	7	5
134	т п	2	5
135	быть в	2	5
136	а как	2	5
137	она есть	1	5
138	не просто	2	5
139	в целом	5	5
140	как это	7	5
141	всяком случае	2	5
142	в особенности	2	4
143	ответ на	6	4
144	в более	1	4
145	в центре	4	4
146	только что	4	4
147	здесь нет	1	4
148	с одной	5	4
149	любовь к	1	4
150	с точки	2	4
151	этом отношении	5	4
152	о чем	6	4
153	из наиболее	6	4
154	как раз	9	4
155	в результате	4	4
156	по мере	2	4
157	в виде	2	4
158	в себе	14	4
159	видит в	3	4
160	должен был	1	4
161	так или	1	4
162	шла речь	1	4
163	но все	1	4
164	из двух	1	4
165	или иначе	2	4
166	в одном	5	4
167	в котором	3	4
168	и ее	3	4
169	но ведь	1	4
170	как она	2	4
171	в своей	8	4
172	да и	5	4
173	сравнению с	1	4
174	в чем	3	4
175	должен быть	1	4
176	к тому	13	4
177	по крайней	1	4
178	еще не	6	4
179	однако не	2	4
180	не имеет	3	4
181	времени и	9	4
182	еще и	1	4
183	как о	2	4
184	одной стороны	5	4
185	по сравнению	1	4
186	это только	1	4
187	по отношению	5	4
188	взгляда на	1	4
189	мы имеем	6	4
190	не вполне	3	4
191	отличие от	6	4
192	истории и	1	4
193	в отличие	6	4
194	в тексте	17	4
195	крайней мере	1	4
196	можно сказать	11	4
197	той же	2	4
198	отношению к	5	4
199	одной из	2	4
200	связи между	1	4
201	в области	4	4
202	только с	2	4
203	и для	4	4
204	само по	1	4
205	из них	4	4
206	этого термина	1	3
207	своего рода	17	3
208	и к	7	3
209	в свое	1	3
210	с этим	1	3
211	невозможно но	1	3
212	что с	2	3
213	и здесь	3	3
214	и на	5	3
215	например что	1	3
216	того как	1	3
217	зависит от	3	3
218	и вот	2	3
219	на том	2	3
220	такого рода	17	3
221	при этом	31	3
222	что это	4	3
223	в сущности	2	3
224	говорит о	3	3
225	из которых	1	3
226	не как	1	3
227	в принципе	6	3
228	но что	1	3
229	в отношении	1	3
230	в этих	3	3
231	связи с	3	3
232	текста и	3	3
233	материал для	1	3
234	если бы	9	3
235	и сам	4	3
236	человеческой культуры	1	3
237	строгом смысле	1	3
238	а также	11	3
239	в силу	5	3
240	том виде	1	3
241	за собой	1	3
242	в конце	4	3
243	по содержанию	1	3
244	одновременно и	1	3
245	как в	9	3
246	большей или	2	3
247	другое дело	1	3
248	исторического знания	1	3
249	нисколько не	1	3
250	между ними	3	3
251	зависимости от	3	3
252	в известном	4	3
253	в каком	1	3
254	той или	7	3
255	и того	5	3
256	в конечном	6	3
257	от себя	1	3
258	все эти	3	3
259	и есть	1	3
260	что даже	1	3
261	на этом	1	3
262	до нас	1	3
263	стороны и	1	3
264	своей природе	1	3
265	в значительной	1	3
266	входит в	2	3
267	же как	2	3
268	в другом	5	3
269	в строгом	3	3
270	второй половины	1	3
271	в ней	5	3
272	времени в	3	3
273	и тогда	2	3
274	и уже	4	3
275	во второй	2	3
276	в слове	4	3
277	в частности	23	3
278	только на	4	3
279	не с	1	3
280	может служить	5	3
281	в этой	8	3
282	же самое	3	3
283	в начале	4	3
284	не следует	3	3
285	того же	2	3
286	так же	2	3
287	и наоборот	1	3
288	от другой	1	3
289	или меньшей	1	3
290	отношение к	2	3
291	известном смысле	4	3
292	конечном итоге	1	3
293	однако в	4	3
294	наряду с	2	3
295	на нее	2	3
296	только по	1	3
297	что может	2	3
298	до конца	2	3
