N	2gram	Tiupa_Hudo	Hudozhes
1	и в	23	57
2	том что	9	46
3	не только	20	43
4	в рассказе	3	42
5	в том	20	35
6	своего рода	9	33
7	о том	2	32
8	в этом	12	31
9	и не	16	31
10	а не	13	31
11	но и	14	30
12	при этом	19	29
13	так и	12	28
14	то что	5	26
15	в себе	13	26
16	как и	3	25
17	в его	11	24
18	уже не	6	23
19	в ее	6	23
20	не в	9	23
21	с собачкой	1	21
22	между тем	4	20
23	то же	12	19
24	в своей	7	19
25	что он	5	19
26	может быть	19	19
27	в то	8	19
28	не случайно	3	19
29	к тому	4	17
30	по отношению	10	17
31	в этой	2	17
32	перед нами	1	17
33	отношению к	10	17
34	себя в	8	16
35	в качестве	31	16
36	что в	7	16
37	же время	7	16
38	тогда как	15	16
39	как бы	11	16
40	с его	6	16
41	это не	4	16
42	прежде всего	5	16
43	а в	13	16
44	казалось бы	1	15
45	для него	5	15
46	в частности	18	15
47	жизни и	1	15
48	человеческой жизни	3	14
49	в жизни	3	14
50	никогда не	2	14
51	у него	2	14
52	что она	2	14
53	как в	2	14
54	жизни в	2	14
55	об этом	2	14
56	не менее	5	13
57	внешней данности	5	13
58	человеческих отношений	2	13
59	с ним	2	13
60	но в	10	13
61	личности в	4	13
62	у нее	1	13
63	и его	12	13
64	в финале	2	12
65	не было	1	12
66	анекдота и	1	12
67	уединенного сознания	4	12
68	только в	7	12
69	состоит в	20	12
70	в тексте	13	12
71	не может	9	12
72	но не	13	12
73	в самом	7	11
74	именно в	2	11
75	в своем	4	11
76	я и	7	11
77	и от	1	11
78	если бы	3	11
79	еще не	4	11
80	человеческого я	3	11
81	в нем	6	11
82	как будто	1	11
83	можно сказать	6	10
84	что и	2	10
85	я не	2	10
86	в мире	24	10
87	героя и	5	10
88	всего лишь	6	10
89	как это	7	10
90	было бы	1	10
91	внутренней заданности	4	10
92	он не	4	10
93	один из	2	10
94	и на	3	10
95	для себя	4	10
96	самом деле	2	10
97	все же	1	10
98	и о	4	10
99	в душе	9	9
100	тому что	2	9
101	о чем	3	9
102	тем что	1	9
103	внимание на	1	9
104	как раз	3	9
105	в конечном	5	9
106	личной тайной	1	9
107	столь же	2	9
108	с ее	6	9
109	то в	2	9
110	художественного мышления	3	9
111	да и	1	9
112	художественного целого	3	9
113	на то	1	9
114	быть может	1	8
115	в этих	4	8
116	и даже	1	8
117	в первом	1	8
118	конечном счете	5	8
119	например в	4	8
120	в художественном	5	8
121	и это	2	8
122	жизни как	4	8
123	как правило	3	8
124	тем не	3	8
125	в конце	1	8
126	со стороны	5	8
127	своей жизни	2	8
128	то и	1	8
129	того чтобы	5	8
130	только на	1	8
131	и то	4	8
132	читателя в	3	8
133	потому что	3	8
134	даже в	3	7
135	и сам	3	7
136	превращается в	2	7
137	точки зрения	11	7
138	несмотря на	2	7
139	рядом с	1	7
140	его жизни	1	7
141	о себе	2	7
142	и что	4	7
143	не могла	1	7
144	дамы с	1	7
145	из них	1	7
146	сводится к	11	7
147	в аспекте	2	7
148	такого рода	12	7
149	и читателя	1	7
150	к жизни	2	7
151	как мы	1	7
152	и к	3	6
153	и другие	2	6
154	о своем	1	6
155	одновременно и	1	6
156	в котором	1	6
157	в действительности	1	6
158	говорить о	4	6
159	во внешней	1	6
160	едва ли	1	6
161	внутренней жизни	1	6
162	что они	1	6
163	по преимуществу	3	6
164	в русской	3	6
165	жизни так	1	6
166	уже говорилось	2	6
167	человек в	1	6
168	а с	2	6
169	на этом	2	6
170	человеческого бытия	2	6
171	личности и	3	6
172	из нас	1	6
173	по своей	7	6
174	однако в	4	6
175	отнюдь не	2	6
176	однако и	1	6
177	он уже	1	6
178	с ними	2	6
179	приводит к	6	6
180	к другому	2	6
181	вслед за	2	6
182	своего я	1	6
183	одной из	2	6
184	и для	3	6
185	все это	2	6
186	раз в	1	6
187	одно из	2	6
188	тем самым	5	6
189	лишь в	7	6
190	в ходе	5	6
191	бытия и	1	6
192	же в	1	6
193	говорит о	1	5
194	не столько	7	5
195	противоречие с	1	5
196	в них	2	5
197	в своих	1	5
198	в это	1	5
199	с этим	1	5
200	при всей	2	5
201	в данном	4	5
202	в другом	4	5
203	так же	2	5
204	свою очередь	2	5
205	одна из	2	5
206	героя не	1	5
207	внутреннего я	6	5
208	с другими	5	5
209	его в	4	5
210	связи с	3	5
211	всякий раз	2	5
212	же как	1	5
213	в себя	4	5
214	в уста	1	5
215	с матерью	1	5
216	личность в	1	5
217	картины мира	3	5
218	друг друга	1	5
219	и тем	4	5
220	не будет	3	5
221	как уже	3	5
222	жизненная позиция	1	5
223	если в	1	5
224	что это	1	5
225	ни в	5	5
226	внутренняя заданность	1	5
227	еще и	2	5
228	в основе	7	5
229	и состоит	3	5
230	в свою	3	5
231	впрочем и	1	5
232	соответствии с	1	5
233	того что	5	5
234	для нас	1	5
235	картина мира	5	5
236	несет в	3	5
237	для других	1	5
238	а также	6	5
239	все эти	2	5
240	на фоне	1	5
241	это было	1	5
242	в анекдоте	2	5
243	с точки	3	5
244	но он	3	5
245	в целом	3	5
246	место в	5	5
247	и составляет	3	4
248	и теперь	1	4
249	все что	1	4
250	в центре	1	4
251	автором и	1	4
252	не как	2	4
253	в результате	1	4
254	жизнь в	1	4
255	мысль о	1	4
256	его личности	1	4
257	в соответствии	1	4
258	роль в	2	4
259	только для	1	4
260	одной стороны	3	4
261	для того	5	4
262	сознания в	4	4
263	в одном	3	4
264	значительной степени	2	4
265	себе в	1	4
266	с другой	9	4
267	у себя	1	4
268	сказать что	4	4
269	в нашем	2	4
270	что все	1	4
271	не все	2	4
272	по поводу	1	4
273	от себя	3	4
274	и внешней	3	4
275	художественности в	6	4
276	характерно что	1	4
277	к нему	3	4
278	должно быть	1	4
279	моя жизнь	1	4
280	с одной	3	4
281	еще одна	1	4
282	тому же	1	4
283	не знает	4	4
284	что не	1	4
285	в таком	3	4
286	или иная	1	4
287	в связи	3	4
288	на земле	1	4
289	между собой	2	4
290	себе и	1	4
291	а только	4	4
292	но как	2	4
293	за пределы	2	4
294	в смерти	1	4
295	личного бытия	1	4
296	или иначе	5	4
297	и по	2	4
298	или иного	4	4
299	и ее	3	4
300	во втором	4	4
301	на ее	1	4
302	героя в	1	4
303	была бы	3	4
304	только не	1	4
305	в миропорядке	8	4
306	подобно тому	3	4
307	эстетической доминанты	1	4
308	так или	4	4
309	от своего	2	4
310	если говорить	1	4
311	в пределах	3	4
312	в творческом	2	4
313	своей внешней	1	4
314	себя и	3	4
315	бы не	2	4
316	не была	1	4
317	всей своей	2	4
318	автора и	3	4
319	не должно	1	4
320	жизни на	2	4
321	же самое	1	4
322	той же	1	4
323	до конца	1	4
324	здесь не	2	4
325	как к	5	4
326	личностью и	1	4
327	так как	1	4
328	как у	1	4
329	авторской позиции	3	4
330	он и	2	4
331	бы и	1	4
332	в заключительной	1	4
333	в их	5	4
334	или в	2	4
335	концепцию личности	1	4
336	по его	1	4
337	вовсе не	2	4
338	того или	4	4
339	тому как	3	4
