1	ни в чем не	2	3
2	и в этом смысле	4	2
3	и пр и пр	1	2
4	мы можем сказать что	3	1
5	в связи с этим	4	1
6	только для того чтобы	1	1
7	уже не может быть	1	1
8	не что иное как	18	1
9	одна и та же	8	1
10	конечно с точки зрения	1	1
11	но мы уже знаем	1	1
12	так же как и	2	1
13	то же самое и	1	1
14	несводимы одна на другую	1	1
15	ни в коем случае	6	1
16	мы имеем в виду	1	1
17	ничего не говорит и	1	1
18	одних и тех же	3	1
19	а на самом деле	1	1
20	не говорит и о	1	1
21	говорить о том что	1	1
22	мы уже знаем что	2	1
23	дело в том что	2	1
24	нечего и говорить о	1	1
25	с этой точки зрения	4	1
26	и говорить о том	1	1
27	по сравнению с ней	1	1
28	не чем иным как	1	1
29	бы то ни было	1	1
30	вместе с ним и	1	1
