N	3gram	Tiupa_Anal	StatiiOP
1	в том что	12	47
2	о том что	7	29
3	в этом отношении	3	24
4	для того чтобы	1	19
5	до сих пор	1	19
6	с точки зрения	2	14
7	с другой стороны	7	13
8	во всяком случае	6	13
9	не может быть	2	11
10	в самом деле	1	9
11	то же время	7	9
12	в то же	7	9
13	дело в том	3	9
14	можно было бы	1	9
15	тем не менее	3	8
16	на самом деле	1	8
17	не только в	5	8
18	не в том	1	7
19	в конце концов	1	7
20	в данном случае	11	7
21	заключается в том	1	7
22	в то время	1	7
23	том что он	2	7
24	по отношению к	9	6
25	в этом смысле	1	6
26	так и в	1	6
27	не только не	3	6
28	речь идет о	2	6
29	по крайней мере	5	6
30	в одном из	1	6
31	вопрос о том	1	6
32	что он не	2	5
33	но и в	2	5
34	в том чтобы	2	5
35	как раз в	1	5
36	в одной из	2	5
37	в свое время	4	5
38	что же касается	1	5
39	тот факт что	1	5
40	обратить внимание на	1	5
41	после того как	1	5
42	в статье о	1	4
43	в применении к	1	4
44	дело не в	1	4
45	обращает на себя	1	4
46	так или иначе	5	4
47	с одной стороны	3	4
48	тем или иным	2	4
49	в связи с	1	4
50	того или иного	5	4
51	тем более что	1	4
52	в царском селе	1	4
53	во времена пушкина	1	4
54	и в том	1	4
55	что и в	1	4
56	на себя внимание	1	3
57	может быть это	1	3
58	можно сказать что	2	3
59	говоря уже о	1	3
60	можно судить по	1	3
61	таким образом в	1	3
62	а с другой	1	3
63	к тому же	7	3
64	что у него	1	3
65	в повестях по	1	3
66	как и вообще	1	3
67	в известном смысле	2	3
68	состоит в том	2	3
69	не говоря уже	1	3
70	главы евгения онегина	1	3
71	в значительной степени	3	3
72	в этом случае	1	3
73	в русской литературе	5	3
74	всяком случае не	1	3
75	воспоминания в царском	1	3
76	для него самого	1	2
77	что во времена	1	2
78	в сочетании с	4	2
79	и в данном	1	2
80	в русской поэзии	2	2
81	в той или	2	2
82	в том-то и	1	2
83	у пушкина не	1	2
84	хотя бы и	1	2
85	что мы знаем	1	2
86	что в новом	1	2
87	каждом отдельном случае	2	2
88	во втором случае	1	2
89	этого ничего не	1	2
90	одних и тех	2	2
91	в прижизненных изданиях	1	2
92	а между тем	1	2
93	а а а	1	2
94	в первой строфе	4	2
95	в зависимости от	1	2
96	между тем как	1	2
97	точно так же	1	2
98	в каждом отдельном	2	2
99	в отличие от	5	2
100	пушкина в этом	1	2
101	что в этом	1	2
102	с тех пор	1	2
103	по этому пути	1	2
104	не только по	1	2
105	сам по себе	2	2
106	в свою очередь	7	2
107	но он не	1	2
108	той или иной	6	2
109	является не только	1	2
110	не столько в	1	2
111	к тому времени	1	2
112	что в общем	1	2
113	в целом ряде	1	2
114	в отдельных случаях	1	2
115	и тех же	2	2
116	до тех пор	1	2
117	на этот вопрос	1	2
118	с которыми он	1	2
119	по тем или	1	2
120	как бы ни	1	2
121	у меня в	1	2
122	и то что	2	2
123	имеем дело с	1	2
124	но с другой	1	2
125	как и в	6	2
126	а а и	1	1
127	должны были бы	1	1
128	ни у кого	1	1
129	по своей архитектонике	1	1
130	в целом я	1	1
131	я не имею	1	1
132	в этой системе	2	1
133	принадлежат к числу	1	1
134	в безударном положении	1	1
135	в особенности это	1	1
136	судя по его	2	1
137	отвечает на этот	1	1
138	и те же	1	1
139	не дай мне	1	1
140	очень близко к	1	1
141	к одному из	1	1
142	в большинстве случаев	1	1
143	нам еще предстоит	1	1
144	в ответ на	2	1
145	в самом начале	1	1
146	то что с	1	1
147	чтобы именно в	1	1
148	мне бог сойти	1	1
149	идет о том	1	1
150	одни и те	1	1
151	одной из своих	2	1
152	или иной мере	1	1
153	устах самого пушкина	1	1
154	не столько как	1	1
155	как это принято	1	1
156	не отступал в	1	1
157	что каждая из	1	1
158	или иного из	1	1
159	сойти с ума	1	1
160	а в том	2	1
161	бог сойти с	1	1
162	в устах самого	1	1
163	все это по	1	1
164	в пушкинскую эпоху	1	1
165	друг от друга	1	1
166	не только имеет	1	1
167	совершенно очевидно что	2	1
168	во многих отношениях	2	1
169	внимание лишь на	1	1
170	так что она	1	1
171	при этом и	1	1
172	русской литературе не	1	1
173	иного из этих	1	1
174	и не могла	1	1
175	следует подчеркнуть что	1	1
176	с этой стороны	1	1
177	в такой же	1	1
178	смысле этого слова	1	1
179	в новом роде	1	1
180	другой стороны и	1	1
181	само по себе	1	1
182	не так уж	1	1
183	тогда как у	1	1
184	в соответствии с	2	1
185	и во всем	1	1
186	в каждом из	1	1
187	по ту сторону	1	1
188	что в них	1	1
189	каждом из этих	1	1
190	остаться самим собой	1	1
191	произведения но и	1	1
192	или иначе в	1	1
193	текста как и	2	1
194	гораздо ближе к	1	1
195	только то что	1	1
196	имея в виду	1	1
197	ведь это не	1	1
198	за себя а	1	1
199	словами самого пушкина	2	1
200	мы имеем дело	4	1
201	разумеется вовсе не	1	1
202	между тем в	2	1
203	однако с другой	1	1
204	вольному воля а	1	1
205	достаточно обратить внимание	1	1
206	мысль о том	1	1
207	а а в	1	1
208	есть люди которые	1	1
209	известном смысле и	1	1
210	все что мы	1	1
211	примеров такого рода	1	1
212	и далее в	1	1
213	которая в его	1	1
214	и может быть	1	1
215	она ни была	1	1
216	в этом же	1	1
217	сказать что они	1	1
218	свое отражение в	1	1
219	и в особенности	1	1
220	в отношении которого	1	1
221	смешно как мелодрама	2	1
222	именно вследствие этого	1	1
223	ту или иную	1	1
224	себя а за	1	1
225	но дело в	1	1
226	к выводу что	1	1
227	и той же	2	1
228	и так сказать	1	1
229	почти одновременно с	1	1
230	но как бы	1	1
231	так и на	1	1
232	в тексте барышни-крестьянки	1	1
233	дай мне бог	1	1
234	относится не только	1	1
235	в сущности говоря	1	1
236	под углом зрения	1	1
237	не только к	2	1
238	так что все	1	1
239	одно из самых	1	1
240	но уже в	1	1
241	характеризуется тем что	1	1
242	к счастью для	1	1
243	именно в этом	1	1
244	прежде всего к	1	1
245	одной и той	2	1
246	однако и в	1	1
247	это уже не	1	1
248	да еще и	1	1
249	не за себя	1	1
250	другое дело когда	1	1
251	в этом его	1	1
252	и тогда со	1	1
253	к их числу	1	1
254	человек приговоренный к	1	1
255	же как и	1	1
256	не могут быть	1	1
257	в связь с	1	1
258	жизни и смерти	1	1
259	и все же	1	1
260	характерным в этом	1	1
261	первое упоминание о	1	1
262	и судя по	1	1
263	что несмотря на	2	1
264	в таких случаях	1	1
265	а в тех	1	1
266	все это было	1	1
267	тот или иной	3	1
268	на первом месте	1	1
269	не следует однако	1	1
