N	3gram	Tiupa_Vved	Sovremen
1	мы не можем	1	6
2	в зависимости от	1	4
3	не может быть	6	4
4	с самого начала	1	3
5	в свою очередь	5	2
6	то же самое	2	2
7	во всяком случае	3	2
8	тем не менее	3	2
9	времени и пространства	1	2
10	в отличие от	11	2
11	в настоящее время	1	2
12	не было бы	1	1
13	в том что	10	1
14	один и тот	1	1
15	если бы эти	1	1
16	на самом деле	4	1
17	а на другом	1	1
18	одной стороны и	3	1
19	нейтральной точки зрения	1	1
20	сами по себе	1	1
21	и тот же	1	1
22	не что иное	1	1
23	одна и та	1	1
24	и та же	1	1
25	которая не может	2	1
26	в связи с	1	1
27	и еще более	1	1
28	и все же	6	1
29	в обоих случаях	1	1
30	в самом деле	2	1
31	дело в том	1	1
32	той или иной	4	1
33	один из четырех	1	1
34	что иное как	1	1
35	в данном случае	15	1
36	в этом направлении	2	1
37	одна из них	1	1
38	и прежде всего	1	1
39	и той же	1	1
40	в конечном счете	2	1
41	с одной стороны	9	1
42	одной и той	1	1
43	это означало бы	1	1
44	в известном смысле	1	1
45	что же остается	1	1
46	так же как	1	1
47	по аналогии с	2	1
48	то же время	4	1
49	не в том	3	1
50	а не только	1	1
51	у нас есть	1	1
52	при которой он	1	1
53	по отношению к	11	1
54	в том как	2	1
55	в то же	5	1
56	заключает в себе	4	1
57	на этот раз	2	1
58	но отнюдь не	1	1
59	и в этом	1	1
60	по крайней мере	1	1
61	в этом случае	1	1
62	можно было бы	2	1
63	случае не подлежит	1	1
64	друг на друга	2	1
65	в этом смысле	1	1
66	и в то	1	1
67	и не может	1	1
68	из которых в	1	1
69	может быть только	1	1
