N	4gram	Losev_Dial	DiskursI
1	в то же время	7	8
2	с одной стороны и	3	5
3	дело в том что	1	5
4	не говоря уже о	1	3
5	одно и то же	8	3
6	и то же время	1	2
7	а в том что	1	2
8	одной и той же	1	2
9	и в то же	3	2
10	одних и тех же	1	2
11	с той или иной	1	2
12	в одно и то	1	2
13	не есть она сама	1	1
14	именно в том что	1	1
15	не что иное как	4	1
16	сам по себе не	1	1
17	в том и в	1	1
18	и в том и	1	1
19	совмещает в себе черты	1	1
20	том и в другом	1	1
21	сами по себе не	1	1
22	было бы утверждать что	1	1
23	иметь в виду что	2	1
24	ни в чем не	1	1
25	с другой стороны в	1	1
26	тем не менее в	1	1
27	может быть выведена из	1	1
28	по крайней мере в	3	1
29	между внутренним и внешним	1	1
30	или по крайней мере	2	1
31	и в другом случае	1	1
32	к одному и тому	1	1
33	по мере того как	1	1
34	что не есть она	1	1
35	в том что он	1	1
36	на первый взгляд может	1	1
37	одному и тому же	1	1
38	не в том что	1	1
39	есть не что иное	3	1
