N	2gram	Bakhtin_sl	Russkaja
1	не может	27	22
2	и не	32	19
3	в этом	21	17
4	в том	7	17
5	с другом	2	14
6	и в	69	14
7	друг с	2	14
8	то что	2	13
9	таким образом	16	11
10	то же	17	11
11	точки зрения	24	11
12	но и	37	10
13	же время	15	10
14	в то	17	10
15	не только	37	9
16	с точки	11	9
17	том что	6	9
18	во всяком	9	9
19	может быть	40	9
20	в себе	3	9
21	прежде всего	14	8
22	того чтобы	1	8
23	как на	1	8
24	к тому	3	7
25	о том	5	7
26	в данном	5	7
27	и если	1	7
28	и с	10	7
29	отнюдь не	1	7
30	и к	9	6
31	для всех	2	6
32	и при	2	6
33	для него	8	6
34	все это	14	6
35	на самом	2	6
36	если бы	1	6
37	и для	7	6
38	что он	2	6
39	для того	2	6
40	к которой	1	6
41	в своем	9	6
42	всяком случае	7	6
43	а потому	1	5
44	до сих	4	5
45	и на	17	5
46	только в	9	5
47	или иной	13	5
48	национальная культура	1	5
49	по существу	3	5
50	в своей	8	5
51	в последние	2	5
52	жизни в	2	5
53	себя и	2	5
54	между собой	3	5
55	во всех	25	5
56	сих пор	4	5
57	и только	2	5
58	хотя бы	6	5
59	потому что	2	5
60	в нем	44	5
61	между тем	5	5
62	он не	5	5
63	а между	2	5
64	конечно не	7	5
65	а в	10	5
66	при этом	12	5
67	было бы	3	5
68	на то	2	5
69	лишь при	2	5
70	он должен	1	5
71	никогда не	9	5
72	что в	3	4
73	во всем	3	4
74	бы то	1	4
75	и то	2	4
76	все что	1	4
77	так как	7	4
78	смотреть на	1	4
79	возможно лишь	1	4
80	тогда когда	2	4
81	в его	19	4
82	не могут	7	4
83	его в	7	4
84	более или	5	4
85	не в	14	4
86	лишь к	1	4
87	в корне	1	4
88	вместе с	3	4
89	как и	8	4
90	в мире	1	4
91	все же	10	4
92	приводит к	2	4
93	в их	6	4
94	со стороны	1	4
95	или менее	5	4
96	то ни	1	4
97	можно было	2	4
98	от того	1	4
99	а лишь	2	4
100	как бы	16	4
101	в этой	1	4
102	себя в	14	4
103	жизни и	5	4
104	но не	7	4
105	точку зрения	6	4
106	в самом	6	3
107	то в	2	3
108	что они	2	3
109	этом случае	4	3
110	что оно	4	3
111	может не	9	3
112	данном случае	3	3
113	должно быть	3	3
114	несмотря на	2	3
115	в качестве	4	3
116	для них	2	3
117	что и	2	3
118	сводится к	1	3
119	что может	1	3
120	в виде	4	3
121	не было	4	3
122	связи с	4	3
123	или в	10	3
124	тем что	1	3
125	именно в	5	3
126	в конце	1	3
127	и как	3	3
128	может только	1	3
129	и т	56	3
130	да и	2	3
131	о которых	2	3
132	о котором	1	3
133	не есть	2	3
134	но если	1	3
135	в вопросах	1	3
136	но мы	2	3
137	той или	13	3
138	еще не	9	3
139	все они	9	3
140	и потому	9	3
141	всяком другом	1	3
142	при условии	1	3
143	ко всем	1	3
144	в лучшем	3	3
145	мы говорили	2	3
146	одна из	6	3
147	в значительной	6	3
148	на том	2	3
149	и ни	1	3
150	в другом	4	3
151	лучшем случае	3	3
152	говорить о	2	3
153	себя от	2	3
154	в большинстве	16	3
155	точке зрения	2	3
156	лишь в	6	3
157	что для	1	3
158	и во	3	3
159	одной из	4	3
160	с нею	1	3
161	что все	2	3
162	в сознании	3	3
163	ибо в	1	3
164	из этого	3	3
165	он сам	1	3
166	и по	3	3
167	условии если	1	3
168	а следовательно	2	3
169	друг друга	3	3
170	из этих	3	3
171	для этого	4	3
172	всех этих	8	3
173	таким же	1	3
174	из них	3	3
175	того что	4	3
176	представить себе	1	2
177	на почве	6	2
178	к такому	2	2
179	от него	5	2
180	именно на	3	2
181	что такое	1	2
182	в единое	2	2
183	должна быть	3	2
184	к себе	1	2
185	сама по	2	2
186	время в	1	2
187	и должно	1	2
188	из всех	1	2
189	говорили в	1	2
190	самому своему	1	2
191	от нас	2	2
192	с ним	12	2
193	в некоторых	3	2
194	от этой	3	2
195	для нас	7	2
196	одному из	2	2
197	ни в	4	2
198	в результате	4	2
199	там и	1	2
200	том и	2	2
201	нельзя считать	1	2
202	в этих	8	2
203	у него	5	2
204	по себе	4	2
205	их не	1	2
206	и даже	11	2
207	бы для	1	2
208	не о	1	2
209	все эти	15	2
210	том же	4	2
211	в таком	5	2
212	отношения к	3	2
213	тому что	2	2
214	себя как	2	2
215	большинстве случаев	11	2
216	на эту	1	2
217	следовательно и	4	2
218	только для	1	2
219	отличается от	3	2
220	нисколько не	3	2
221	по самому	1	2
222	ведь в	1	2
223	так же	2	2
224	в других	4	2
225	если же	1	2
226	уже не	5	2
227	полное и	2	2
228	в меру	1	2
229	к той	1	2
230	чтобы понять	1	2
231	другом случае	3	2
232	с этим	5	2
233	остается в	5	2
234	будучи по	2	2
235	его и	5	2
236	того или	2	2
237	совершенно не	2	2
238	мы можем	1	2
239	на этой	1	2
240	а с	2	2
241	и более	3	2
242	в таких	1	2
243	в котором	2	2
244	мы уже	4	2
245	даже и	4	2
246	она не	8	2
247	в течение	1	2
248	но даже	1	2
249	этой борьбы	1	2
250	всем этим	2	2
251	это только	1	2
252	в ней	7	2
253	могут не	2	2
254	и тем	3	2
255	быть и	6	2
256	в частности	3	2
257	а не	29	2
258	но она	2	2
259	только на	3	2
260	отношении к	9	2
261	речь идет	1	2
262	есть и	1	2
263	и что	2	2
264	к данному	1	2
265	и тот	1	2
266	на основании	1	2
267	этого не	1	2
268	людей и	2	2
269	в начале	1	2
270	факт что	1	2
271	по отношению	2	2
272	целый ряд	2	2
273	даже не	1	2
274	котором идет	1	2
275	и те	3	2
276	тот факт	1	2
277	отметить что	3	2
278	россию и	1	2
279	людей или	1	2
280	на это	1	2
281	только с	3	2
282	культуры и	2	2
283	бы его	2	2
284	друг другу	2	2
285	пути к	1	2
286	приводят к	1	2
287	этом и	1	2
288	и от	5	2
289	но в	13	2
290	и есть	2	2
291	место в	2	2
292	так что	2	2
293	и о	3	2
294	если они	1	2
295	бы ни	3	2
296	в области	1	2
297	или иного	2	2
298	но это	3	2
299	не просто	2	2
300	сделать это	1	2
301	не можем	1	2
302	и наконец	9	2
303	не к	1	2
304	к нему	7	2
305	от всякого	2	1
306	образованием и	1	1
307	подход к	2	1
308	тем не	2	1
309	всего в	1	1
310	ближе к	1	1
311	трудно сказать	1	1
312	этого и	1	1
313	областях жизни	3	1
314	связан с	2	1
315	однако и	2	1
316	лишь тогда	2	1
317	к общему	1	1
318	все попытки	1	1
319	только не	2	1
320	никак нельзя	1	1
321	жизни но	2	1
322	как это	3	1
323	что его	1	1
324	такой человек	1	1
325	один из	9	1
326	эти элементы	2	1
327	для большинства	1	1
328	за ним	1	1
329	ничем не	1	1
330	не поддается	1	1
331	полное слияние	1	1
332	же и	4	1
333	они не	3	1
334	вообще не	4	1
335	с существующими	1	1
336	то есть	46	1
337	себе представить	1	1
338	с единым	1	1
339	всякое иное	1	1
340	которые не	1	1
