N	2gram	Medvedev_S	BTomashe
1	все это	7	2
2	стр и	1	2
3	и не	1	2
4	словесного творчества	1	1
5	и о	1	1
6	литературы как	1	1
7	не только	3	1
8	таким образом	2	1
9	не было	1	1
10	прежде всего	1	1
11	стр в	1	1
12	и в	3	1
13	так и	1	1
14	в своей	1	1
15	во всяком	1	1
16	и потому	1	1
17	за пределы	2	1
18	же не	1	1
19	по крайней	1	1
20	с другой	1	1
21	как будто	2	1
22	точке зрения	1	1
23	крайней мере	1	1
24	всяком случае	1	1
25	было бы	2	1
26	в данном	1	1
27	должна быть	2	1
28	в области	1	1
29	далеко не	2	1
30	тем более	2	1
31	и более	1	1
32	поэтики и	1	1
33	что все	1	1
34	никак не	1	1
35	отнюдь не	1	1
36	представляется нам	1	1
37	выходит за	1	1
38	между ними	1	1
39	еще не	2	1
40	все же	1	1
41	что в	2	1
